// DIFF REMOVED 305 
// HASH_VALUE 06EAD2619679EB60
// INDEX 0
certifs_rpjob_certifs_title	[Use your $certifs.p$]
rpjob_c_red	[$integer$) Red]

// DIFF REMOVED 5236 
// HASH_VALUE 66D07FDA6AE4509B
// INDEX 192
rpjob_c_red_black	[$integer$) Red and black]

// DIFF REMOVED 5236 
// HASH_VALUE 5410691FEAC86090
// INDEX 193
rpjob_c_refine	[$integer$) Refine]

// DIFF REMOVED 5236 
// HASH_VALUE 556CDF13E9986858
// INDEX 194
rpjob_c_reliefs	[$integer$) Reliefs]

// DIFF REMOVED 5236 
// HASH_VALUE A7359A12F0E477AA
// INDEX 195
rpjob_c_remove_some_petals	[$integer$) Remove some petals]

// DIFF REMOVED 5236 
// HASH_VALUE 556CC722EDE98462
// INDEX 196
rpjob_c_rostrum	[$integer$) Rostrum]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB321CD11F622
// INDEX 197
rpjob_c_s1_170	[$integer$) 1/170th]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB3210E11F622
// INDEX 198
rpjob_c_s1_175	[$integer$) 1/175th]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB321CD21F622
// INDEX 199
rpjob_c_s1_180	[$integer$) 1/180th]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB3210E31F622
// INDEX 200
rpjob_c_s1_195	[$integer$) 1/195th]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB3210DA1FA22
// INDEX 201
rpjob_c_s1_200	[$integer$) 1/200th]

// DIFF REMOVED 5236 
// HASH_VALUE 69947B1FAA40A70E
// INDEX 202
rpjob_c_sap_trees	[$integer$) Sap trees]

// DIFF REMOVED 5236 
// HASH_VALUE 956CC312ACF88C54
// INDEX 203
rpjob_c_satchel	[$integer$) Satchel]

// DIFF REMOVED 5236 
// HASH_VALUE 66248B21A904BB10
// INDEX 204
rpjob_c_sculpting	[$integer$) Sculpting]

// DIFF REMOVED 5236 
// HASH_VALUE 94106928AC194C91
// INDEX 205
rpjob_c_season	[$integer$) Season]

// DIFF REMOVED 5236 
// HASH_VALUE E5F497215BA542A6
// INDEX 206
rpjob_c_sharpening	[$integer$) Sharpening]

// DIFF REMOVED 5236 
// HASH_VALUE 23029A1F1AD0BC93
// INDEX 207
rpjob_c_shooki_leaf	[$integer$) Shooki Leaf]

// DIFF REMOVED 5236 
// HASH_VALUE 68946ED5AE98CCA3
// INDEX 208
rpjob_c_shooki_liqueur	[$integer$) Shooki liquor]

// DIFF REMOVED 5236 
// HASH_VALUE A46482DA087590A1
// INDEX 209
rpjob_c_silk	[$integer$) Silk]

// DIFF REMOVED 5236 
// HASH_VALUE A43423D65DC0EC5D
// INDEX 210
rpjob_c_single_box	[$integer$) Box]

// DIFF REMOVED 5236 
// HASH_VALUE 52D57B2D2A9A6F54
// INDEX 211
rpjob_c_single_flower	[$integer$) Of single flower]

// DIFF REMOVED 5236 
// HASH_VALUE E2D09290F07884A0
// INDEX 212
rpjob_c_skins	[$integer$) Skins]

// DIFF REMOVED 5236 
// HASH_VALUE A8D093DAEA4964AB
// INDEX 213
rpjob_c_slaveni_juice	[$integer$) Slaveni juice]

// DIFF REMOVED 5236 
// HASH_VALUE 2440C7171B11A799
// INDEX 214
rpjob_c_soak_sap	[$integer$) In soak sap]

// DIFF REMOVED 5236 
// HASH_VALUE D531CF0E6ADA6BA4
// INDEX 215
rpjob_c_species_plants	[$integer$) Species of plant]

// DIFF REMOVED 5236 
// HASH_VALUE A2A68218493A90B0
// INDEX 216
rpjob_c_spring_water	[$integer$) Spring water]

// DIFF REMOVED 5236 
// HASH_VALUE A5149A1719C0D8B1
// INDEX 217
rpjob_c_stinga_mouss	[$integer$) Stinga moss]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB3210E21F622
// INDEX 218
rpjob_c_s_1_185	[$integer$) 1/185th]

// DIFF REMOVED 5236 
// HASH_VALUE 0D6CB321CD31F622
// INDEX 219
rpjob_c_s_1_190	[$integer$) 1/190th]

// DIFF REMOVED 5236 
// HASH_VALUE 64D092906C3A6494
// INDEX 220
rpjob_c_teeth	[$integer$) Teeth]

// DIFF REMOVED 5236 
// HASH_VALUE 64D09290EC18849A
// INDEX 221
rpjob_c_thick	[$integer$) Thick]

// DIFF REMOVED 5236 
// HASH_VALUE 64D092906EFAB49A
// INDEX 222
rpjob_c_thorn	[$integer$) Thorn]

// DIFF REMOVED 5236 
// HASH_VALUE D504AA232BF46CA8
// INDEX 223
rpjob_c_tie_fiber	[$integer$) Tie with fiber]

// DIFF REMOVED 5236 
// HASH_VALUE A7249F8CF18878A7
// INDEX 224
rpjob_c_tight_leather	[$integer$) Tight leather]

// DIFF REMOVED 5236 
// HASH_VALUE 27758B1C2B55AF22
// INDEX 225
rpjob_c_turquoise	[$integer$) Turquoise]

// DIFF REMOVED 5236 
// HASH_VALUE 64D09290F058D48C
// INDEX 226
rpjob_c_vases	[$integer$) Vases]

// DIFF REMOVED 5236 
// HASH_VALUE E6F4AF1D5CD45AAA
// INDEX 227
rpjob_c_vegetation	[$integer$) Vegetation]

// DIFF REMOVED 5236 
// HASH_VALUE 14A09F0F196ABC9A
// INDEX 228
rpjob_c_very_big_barrel	[$integer$) Very big barrel]

// DIFF REMOVED 5236 
// HASH_VALUE 9110691EED19B892
// INDEX 229
rpjob_c_very_finely	[$integer$) Ground]

// DIFF REMOVED 5236 
// HASH_VALUE A980BE1828387CAD
// INDEX 230
rpjob_c_very_grossly	[$integer$) Thickly sliced]

// DIFF REMOVED 5236 
// HASH_VALUE 10D48A24EA488869
// INDEX 231
rpjob_c_very_little	[$integer$) A little pinch]

// DIFF REMOVED 5236 
// HASH_VALUE A885BF224871C49B
// INDEX 232
rpjob_c_very_little_2	[$integer$) Very little]

// DIFF REMOVED 5236 
// HASH_VALUE 5510692E69889498
// INDEX 233
rpjob_c_violet	[$integer$) Violet]

// DIFF REMOVED 5236 
// HASH_VALUE 27A4B71B972976A0
// INDEX 234
rpjob_c_warm_amber	[$integer$) Warm amber varnish]

// DIFF REMOVED 5236 
// HASH_VALUE A75477D65DC0D84F
// INDEX 235
rpjob_c_was	[$integer$) Was]

// DIFF REMOVED 5236 
// HASH_VALUE E4D092907058DC8C
// INDEX 236
rpjob_c_water	[$integer$) Water]

// DIFF REMOVED 5236 
// HASH_VALUE 6B9477CD2A94B70E
// INDEX 237
rpjob_c_water_dew	[$integer$) Water dew]

// DIFF REMOVED 5236 
// HASH_VALUE A3F5C3D14A0AD49B
// INDEX 238
rpjob_c_water_plants	[$integer$) Water plants]

// DIFF REMOVED 5236 
// HASH_VALUE E6549FDCDBD48E9C
// INDEX 239
rpjob_c_water_pond	[$integer$) Water pond]

// DIFF REMOVED 5236 
// HASH_VALUE A4A5633347446EAE
// INDEX 240
rpjob_c_well_water	[$integer$) Well water]

// DIFF REMOVED 5236 
// HASH_VALUE 5CD09290E878E48C
// INDEX 241
rpjob_c_wildlife	[$integer$) Fauna]

// DIFF REMOVED 5236 
// HASH_VALUE 26A482DA080580AA
// INDEX 242
rpjob_c_wood	[$integer$) Wood]

// DIFF REMOVED 5236 
// HASH_VALUE 951069286708AC9F
// INDEX 243
rpjob_c_wooden	[$integer$) Wooden]

// DIFF REMOVED 5236 
// HASH_VALUE AAD4932017346F22
// INDEX 244
rpjob_c_yubo_skin	[$integer$) Yubo skin]

// DIFF REMOVED 5236 
// HASH_VALUE 2945971DB62B9099
// INDEX 245
rpjob_c_zerx_leather	[$integer$) Zerx leather]

// DIFF REMOVED 5236 
// HASH_VALUE 808056F5AF16D840
// INDEX 246
rpjob_downgraded	[Your components have not been improved and half of them have been lost. You can use $special_amber$ (from the Apprentice Magnetic Cartographer occupation) to make sure all components are preserved in case of a failure.]

// DIFF REMOVED 5236 
// HASH_VALUE C4C615A7D947ACB4
// INDEX 247
rpjob_downgraded_extra	[Your components have not been improved, but your $special_amber$ has preserved them so you have not lost any.]

// DIFF REMOVED 5236 
// HASH_VALUE 42EB4FCE6294DD17
// INDEX 248
rpjob_echelon_title_m	[Pratice your $jobitem.da$ $jobitem$ occupation (Grade $echelon$)]

// DIFF REMOVED 5236 
// HASH_VALUE 6B4D7D5F40CD0D0B
// INDEX 249
rpjob_echelon_title_f	[Pratice your $jobitem.pda$ $jobitem.p$ occupation (Grade $echelon$)]

// DIFF REMOVED 5236 
// HASH_VALUE 63F3A8B6EE0C0A70
// INDEX 250
rpjob_finish_task_m	[&AMB&You have obtained components for your occupation $jobitem.da$ $jobitem$]

// DIFF REMOVED 5236 
// HASH_VALUE B4B3D9AE2F1EB758
// INDEX 251
rpjob_finish_task_f	[&AMB&You have obtained components for your occupation $jobitem.pda$ $jobitem.p$]

// DIFF REMOVED 5236 
// HASH_VALUE 9678AC7F9B85E399
// INDEX 252
rpjob_fx_rescue	[<BPFX>mag_cur_impact_healhp.ps]

// DIFF REMOVED 5236 
// HASH_VALUE E7BCD1F1E7013F0E
// INDEX 253
rpjob_fx_resign	[<BPFX>$player$ Sp_Neutre_End_Fizzle.ps]

// DIFF REMOVED 5236 
// HASH_VALUE E7BCD1D9A4C23F0E
// INDEX 254
rpjob_fx_sign	[<BPFX>$player$ Sp_Neutre_End_Fumble.ps]

// DIFF REMOVED 5236 
// HASH_VALUE 09E9B02D094918C1
// INDEX 255
rpjob_get_chest	[Get the contents of the chest]

// DIFF REMOVED 5236 
// HASH_VALUE 13FD62355F9EEEDA
// INDEX 256
rpjob_get_fertilizer	[Get fertilizer at the location indicated on your radar]

// DIFF REMOVED 5236 
// HASH_VALUE 8FF9D960DAC790C5
// INDEX 257
rpjob_get_fertilizer_on_barrel	[Get fertilizerfomr the left barrel and use it to fertilize the flowers]

// DIFF REMOVED 5236 
// HASH_VALUE A34F24E893CC20C7
// INDEX 258
rpjob_get_rainwater	[Get rainwater at the location indicated on your radar radar]

// DIFF REMOVED 5236 
// HASH_VALUE A3289F84F9C5A0C1
// INDEX 259
rpjob_get_water_lake	[Get lakewater at the location indicated on your radar]

// DIFF REMOVED 5236 
// HASH_VALUE E62A03E503EF237E
// INDEX 260
rpjob_get_water_on_barrel	[Get water from the right barrel and use it to water the flowers]

// DIFF REMOVED 5236 
// HASH_VALUE CFB69B187087D2F0
// INDEX 261
rpjob_get_water_source	[Get water at the source indicated on your radar]

// DIFF REMOVED 5236 
// HASH_VALUE 4E31D51E5DD04058
// INDEX 262
rpjob_get_water_well	[Get water at the well indicated on your radar]

// DIFF REMOVED 5236 
// HASH_VALUE 48CEA222109005A9
// INDEX 263
rpjob_have_4_4_elements	[@{W300}Great! You have obtained @{5F5F}4 $element.p$ and 4 $other_element.p$@{FFFF}.\n
	\n
	You can use @{55FF}$convert$@{FFFF} to practice your chosen occupation or continue to obtain components.\n
	\n
	You can also improve components using @{55FF}$convert$@{FFFF}, but you do so at your own risk! If improving fails for a component, it is destroyed.\n
	The odds for successfully improving components are low but with improved components obtaining better products or more experience becomes possible.]

// DIFF REMOVED 5236 
// HASH_VALUE 7CFEF57BC0C7AE19
// INDEX 264
rpjob_have_4_elements	[@{W300}Great! You have obtained @{5F5F}4 $element.p$@{FFFF}.\n
	\n
	You can use @{55FF}$convert$@{FFFF} to try to improve them, or continue to obtain components.\n
	\n
	@{F55F}You improve components at your own risk!@{FFFF}. If improving fails for a component, it is destroyed.\n
	\n
	The odds for successfully improving components are low but you with improved components obtaining better products or more experience becomes possible.\n
	\n
	Don't forget to continue your mission to obtain more components.]

// DIFF REMOVED 5236 
// HASH_VALUE 452657899DB39769
// INDEX 265
rpjob_have_certifs	[I have won $certifs.p$]

// DIFF REMOVED 5236 
// HASH_VALUE 198072FFA74BCA21
// INDEX 266
rpjob_highest_level	[Your grade is higher than $echelon$. Do you want continue?]

// DIFF REMOVED 5236 
// HASH_VALUE 60D66C736B16B0C0
// INDEX 267
rpjob_h_additional_informations	[Additional Information]

// DIFF REMOVED 5236 
// HASH_VALUE E2247C84A0459C85
// INDEX 268
rpjob_h_add_element	[Additional Component]

// DIFF REMOVED 5236 
// HASH_VALUE 46DAFC54ECD8647A
// INDEX 269
rpjob_h_application_time	[Application Time]

// DIFF REMOVED 5236 
// HASH_VALUE 64DC3404781824B4
// INDEX 270
rpjob_h_assemblage	[Assembly]

// DIFF REMOVED 5236 
// HASH_VALUE E529486AD224437C
// INDEX 271
rpjob_h_bandage_lenght	[Bandage Length]

// DIFF REMOVED 5236 
// HASH_VALUE 93298C398299A458
// INDEX 272
rpjob_h_bandage_type	[Bandage Type]

// DIFF REMOVED 5236 
// HASH_VALUE E7C6507195189457
// INDEX 273
rpjob_h_bandage_width	[Bandage Width]

// DIFF REMOVED 5236 
// HASH_VALUE 6C1814086C181408
// INDEX 274
rpjob_h_baume	[Balm]

// DIFF REMOVED 5236 
// HASH_VALUE E192D0954927DF6E
// INDEX 275
rpjob_h_box_type	[Type of box]

// DIFF REMOVED 5236 
// HASH_VALUE 6DE704646D551493
// INDEX 276
rpjob_h_colors	[Colors]

// DIFF REMOVED 5236 
// HASH_VALUE 6A98A4C6EAB0D4CA
// INDEX 277
rpjob_h_create_bouquet	[Create a bouquet]

// DIFF REMOVED 5236 
// HASH_VALUE 1A19886FA70684A1
// INDEX 278
rpjob_h_cut	[Cut]

// DIFF REMOVED 5236 
// HASH_VALUE 23FAA88EAB37109E
// INDEX 279
rpjob_h_destination	[Destination]

// DIFF REMOVED 5236 
// HASH_VALUE 9E1AA38DAF72E86D
// INDEX 280
rpjob_h_drying_time	[Drying time]

// DIFF REMOVED 5236 
// HASH_VALUE 2719B475E019DB5F
// INDEX 281
rpjob_h_final_treatment	[Final treatment]

// DIFF REMOVED 5236 
// HASH_VALUE 5059543A5AA9D459
// INDEX 282
rpjob_h_handle_material	[Material for handle]

// DIFF REMOVED 5236 
// HASH_VALUE 29689F18E7986247
// INDEX 283
rpjob_h_ink_color	[Color of ink]

// DIFF REMOVED 5236 
// HASH_VALUE 2AE698AB1308773A
// INDEX 284
rpjob_h_larvae_size	[Size of larvae]

// DIFF REMOVED 5236 
// HASH_VALUE F281865C065CB5C6
// INDEX 285
rpjob_h_long_distance_container	[Containers for long distance transportation]

// DIFF REMOVED 5236 
// HASH_VALUE 23BA5740AC78EC60
// INDEX 286
rpjob_h_main_material	[Material for main component]

// DIFF REMOVED 5236 
// HASH_VALUE 689C1434641C14B8
// INDEX 287
rpjob_h_marinate	[Marinate]

// DIFF REMOVED 5236 
// HASH_VALUE 7058245C649894C0
// INDEX 288
rpjob_h_packaging	[Wrapping]

// DIFF REMOVED 5236 
// HASH_VALUE E9DB7C5895889350
// INDEX 289
rpjob_h_paper_type	[Type of parchment]

// DIFF REMOVED 5236 
// HASH_VALUE 25F8608EE9DAA4A8
// INDEX 290
rpjob_h_preparing	[Preparing]

// DIFF REMOVED 5236 
// HASH_VALUE 2B38B4986898B893
// INDEX 291
rpjob_h_projection	[Projection]

// DIFF REMOVED 5236 
// HASH_VALUE 7418144C7418144C
// INDEX 292
rpjob_h_salt	[Salt]

// DIFF REMOVED 5236 
// HASH_VALUE A447F4871FD72085
// INDEX 293
rpjob_h_scale	[Scale]

// DIFF REMOVED 5236 
// HASH_VALUE ACEBA1FBE9251062
// INDEX 294
rpjob_h_short_distance_materials	[Containers for local transportation]

// DIFF REMOVED 5236 
// HASH_VALUE EB59E4911787878C
// INDEX 295
rpjob_h_soaking_liquid	[Soaking liquid]

// DIFF REMOVED 5236 
// HASH_VALUE E197548EDA95835B
// INDEX 296
rpjob_h_soaking_time	[Soak time]

// DIFF REMOVED 5236 
// HASH_VALUE B02B14A869DABCA8
// INDEX 297
rpjob_h_support	[Support]

// DIFF REMOVED 5236 
// HASH_VALUE 2AC9A4A86BB9E49D
// INDEX 298
rpjob_h_temperature	[Temperature]

// DIFF REMOVED 5236 
// HASH_VALUE ABEAEC9B6C359CB8
// INDEX 299
rpjob_h_transport_method	[Transportation method]

// DIFF REMOVED 5236 
// HASH_VALUE A989B3951C158022
// INDEX 300
rpjob_h_water_type	[Type of water]

// DIFF REMOVED 5236 
// HASH_VALUE 27D5809F15888F49
// INDEX 301
rpjob_h_working_handle	[Work of handle]

// DIFF REMOVED 5236 
// HASH_VALUE A9A5ACA696A79B14
// INDEX 302
rpjob_h_working_main	[Work of main component]

// DIFF REMOVED 5236 
// HASH_VALUE E2BAB8852F36D8B0
// INDEX 303
rpjob_information	[Information]

// DIFF REMOVED 5236 
// HASH_VALUE 4695C6FCECA87F6C
// INDEX 304
rpjob_i_will_look_that	[I'll have a look at that.]

// DIFF REMOVED 5236 
// HASH_VALUE 3A7F0491A9D94F2D
// INDEX 305
rpjob_job_infos	[WEB : jobid=$jobid$&action=infos]

// DIFF REMOVED 5236 
// HASH_VALUE 98F4A87E0424DC29
// INDEX 306
rpjob_main_desc_m	[Become $jobitem.ia$ $jobitem$]

// DIFF REMOVED 5236 
// HASH_VALUE 97B99C7E7885726E
// INDEX 307
rpjob_main_desc_f	[Become $jobitem.pia$ $jobitem.p$]

// DIFF REMOVED 5236 
// HASH_VALUE 8904847A170598A7
// INDEX 308
rpjob_main_title_m	[Occupation $jobitem.da$ $jobitem$]

// DIFF REMOVED 5236 
// HASH_VALUE D5BB23BF16CA78AC
// INDEX 309
rpjob_main_title_f	[Occupation $jobitem.pda$ $jobitem.p$]

// DIFF REMOVED 5236 
// HASH_VALUE 7E7875CD3DC4007B
// INDEX 310
rpjob_no_elements	[Sorry, you do not have enough components. I need 4 components.]

// DIFF REMOVED 5236 
// HASH_VALUE 89D5D3D722FC3DBE
// INDEX 311
rpjob_no_elements_convert	[Sorry, you do not have enough components. I need:\n
	4 $element_1$\n
	and\n
	4 $element_2$.]

// DIFF REMOVED 5236 
// HASH_VALUE 12AE31F98510C696
// INDEX 312
rpjob_no_instructions	[(If you did not receive any instructions, please abandon the mission and retake.)]

// DIFF REMOVED 5236 
// HASH_VALUE 46AC6BBD02A9BC15
// INDEX 313
rpjob_no_job_m	[You are not $jobitem.ia$ $jobitem$!]

// DIFF REMOVED 5236 
// HASH_VALUE 211880B915784046
// INDEX 314
rpjob_no_job_f	[You are not $jobitem.pia$ $jobitem.p$!]

// DIFF REMOVED 5236 
// HASH_VALUE FC828880614B71F4
// INDEX 315
rpjob_no_level	[You don't have the required grade to do that.]

// DIFF REMOVED 5236 
// HASH_VALUE 6A80F3472D155676
// INDEX 316
rpjob_no_want	[No thank you, not just yet.]

// DIFF REMOVED 5236 
// HASH_VALUE 781C84E0781C84E0
// INDEX 317
rpjob_recipe_result	[xxx]

// DIFF REMOVED 5236 
// HASH_VALUE 781C84E0781C84E0
// INDEX 318
rpjob_recipe_result_basic	[xxx]

// DIFF REMOVED 5236 
// HASH_VALUE 7226AC95EBD454C5
// INDEX 319
rpjob_recipe_result_bot_chat	[The quality of this recipe is]

// DIFF REMOVED 5236 
// HASH_VALUE 781C84E0781C84E0
// INDEX 320
rpjob_recipe_used	[xxx]

// DIFF REMOVED 5236 
// HASH_VALUE DB25B49FD5EF77BD
// INDEX 321
rpjob_recipe_used_bot_chat	[You use recipe ]

// DIFF REMOVED 5236 
// HASH_VALUE 95CE5C89B8B349EC
// INDEX 322
rpjob_rescue_npc	[Practice basic care at the location indicated on your radar]

// DIFF REMOVED 5236 
// HASH_VALUE 7F9F5AEE91BADD67
// INDEX 323
rpjob_resign_popup_m	[&AMB&You are no longer $jobitem.ia$ $jobitem$.]

// DIFF REMOVED 5236 
// HASH_VALUE 7E644E1CDD71C4AC
// INDEX 324
rpjob_resign_popup_f	[&AMB&You are no longer $jobitem.pia$ $jobitem.p$.]

// DIFF REMOVED 5236 
// HASH_VALUE E63E61A3FC7CEC67
// INDEX 325
rpjob_resign_this_rpjob_m	[Do you want to resign from being $jobitem.da$ $jobitem$ or do you need another $special_item$?]

// DIFF REMOVED 5236 
// HASH_VALUE 2EF92376CB9DB5D2
// INDEX 326
rpjob_resign_this_rpjob_f	[Do you want to resign from being $jobitem.pda$ $jobitem.p$ or do you need another $special_item$?]

// DIFF REMOVED 5236 
// HASH_VALUE BF704E7576FFE898
// INDEX 327
rpjob_roleplay_obj	[\n
	(When you have obtained at least 4 components, you can either improve them or practice your craft by using the object near the master of your occupation.\n
	\n
	You can also continue the mission and obtain more components. This mission is never finished, until you log off and back on; then the mission ends once you have completed the step in progress. You can always retake the mission if you so desire.)]

// DIFF REMOVED 5236 
// HASH_VALUE BF704E7576FFE898
// INDEX 328
rpjob_roleplay_obj_1	[\n
	(When you have obtained at least 4 components, you can either improve them or practice your craft by using the object near the master of your occupation.\n
	\n
	You can also continue the mission and obtain more components. This mission is never finished, until you log off and back on; then the mission ends once you have completed the step in progress. You can always retake the mission if you so desire.)]

// DIFF REMOVED 5236 
// HASH_VALUE BF704E7576FFE898
// INDEX 329
rpjob_roleplay_obj_2	[\n
	(When you have obtained at least 4 components, you can either improve them or practice your craft by using the object near the master of your occupation.\n
	\n
	You can also continue the mission and obtain more components. This mission is never finished, until you log off and back on; then the mission ends once you have completed the step in progress. You can always retake the mission if you so desire.)]

// DIFF REMOVED 5236 
// HASH_VALUE BF704E7576FFE898
// INDEX 330
rpjob_roleplay_obj_3	[\n
	(When you have obtained at least 4 components, you can either improve them or practice your craft by using the object near the master of your occupation.\n
	\n
	You can also continue the mission and obtain more components. This mission is never finished, until you log off and back on; then the mission ends once you have completed the step in progress. You can always retake the mission if you so desire.)]

// DIFF REMOVED 5236 
// HASH_VALUE EAB5AF8396DF555B
// INDEX 331
rpjob_see_me_your_work	[Great! Let me see that.]

// DIFF REMOVED 5236 
// HASH_VALUE 2438A1ABF584FF1A
// INDEX 332
rpjob_select_recipe	[Choose between the options and try to obtain the best combination. Better recipes give a higher production yield\n
	\n
	The yield of a recipe is expressed in percents.\n
	\n
	Please note that you need to use a recipe of with a yield of 60% at minimum to be able to move up to the next grade.]

// DIFF REMOVED 5236 
// HASH_VALUE B771EB965599BBC1
// INDEX 333
rpjob_show_elements	[Improving components is risky! If it fails you may lose half of them.]

// DIFF REMOVED 5236 
// HASH_VALUE F902B7C1FB23BA5E
// INDEX 334
rpjob_sign_chat_m	[You are now $jobitem.ia$ $jobitem$!\n
	In order for you to be operational quickly, I will add two missions to your journal, which will help you obtain the components needed for $jobitem.ia$ $jobitem$.{break}I have given you a book about your occupation.\n
	(You can read it in the WebIG Occupations app: @{55FF}Shift+W@{FFFF}){break}Also, I will give you $special_item.pia$ $special_item.p$ to help you. If you ever need more, just return to me.\n
	(Please use same mission, as an option will be added to obtain anothers $special_item.p$){break}Finally, if you want to resign from your occupation, come back to me in 2 days.]

// DIFF REMOVED 5236 
// HASH_VALUE 722A0ED21BE23561
// INDEX 335
rpjob_sign_chat_f	[You are now $jobitem.pia$ $jobitem.p$!\n
	In order for you to be operational quickly, I will add two missions to your journal, which will help you obtain the components needed for $jobitem.pia$ $jobitem.p$.{break}I have given you a book about your occupation.\n
	(You can read it in the WebIG Occupations app: @{55FF}Shift+W@{FFFF}){break}Also, I will give you $special_item.pia$ $special_item.p$ to help you. If you ever need more, just return to me.\n
	(Please use same mission, as an option will be added to obtain anothers $special_item.p$){break}Finally, if you want to resign from your occupation, come back to me in 2 days.]

// DIFF REMOVED 5236 
// HASH_VALUE 7330FDD29DF76C70
// INDEX 336
rpjob_sign_popup_m	[&AMB&Congratulations, you are now $jobitem.ia$ $jobitem$!]

// DIFF REMOVED 5236 
// HASH_VALUE BB42AA99EEB79D6D
// INDEX 337
rpjob_sign_popup_f	[&AMB&Congratulations, you are now $jobitem.pia$ $jobitem.p$!]

// DIFF REMOVED 5236 
// HASH_VALUE B5DA2DF534C4A049
// INDEX 338
rpjob_sign_this_rpjob_m	[Want to become $jobitem.ia$ $jobitem$?]

// DIFF REMOVED 5236 
// HASH_VALUE B49F2134807B438E
// INDEX 339
rpjob_sign_this_rpjob_f	[Want to become $jobitem.pia$ $jobitem.p$?]

// DIFF REMOVED 5236 
// HASH_VALUE 2C27C874AB56F48B
// INDEX 340
rpjob_thanks	[Thanks]

// DIFF REMOVED 5236 
// HASH_VALUE B94FB82F0BE0C2F9
// INDEX 341
rpjob_timer_3	[TIMER 3]

// DIFF REMOVED 5236 
// HASH_VALUE 5859745DD8E570ED
// INDEX 342
rpjob_time_to_break	[Why not take a break?]

// DIFF REMOVED 5236 
// HASH_VALUE DF8D4AD968125208
// INDEX 343
rpjob_too_xp	[You have reach the maximum possible experience in this grade, ask $master$ to up you to next grade.]

// DIFF REMOVED 5236 
// HASH_VALUE B8CEEF9C15CE9E6D
// INDEX 344
rpjob_too_xp_for_certifs	[You almost have the maximum experience in this grade. Save your $certifs.p$ for another time.]

// DIFF REMOVED 5236 
// HASH_VALUE 1FAB004C976319C7
// INDEX 345
rpjob_too_xp_no_recipe	[You have the maximum possible experience in this grade but you need find a recipe with 60% of product yield to up to next grade.]

// DIFF REMOVED 5236 
// HASH_VALUE 2A111DD6FAC299EB
// INDEX 346
rpjob_under_upgrade	[Ok! Let's go try to improve your comoponents.]

// DIFF REMOVED 5236 
// HASH_VALUE CCDCC5CB3E46B812
// INDEX 347
rpjob_upgraded	[Good news! You have successfully improved half of your components. With $special_water$ (from Apprentice Water-Carrier occupation) you will be able to improve all components.]

// DIFF REMOVED 5236 
// HASH_VALUE CA31CD9BB6D83C75
// INDEX 348
rpjob_upgraded_extra	[Good news! You have successfully improved all of your components using $special_water$.]

// DIFF REMOVED 5236 
// HASH_VALUE 91AE20F551CA0BD7
// INDEX 349
rpjob_upgrade_no_msg	[There was a problem. Please try again.]

// DIFF REMOVED 5236 
// HASH_VALUE 9BE98F3D26662866
// INDEX 350
rpjob_use_basic_elements	[Use basic components.]

// DIFF REMOVED 5236 
// HASH_VALUE 82E830891E3BC860
// INDEX 351
rpjob_use_boosted_elements	[Use improved components.]

// DIFF REMOVED 5236 
// HASH_VALUE D0BDE03071FFB048
// INDEX 352
rpjob_wait_new_instructions	[Receiving new instructions from $givervar$...]

// DIFF REMOVED 5236 
// HASH_VALUE D0BDE03071FFB048
// INDEX 353
rpjob_wait_new_instructions_1	[Receiving new instructions from $givervar$...]

// DIFF REMOVED 5236 
// HASH_VALUE 3A37C881A5200872
// INDEX 354
rpjob_want_level_up	[Yes, and I want to up to the next grade.]

// DIFF REMOVED 5236 
// HASH_VALUE CA1943370BF1E902
// INDEX 355
rpjob_want_resign_m	[I want to resign from being $jobitem.ia$ $jobitem$.]

// DIFF REMOVED 5236 
// HASH_VALUE A5B558331EC0A133
// INDEX 356
rpjob_want_resign_f	[I want to resign from being $jobitem.pia$ $jobitem.p$.]

// DIFF REMOVED 5236 
// HASH_VALUE A56ACF93405ED760
// INDEX 357
rpjob_want_special_item	[I want another $special_item$.]

// DIFF REMOVED 5236 
// HASH_VALUE FFF9AA3FFADC170A
// INDEX 358
rpjob_want_win_level	[I have reached the maximum possible experience in this grade.]

// DIFF REMOVED 5236 
// HASH_VALUE 35AAB45858D1905F
// INDEX 359
rpjob_what_do_you_want	[What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 36C5B9FE9BA7C18A
// INDEX 360
rpjob_what_do_you_want_12_	[You have produced 12 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE F7C5B9FE9BA7C18A
// INDEX 361
rpjob_what_do_you_want_15_	[You have produced 15 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 37C5B9FE9BA7C18A
// INDEX 362
