DIFF_CMD	*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
DIFF SWAP 2635 1949									
DIFF CHANGED 1949 	_43E0553B65F7CBDA	m0179dxacd01	Bundle of Select Fresh Wood	a	the	Bundles of Select Fresh Wood		the	
DIFF SWAP 2636 1950									
DIFF CHANGED 1950 	_39C259436DF7CBDA	m0179dxace01	Bundle of Superb Fresh Wood	a	the	Bundles of Superb Fresh Wood		the	
DIFF SWAP 2637 1951									
DIFF CHANGED 1951 	_EA660AAEBF098E15	m0179dxacf01	Bundle of Magnificient Fresh Wood	a	the	Bundles of Magnificient Fresh Wood		the	
DIFF SWAP 2638 1952									
DIFF CHANGED 1952 	_3A898C296B52F775	m0180dxaca01	Bundle of Plain Dry Wood	a	the	Bundles of Plain Dry Wood		the	
DIFF SWAP 2639 1953									
DIFF CHANGED 1953 	_13291E8730B56FBE	m0180dxacb01	Bundle of Average Dry Wood	a	the	Bundles of Average Dry Wood		the	
DIFF SWAP 2640 1954									
DIFF CHANGED 1954 	_3AF9A431AA92177B	m0180dxacc01	Bundle of Prime Dry Wood	a	the	Bundles of Prime Dry Wood		the	
DIFF SWAP 2641 1955									
DIFF CHANGED 1955 	_FE492C1F4C2E3CED	m0180dxacd01	Bundle of Select Dry Wood	a	the	Bundles of Select Dry Wood		the	
DIFF SWAP 2642 1956									
DIFF CHANGED 1956 	_793AE832506F7CED	m0180dxace01	Bundle of Superb Dry Wood	a	the	Bundles of Superb Dry Wood		the	
DIFF SWAP 2643 1957									
DIFF CHANGED 1957 	_D8A8759E290F0DD0	m0180dxacf01	Bundle of Magnificient Dry Wood	a	the	Bundles of Magnificient Dry Wood		the	
DIFF SWAP 2644 1958									
DIFF CHANGED 1958 	_73339917E7837473	m0181dxaca01	Bundle of Plain Rotting Wood	a	the	Bundles of Plain Rotting Wood		the	
DIFF SWAP 2645 1959									
DIFF CHANGED 1959 	_70F345524517F6CA	m0181dxacb01	Bundle of Average Rotting Wood	a	the	Bundles of Average Rotting Wood		the	
DIFF SWAP 2646 1960									
DIFF CHANGED 1960 	_31E3D12568837473	m0181dxacc01	Bundle of Prime Rotting Wood	a	the	Bundles of Prime Rotting Wood		the	
DIFF SWAP 2647 1961									
DIFF CHANGED 1961 	_F1247915CE4F55D7	m0181dxacd01	Bundle of Select Rotting Wood	a	the	Bundles of Select Rotting Wood		the	
DIFF REMOVED 1962 	_0000000000000000	m0072ckhje01	Fragment of Supreme Jungle Kipee Shell	a	the	Fragments of Supreme Jungle Kipee Shell		the	
DIFF SWAP 2647 1962									
DIFF CHANGED 1962 	_6C56BD19D24F0DE6	m0181dxace01	Bundle of Superb Rotting Wood	a	the	Bundles of Superb Rotting Wood		the	
DIFF REMOVED 1963 	_0000000000000000	m0072ckhle01	Fragment of Supreme Lakes Kipee Shell	a	the	Fragments of Supreme Lakes Kipee Shell		the	
DIFF SWAP 2647 1963									
DIFF CHANGED 1963 	_A4A43F0317A15542	m0181dxacf01	Bundle of Magnificient Rotting Wood	a	the	Bundles of Magnificient Rotting Wood		the	
DIFF SWAP 2648 1964									
DIFF CHANGED 1964 	_1E5A715EB6A89E92	m0182dxaca01	Handful of Plain Dry Wood Sawdust	a	the	Handfuls of Plain Dry Wood Sawdust		the	
DIFF SWAP 2649 1965									
DIFF CHANGED 1965 	_08A903FD51D53F4F	m0182dxacb01	Handful of Average Dry Wood Sawdust	a	the	Handfuls of Average Dry Wood Sawdust		the	
DIFF SWAP 2650 1966									
DIFF CHANGED 1966 	_DC9A7568B8099E92	m0182dxacc01	Handful of Prime Dry Wood Sawdust	a	the	Handfuls of Prime Dry Wood Sawdust		the	
DIFF SWAP 2651 1967									
DIFF CHANGED 1967 	_79F6194C9748040B	m0182dxacd01	Handful of Select Dry Wood Sawdust	a	the	Handfuls of Select Dry Wood Sawdust		the	
DIFF SWAP 2652 1968									
DIFF CHANGED 1968 	_B8E72D609B4804F9	m0182dxace01	Handful of Superb Dry Wood Sawdust	a	the	Handfuls of Superb Dry Wood Sawdust		the	
DIFF SWAP 2653 1969									
DIFF CHANGED 1969 	_02FA5380A74718C7	m0182dxacf01	Handful of Magnificient Dry Wood Sawdust	a	the	Handfuls of Magnificient Dry Wood Sawdust		the	
DIFF SWAP 2654 1970									
DIFF CHANGED 1970 	_27E6F13F169909DC	m0183dxaca01	Handful of Plain Damp Wood Sawdust	a	the	Handfuls of Plain Damp Wood Sawdust		the	
DIFF SWAP 2655 1971									
DIFF CHANGED 1971 	_3D530A51E88DA36C	m0183dxacb01	Handful of Average Damp Wood Sawdust	a	the	Handfuls of Average Damp Wood Sawdust		the	
DIFF SWAP 2656 1972									
DIFF CHANGED 1972 	_E596294D979909DC	m0183dxacc01	Handful of Prime Damp Wood Sawdust	a	the	Handfuls of Prime Damp Wood Sawdust		the	
DIFF SWAP 2657 1973									
DIFF CHANGED 1973 	_0807FBD1E759156A	m0183dxacd01	Handful of Select Damp Wood Sawdust	a	the	Handfuls of Select Damp Wood Sawdust		the	
DIFF REMOVED 1974 	_0000000000000000	m0073ckefe01	Fragment of Supreme Forest Kipucka Shell	a	the	Fragments of Supreme Forest Kipucka Shell		the	
DIFF SWAP 2657 1974									
DIFF CHANGED 1974 	_90071FF1E7591546	m0183dxace01	Handful of Superb Damp Wood Sawdust	a	the	Handfuls of Superb Damp Wood Sawdust		the	
DIFF SWAP 2658 1975									
DIFF CHANGED 1975 	_8699C23129332C7B	m0183dxacf01	Handful of Magnificient Damp Wood Sawdust	a	the	Handfuls of Magnificient Damp Wood Sawdust		the	
DIFF SWAP 2659 1976									
DIFF CHANGED 1976 	_32777AE0DE09FFA3	m0184dxaca01	Plain Small Reed Leaf	a	the	Plain Small Reed Leafs		the	
DIFF SWAP 2660 1977									
DIFF CHANGED 1977 	_DFA81AB1BCDAC889	m0184dxacb01	Average Small Reed Leaf	a	the	Average Small Reed Leafs		the	
DIFF SWAP 2661 1978									
DIFF CHANGED 1978 	_32775EDBE1EA17A3	m0184dxacc01	Prime Small Reed Leaf	a	the	Prime Small Reed Leafs		the	
DIFF SWAP 2662 1979									
DIFF CHANGED 1979 	_EED2DFD837AE73B8	m0184dxacd01	Select Small Reed Leaf	a	the	Select Small Reed Leafs		the	
DIFF SWAP 2663 1980									
DIFF CHANGED 1980 	_69C39BEB3BEFB3B8	m0184dxace01	Superb Small Reed Leaf	a	the	Superb Small Reed Leafs		the	
DIFF SWAP 2664 1981									
DIFF CHANGED 1981 	_7C86F180226F5110	m0184dxacf01	Magnificient Small Reed Leaf	a	the	Magnificient Small Reed Leafs		the	
DIFF SWAP 2665 1982									
DIFF CHANGED 1982 	_6E067AE01C492FA9	m0185dxaca01	Plain Large Reed Leaf	a	the	Plain Large Reed Leafs		the	
DIFF SWAP 2666 1983									
DIFF CHANGED 1983 	_1D585E9EB9EB9883	m0185dxacb01	Average Large Reed Leaf	a	the	Average Large Reed Leafs		the	
DIFF SWAP 2667 1984									
DIFF CHANGED 1984 	_6E065EDB1F2A47A9	m0185dxacc01	Prime Large Reed Leaf	a	the	Prime Large Reed Leafs		the	
DIFF SWAP 2668 1985									
DIFF CHANGED 1985 	_2DD2C3D3B99E9BAD	m0185dxacd01	Select Large Reed Leaf	a	the	Select Large Reed Leafs		the	
DIFF SWAP 2669 1986									
DIFF CHANGED 1986 	_A8C37FE6BDDFDBAD	m0185dxace01	Superb Large Reed Leaf	a	the	Superb Large Reed Leafs		the	
DIFF SWAP 2670 1987									
DIFF CHANGED 1987 	_0406B980226F1907	m0185dxacf01	Magnificient Large Reed Leaf	a	the	Magnificient Large Reed Leafs		the	
DIFF SWAP 2671 1988									
DIFF CHANGED 1988 	_2EB67AE0E0AA07A1	m0186dxaca01	Plain Giant Reed Leaf	a	the	Plain Giant Reed Leafs		the	
DIFF SWAP 2672 1989									
DIFF CHANGED 1989 	_E1C81AB539DAB87F	m0186dxacb01	Average Giant Reed Leaf	a	the	Average Giant Reed Leafs		the	
DIFF REMOVED 1990 	_0000000000000000	m0074ckefe01	Fragment of Supreme Forest Kipucka Rostrum	a	the	Fragments of Supreme Forest Kipucka Rostrum		the	
DIFF SWAP 2672 1990									
DIFF CHANGED 1990 	_2EB65EDBE38B1FA1	m0186dxacc01	Prime Giant Reed Leaf	a	the	Prime Giant Reed Leafs		the	
DIFF SWAP 2673 1991									
DIFF CHANGED 1991 	_EBD2FFDA398E43B6	m0186dxacd01	Select Giant Reed Leaf	a	the	Select Giant Reed Leafs		the	
DIFF SWAP 2674 1992									
DIFF CHANGED 1992 	_66C3BBED3DCF83B6	m0186dxace01	Superb Giant Reed Leaf	a	the	Superb Giant Reed Leafs		the	
DIFF SWAP 2675 1993									
DIFF CHANGED 1993 	_7C069180226F9116	m0186dxacf01	Magnificient Giant Reed Leaf	a	the	Magnificient Giant Reed Leafs		the	
DIFF SWAP 2676 1994									
DIFF CHANGED 1994 	_E17674EB8582D86D	m0187dxaca01	Fragment of Plain Small Thorn	a	the	Fragments of Plain Small Thorn		the	
DIFF SWAP 2677 1995									
DIFF CHANGED 1995 	_0BC529079C8DE546	m0187dxacb01	Fragment of Average Small Thorn	a	the	Fragments of Average Small Thorn		the	
DIFF SWAP 2678 1996									
DIFF CHANGED 1996 	_63F694EB85F2E86C	m0187dxacc01	Fragment of Prime Small Thorn	a	the	Fragments of Prime Small Thorn		the	
DIFF SWAP 2679 1997									
DIFF CHANGED 1997 	_2CA11007C5C8D22A	m0187dxacd01	Fragment of Select Small Thorn	a	the	Fragments of Select Small Thorn		the	
DIFF SWAP 2680 1998									
DIFF CHANGED 1998 	_2CE254F589C89A49	m0187dxace01	Fragment of Superb Small Thorn	a	the	Fragments of Superb Small Thorn		the	
DIFF SWAP 2681 1999									
DIFF CHANGED 1999 	_8F7E7B7FC733C97D	m0187dxacf01	Fragment of Magnificient Small Thorn	a	the	Fragments of Magnificient Small Thorn		the	
DIFF SWAP 2682 2000									
DIFF CHANGED 2000 	_9F1730F58211D867	m0188dxaca01	Fragment of Plain Large Thorn	a	the	Fragments of Plain Large Thorn		the	
DIFF REMOVED 2001 	_0000000000000000	m0076ckfde01	Fragment of Supreme Desert Kirosta Sting	a	the	Fragments of Supreme Desert Kirosta Sting		the	
DIFF SWAP 2682 2001									
DIFF CHANGED 2001 	_C9D6F9F95A9EB539	m0188dxacb01	Fragment of Average Large Thorn	a	the	Fragments of Average Large Thorn		the	
DIFF REMOVED 2002 	_0000000000000000	m0076ckffe01	Fragment of Supreme Forest Kirosta Sting	a	the	Fragments of Supreme Forest Kirosta Sting		the	
DIFF SWAP 2682 2002									
DIFF CHANGED 2002 	_219750F58281E866	m0188dxacc01	Fragment of Prime Large Thorn	a	the	Fragments of Prime Large Thorn		the	
DIFF SWAP 2683 2003									
DIFF CHANGED 2003 	_67E054FB0458BE3C	m0188dxacd01	Fragment of Select Large Thorn	a	the	Fragments of Select Large Thorn		the	
DIFF SWAP 2684 2004									
DIFF CHANGED 2004 	_672198E9C858865B	m0188dxace01	Fragment of Superb Large Thorn	a	the	Fragments of Superb Large Thorn		the	
DIFF REMOVED 2005 	_0000000000000000	m0076ckfle01	Fragment of Supreme Lakes Kirosta Sting	a	the	Fragments of Supreme Lakes Kirosta Sting		the	
DIFF SWAP 2684 2005									
DIFF CHANGED 2005 	_8F0E4B8B0802AD7E	m0188dxacf01	Fragment of Magnificient Large Thorn	a	the	Fragments of Magnificient Large Thorn		the	
DIFF SWAP 2685 2006									
DIFF CHANGED 2006 	_61F76CDF84C1D877	m0189dxaca01	Fragment of Plain Giant Thorn	a	the	Fragments of Plain Giant Thorn		the	
DIFF SWAP 2686 2007									
DIFF CHANGED 2007 	_8BC519031C8DD544	m0189dxacb01	Fragment of Average Giant Thorn	a	the	Fragments of Average Giant Thorn		the	
DIFF SWAP 2687 2008									
DIFF CHANGED 2008 	_E3778CDF8431E876	m0189dxacc01	Fragment of Prime Giant Thorn	a	the	Fragments of Prime Giant Thorn		the	
DIFF SWAP 2688 2009									
DIFF CHANGED 2009 	_2D001003C249DA2C	m0189dxacd01	Fragment of Select Giant Thorn	a	the	Fragments of Select Giant Thorn		the	
DIFF SWAP 2689 2010									
DIFF CHANGED 2010 	_2D4154F18649A24B	m0189dxace01	Fragment of Superb Giant Thorn	a	the	Fragments of Superb Giant Thorn		the	
DIFF SWAP 2690 2011									
DIFF CHANGED 2011 	_8FFFA381C632997F	m0189dxacf01	Fragment of Magnificient Giant Thorn	a	the	Fragments of Magnificient Giant Thorn		the	
DIFF REMOVED 2012 	_0000000000000000	m0078ckide01	Fragment of Supreme Desert Kizoar Tail	a	the	Fragments of Supreme Desert Kizoar Tail		the	
DIFF SWAP 2690 2012									
DIFF CHANGED 2012 	_12994D455971C5B9	m0190dxaca01	Handful of Plain Fresh Bark	a	the	Handfuls of Plain Fresh Bark		the	
DIFF SWAP 2691 2013									
DIFF CHANGED 2013 	_181C4D8E0B0BA993	m0190dxacb01	Handful of Average Fresh Bark	a	the	Handfuls of Average Fresh Bark		the	
DIFF SWAP 2692 2014									
DIFF CHANGED 2014 	_8E1995515971C5B9	m0190dxacc01	Handful of Prime Fresh Bark	a	the	Handfuls of Prime Fresh Bark		the	
DIFF SWAP 2693 2015									
DIFF CHANGED 2015 	_838745F7095ED088	m0190dxacd01	Handful of Select Fresh Bark	a	the	Handfuls of Select Fresh Bark		the	
DIFF REMOVED 2016 	_0000000000000000	m0078ckije01	Fragment of Supreme Jungle Kizoar Tail	a	the	Fragments of Supreme Jungle Kizoar Tail		the	
DIFF REMOVED 2016 	_0000000000000000	m0078ckile01	Fragment of Supreme Lakes Kizoar Tail	a	the	Fragments of Supreme Lakes Kizoar Tail		the	
DIFF SWAP 2692 2016									
DIFF CHANGED 2016 	_47C89907095E8885	m0190dxace01	Handful of Superb Fresh Bark	a	the	Handfuls of Superb Fresh Bark		the	
DIFF SWAP 2693 2017									
DIFF CHANGED 2017 	_5561F92D989ECE1F	m0190dxacf01	Handful of Magnificient Fresh Bark	a	the	Handfuls of Magnificient Fresh Bark		the	
DIFF SWAP 2694 2018									
DIFF CHANGED 2018 	_3B4CCB6400FC99D1	m0191dxaca01	Handful of Plain Dry Bark	a	the	Handfuls of Plain Dry Bark		the	
DIFF SWAP 2695 2019									
DIFF CHANGED 2019 	_8CBBF9574127BD48	m0191dxacb01	Handful of Average Dry Bark	a	the	Handfuls of Average Dry Bark		the	
DIFF SWAP 2696 2020									
DIFF CHANGED 2020 	_F98CCF6E025D99D1	m0191dxacc01	Handful of Prime Dry Bark	a	the	Handfuls of Prime Dry Bark		the	
DIFF SWAP 2697 2021									
DIFF CHANGED 2021 	_BE2857746B11CF2D	m0191dxacd01	Handful of Select Dry Bark	a	the	Handfuls of Select Dry Bark		the	
DIFF REMOVED 2022 	_0000000000000000	m0081chgde01	Fragment of Supreme Desert Lumper Skin	a	the	Fragments of Supreme Desert Lumper Skin		the	
DIFF REMOVED 2022 	_0000000000000000	m0081chgfe01	Fragment of Supreme Forest Lumper Skin	a	the	Fragments of Supreme Forest Lumper Skin		the	
DIFF REMOVED 2022 	_0000000000000000	m0081chgje01	Fragment of Supreme Jungle Lumper Skin	a	the	Fragments of Supreme Jungle Lumper Skin		the	
DIFF REMOVED 2022 	_0000000000000000	m0081chgle01	Fragment of Supreme Lakes Lumper Skin	a	the	Fragments of Supreme Lakes Lumper Skin		the	
DIFF SWAP 2694 2022									
DIFF CHANGED 2022 	_FD196B886F11CF1B	m0191dxace01	Handful of Superb Dry Bark	a	the	Handfuls of Superb Dry Bark		the	
DIFF SWAP 2695 2023									
DIFF CHANGED 2023 	_8EBFC69AAFFAE62F	m0191dxacf01	Handful of Magnificient Dry Bark	a	the	Handfuls of Magnificient Dry Bark		the	
DIFF SWAP 2696 2024									
DIFF CHANGED 2024 	_6C4CC44AD93448F9	m0192dxaca01	Handful of Plain Dry Straw	a	the	Handfuls of Plain Dry Straw		the	
DIFF SWAP 2697 2025									
DIFF CHANGED 2025 	_00C4B1E13050BDE0	m0192dxacb01	Handful of Average Dry Straw	a	the	Handfuls of Average Dry Straw		the	
DIFF SWAP 2698 2026									
DIFF CHANGED 2026 	_2AFCFC585A3448F9	m0192dxacc01	Handful of Prime Dry Straw	a	the	Handfuls of Prime Dry Straw		the	
DIFF SWAP 2699 2027									
DIFF CHANGED 2027 	_A67F6F435F2D0B85	m0192dxacd01	Handful of Select Dry Straw	a	the	Handfuls of Select Dry Straw		the	
DIFF REMOVED 2028 	_0000000000000000	m0082chgde01	Fragment of Supreme Desert Lumper Spine	a	the	Fragments of Supreme Desert Lumper Spine		the	
DIFF REMOVED 2028 	_0000000000000000	m0082chgfe01	Fragment of Supreme Forest Lumper Spine	a	the	Fragments of Supreme Forest Lumper Spine		the	
DIFF REMOVED 2028 	_0000000000000000	m0082chgje01	Fragment of Supreme Jungle Lumper Spine	a	the	Fragments of Supreme Jungle Lumper Spine		the	
DIFF REMOVED 2028 	_0000000000000000	m0082chgle01	Fragment of Supreme Lakes Lumper Spine	a	the	Fragments of Supreme Lakes Lumper Spine		the	
DIFF SWAP 2696 2028									
DIFF CHANGED 2028 	_2E7F93635F2D0B61	m0192dxace01	Handful of Superb Dry Straw	a	the	Handfuls of Superb Dry Straw		the	
DIFF SWAP 2697 2029									
DIFF CHANGED 2029 	_A35DA07BEC7B2AD2	m0192dxacf01	Handful of Magnificient Dry Straw	a	the	Handfuls of Magnificient Dry Straw		the	
DIFF SWAP 2698 2030									
DIFF CHANGED 2030 	_2CFF0B3F5DD12DDE	m0193dxaca01	Handful of Plain Damp Straw	a	the	Handfuls of Plain Damp Straw		the	
DIFF SWAP 2699 2031									
DIFF CHANGED 2031 	_089C219AD44F50C6	m0193dxacb01	Handful of Average Damp Straw	a	the	Handfuls of Average Damp Straw		the	
DIFF SWAP 2700 2032									
DIFF CHANGED 2032 	_A87F534B5DD12DDE	m0193dxacc01	Handful of Prime Damp Straw	a	the	Handfuls of Prime Damp Straw		the	
DIFF SWAP 2701 2033									
DIFF CHANGED 2033 	_3DD359FA043EDCF0	m0193dxacd01	Handful of Select Damp Straw	a	the	Handfuls of Select Damp Straw		the	
DIFF REMOVED 2034 	_0000000000000000	m0083chgde01	Tuft of Supreme Desert Lumper Whiskers	a	the	Tufts of Supreme Desert Lumper Whiskers		the	
DIFF REMOVED 2034 	_0000000000000000	m0083chgfe01	Tuft of Supreme Forest Lumper Whiskers	a	the	Tufts of Supreme Forest Lumper Whiskers		the	
DIFF REMOVED 2034 	_0000000000000000	m0083chgje01	Tuft of Supreme Jungle Lumper Whiskers	a	the	Tufts of Supreme Jungle Lumper Whiskers		the	
DIFF REMOVED 2034 	_0000000000000000	m0083chgle01	Tuft of Supreme Lakes Lumper Whiskers	a	the	Tufts of Supreme Lakes Lumper Whiskers		the	
DIFF SWAP 2698 2034									
DIFF CHANGED 2034 	_0114AD0A043E94ED	m0193dxace01	Handful of Superb Damp Straw	a	the	Handfuls of Superb Damp Straw		the	
DIFF SWAP 2699 2035									
DIFF CHANGED 2035 	_D5958E18C6EEDA0A	m0193dxacf01	Handful of Magnificient Damp Straw	a	the	Handfuls of Magnificient Damp Straw		the	
DIFF SWAP 2700 2036									
DIFF CHANGED 2036 	_E71DCB0FA6D4AFB4	m0194dxaca01	Handful of Plain Dust	a	the	Handfuls of Plain Dust		the	
DIFF SWAP 2705 2037									
DIFF CHANGED 2037 	_4C94FCC0616CF826	m0194dxacb01	Handful of Average Dust	a	the	Handfuls of Average Dust		the	
DIFF SWAP 2706 2038									
DIFF CHANGED 2038 	_A7BEF315A6D48BB8	m0194dxacc01	Handful of Prime Dust	a	the	Handfuls of Prime Dust		the	
DIFF SWAP 2707 2039									
DIFF CHANGED 2039 	_293ACA024BF5F713	m0194dxacd01	Handful of Select Dust	a	the	Handfuls of Select Dust		the	
DIFF SWAP 2708 2040									
DIFF CHANGED 2040 	_F13ADE12C6E6F705	m0194dxace01	Handful of Superb Dust	a	the	Handfuls of Superb Dust		the	
DIFF SWAP 2709 2041									
DIFF CHANGED 2041 	_4A3715ED10151586	m0194dxacf01	Handful of Magnificient Dust	a	the	Handfuls of Magnificient Dust		the	
DIFF SWAP 2710 2042									
DIFF CHANGED 2042 	_4F6485BE8A63C179	m0195dxaca01	Plain Dry Fiber	some	the	Plain Dry Fibers		the	
DIFF SWAP 2711 2043									
DIFF CHANGED 2043 	_B5949EE8159E6F23	m0195dxacb01	Average Dry Fiber	some	the	Average Dry Fibers		the	
DIFF SWAP 2712 2044									
DIFF CHANGED 2044 	_D0648DB58B53E981	m0195dxacc01	Prime Dry Fiber	some	the	Prime Dry Fibers		the	
DIFF SWAP 2713 2045									
DIFF CHANGED 2045 	_932F61E6CD359ABF	m0195dxacd01	Select Dry Fiber	some	the	Select Dry Fibers		the	
DIFF SWAP 2714 2046									
DIFF CHANGED 2046 	_932F1DE39176EACF	m0195dxace01	Superb Dry Fiber	some	the	Superb Dry Fibers		the	
DIFF REMOVED 2047 	_0000000000000000	m0086chjde01	Fragment of Supreme Desert Mektoub Skin	a	the	Fragments of Supreme Desert Mektoub Skin		the	
DIFF REMOVED 2047 	_0000000000000000	m0086chjfe01	Fragment of Supreme Forest Mektoub Skin	a	the	Fragments of Supreme Forest Mektoub Skin		the	
DIFF REMOVED 2047 	_0000000000000000	m0086chjje01	Fragment of Supreme Jungle Mektoub Skin	a	the	Fragments of Supreme Jungle Mektoub Skin		the	
DIFF REMOVED 2047 	_0000000000000000	m0086chjle01	Fragment of Supreme Lakes Mektoub Skin	a	the	Fragments of Supreme Lakes Mektoub Skin		the	
DIFF REMOVED 2047 	_0000000000000000	m0086chjpe01	Fragment of Supreme Prime Root Mektoub Skin	a	the	Fragments of Supreme Prime Root Mektoub Skin		the	
DIFF SWAP 2710 2047									
DIFF CHANGED 2047 	_7930C773949113BC	m0195dxacf01	Magnificient Dry Fiber	some	the	Magnificient Dry Fibers		the	
DIFF SWAP 2711 2048									
DIFF CHANGED 2048 	_D943959D91C566B6	m0196dxaca01	Plain Damp Fiber	some	the	Plain Damp Fibers		the	
DIFF SWAP 2712 2049									
DIFF CHANGED 2049 	_07793A147B8E6307	m0196dxacb01	Average Damp Fiber	some	the	Average Damp Fibers		the	
DIFF SWAP 2713 2050									
DIFF CHANGED 2050 	_D9439D9450859EBC	m0196dxacc01	Prime Damp Fiber	some	the	Prime Damp Fibers		the	
DIFF SWAP 2714 2051									
DIFF CHANGED 2051 	_C7EC0EEC8F5EBF82	m0196dxacd01	Select Damp Fiber	some	the	Select Damp Fibers		the	
DIFF SWAP 2715 2052									
DIFF CHANGED 2052 	_C7EC820A8FE03F82	m0196dxace01	Superb Damp Fiber	some	the	Superb Damp Fibers		the	
DIFF SWAP 2716 2053									
DIFF CHANGED 2053 	_7CA13C5F8A5B0F4B	m0196dxacf01	Magnificient Damp Fiber	some	the	Magnificient Damp Fibers		the	
DIFF SWAP 2717 2054									
DIFF CHANGED 2054 	_16982550BACC9FC2	m0197dxaca01	Plain Rotting Fiber	some	the	Plain Rotting Fibers		the	
DIFF SWAP 2718 2055									
DIFF CHANGED 2055 	_179BA74AEDE3C0B1	m0197dxacb01	Average Rotting Fiber	some	the	Average Rotting Fibers		the	
DIFF SWAP 2719 2056									
DIFF CHANGED 2056 	_16083D4F3C4CB7C2	m0197dxacc01	Prime Rotting Fiber	some	the	Prime Rotting Fibers		the	
DIFF REMOVED 2057 	_0000000000000000	m0087chjde01	Supreme Desert Mektoub Trunk	a	the	Supreme Desert Mektoub Trunks		the	
DIFF REMOVED 2057 	_0000000000000000	m0087chjfe01	Supreme Forest Mektoub Trunk	a	the	Supreme Forest Mektoub Trunks		the	
DIFF REMOVED 2057 	_0000000000000000	m0087chjje01	Supreme Jungle Mektoub Trunk	a	the	Supreme Jungle Mektoub Trunks		the	
DIFF REMOVED 2057 	_0000000000000000	m0087chjle01	Supreme Lakes Mektoub Trunk	a	the	Supreme Lakes Mektoub Trunks		the	
DIFF REMOVED 2057 	_0000000000000000	m0087chjpe01	Supreme Prime Root Mektoub Trunk	a	the	Supreme Prime Root Mektoub Trunks		the	
DIFF SWAP 2715 2057									
DIFF CHANGED 2057 	_6703934FB01FC225	m0197dxacd01	Select Rotting Fiber	some	the	Select Rotting Fibers		the	
DIFF SWAP 2716 2058									
DIFF CHANGED 2058 	_2B035F6EB0600213	m0197dxace01	Superb Rotting Fiber	some	the	Superb Rotting Fibers		the	
DIFF SWAP 2717 2059									
DIFF CHANGED 2059 	_D0C42FA3AF295964	m0197dxacf01	Magnificient Rotting Fiber	some	the	Magnificient Rotting Fibers		the	
DIFF SWAP 2718 2060									
DIFF CHANGED 2060 	_37EFCF9304CEA559	m0198dxaca01	Fragment of Plain Small Pearly Shell	a	the	Fragments of Plain Small Pearly Shell		the	
DIFF SWAP 2719 2061									
DIFF CHANGED 2061 	_D9CA93486B898322	m0198dxacb01	Fragment of Average Small Pearly Shell	a	the	Fragments of Average Small Pearly Shell		the	
DIFF SWAP 2720 2062									
DIFF CHANGED 2062 	_3AD0EF9304CE8154	m0198dxacc01	Fragment of Prime Small Pearly Shell	a	the	Fragments of Prime Small Pearly Shell		the	
DIFF SWAP 2721 2063									
DIFF CHANGED 2063 	_D1B4EE92FE470B06	m0198dxacd01	Fragment of Select Small Pearly Shell	a	the	Fragments of Select Small Pearly Shell		the	
DIFF SWAP 2722 2064									
DIFF CHANGED 2064 	_D5F532927938C319	m0198dxace01	Fragment of Superb Small Pearly Shell	a	the	Fragments of Superb Small Pearly Shell		the	
DIFF SWAP 2723 2065									
DIFF CHANGED 2065 	_F0BF73B4A79191D6	m0198dxacf01	Fragment of Magnificient Small Pearly Shell	a	the	Fragments of Magnificient Small Pearly Shell		the	
DIFF SWAP 2724 2066									
DIFF CHANGED 2066 	_752FFF98405DA55A	m0199dxaca01	Fragment of Plain Large Pearly Shell	a	the	Fragments of Plain Large Pearly Shell		the	
DIFF SWAP 2725 2067									
DIFF CHANGED 2067 	_D6DB6341A939C710	m0199dxacb01	Fragment of Average Large Pearly Shell	a	the	Fragments of Average Large Pearly Shell		the	
DIFF SWAP 2726 2068									
DIFF CHANGED 2068 	_78101F98405D8155	m0199dxacc01	Fragment of Prime Large Pearly Shell	a	the	Fragments of Prime Large Pearly Shell		the	
DIFF SWAP 2727 2069									
DIFF CHANGED 2069 	_53A416863D47EF02	m0199dxacd01	Fragment of Select Large Pearly Shell	a	the	Fragments of Select Large Pearly Shell		the	
DIFF SWAP 2728 2070									
DIFF CHANGED 2070 	_57E55A86B838A715	m0199dxace01	Fragment of Superb Large Pearly Shell	a	the	Fragments of Superb Large Pearly Shell		the	
DIFF SWAP 2729 2071									
DIFF CHANGED 2071 	_F0BF3BAA2F1159D7	m0199dxacf01	Fragment of Magnificient Large Pearly Shell	a	the	Fragments of Magnificient Large Pearly Shell		the	
DIFF SWAP 2730 2072									
DIFF CHANGED 2072 	_F7A0D78F000DA551	m0200dxaca01	Fragment of Plain Giant Pearly Shell	a	the	Fragments of Plain Giant Pearly Shell		the	
DIFF SWAP 2731 2073									
DIFF CHANGED 2073 	_14DA833C6DA9831E	m0200dxacb01	Fragment of Average Giant Pearly Shell	a	the	Fragments of Average Giant Pearly Shell		the	
DIFF SWAP 2732 2074									
DIFF CHANGED 2074 	_FA81F78F000D814C	m0200dxacc01	Fragment of Prime Giant Pearly Shell	a	the	Fragments of Prime Giant Pearly Shell		the	
DIFF SWAP 2733 2075									
DIFF CHANGED 2075 	_91A4BE8EFB472B00	m0200dxacd01	Fragment of Select Giant Pearly Shell	a	the	Fragments of Select Giant Pearly Shell		the	
DIFF SWAP 2734 2076									
DIFF CHANGED 2076 	_95E5028E7638E313	m0200dxace01	Fragment of Superb Giant Pearly Shell	a	the	Fragments of Superb Giant Pearly Shell		the	
