DIFF_CMD	*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
DIFF CHANGED 541 	_84B28D1523CD8F5F	bczrea02	Zoraï Bowrifle Craft Pattern	a	the				Brick Craftman's plan for zorai bowgrifle	
DIFF CHANGED 542 	_4A669D7821904242	bczrea07	Electric Bowrifle Craft Pattern	a	the				Brick Craftman's plan for electric bowgrifle	
DIFF CHANGED 543 	_C73245B8615DBF49	bczrea03	Zoraï Launcher Craft Pattern	a	the				Brick Craftman's plan for zorai launcher	
DIFF CHANGED 544 	_8A95E1831DFA423D	bczrea08	Electric Launcher Craft Pattern	a	the				Brick Craftman's plan for electric launcher	
DIFF CHANGED 545 	_FA704910E5C03FE4	bczrea06	Zoraï Rifle Craft Pattern	a	the				Brick Craftman's plan for zorai rifle	
DIFF CHANGED 546 	_F4EFCEAE864E8390	bcfsea01	Fyros Buckler Craft Pattern	a	the				Brick Craftman's plan for fyros buckler	
DIFF CHANGED 547 	_A00AD201CA404B04	bcfsea02	Fyros Shield Craft Pattern	a	the				Brick Craftman's plan for fyros shield	
DIFF CHANGED 548 	_48C70E29F5721937	bcfsea03	Burning Buckler Craft Pattern	a	the				Brick Craftman's plan for burning buckler	
DIFF CHANGED 549 	_F4FE8AB5864E838A	bcmsea01	Matis Buckler Craft Pattern	a	the				Brick Craftman's plan for matis buckler	
DIFF CHANGED 550 	_9EBA120FCA404B04	bcmsea02	Matis Shield Craft Pattern	a	the				Brick Craftman's plan for matis shield	
DIFF CHANGED 551 	_C640055E6AEB0CD4	bcmsea03	Living Buckler Craft Pattern	a	the				Brick Craftman's plan for living buckler	
DIFF CHANGED 552 	_88622966AD5B40CE	bctsea01	Tryker Buckler Craft Pattern	a	the				Brick Craftman's plan for tryker buckler	
DIFF CHANGED 553 	_B540F6BFAD515C77	bctsea02	Tryker Shield Craft Pattern	a	the				Brick Craftman's plan for tryker shield	
DIFF CHANGED 554 	_C462E5696AEB0CD4	bctsea03	Waving Buckler Craft Pattern	a	the				Brick Craftman's plan for waving buckler	
DIFF CHANGED 555 	_718FF6C2864E5BFE	bczsea01	Zoraï Buckler Craft Pattern	a	the				Brick Craftman's plan for zorai buckler	
DIFF CHANGED 556 	_9A4B8229CA404B76	bczsea02	Zoraï Shield Craft Pattern	a	the				Brick Craftman's plan for zorai shield	
DIFF CHANGED 557 	_0A11875FCC668AEA	bczsea03	Electric Buckler Craft Pattern	a	the				Brick Craftman's plan for electric buckler	
DIFF CHANGED 558 	_909091D12659747E	bhq01	Quartering	a	the				Brick quartering	
DIFF CHANGED 559 	_731EBA4473D4709A	bcraeb07	Refugee Boots Craft Pattern	a	the				Brick Craftman's plan for refugee boots	
DIFF CHANGED 560 	_0950107BE4CF64C1	bcraeb08	Refugee Gloves Craft Pattern	a	the				Brick Craftman's plan for refugee gloves	
DIFF CHANGED 561 	_1639747BC4C740A4	bcraeb10	Refugee Sleeves	a	the				 	
DIFF CHANGED 562 	_2A16B2FD7C976135	bcfaca01	Fyros Armor 1	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 1 - Quality: $cr_recommended
DIFF CHANGED 563 	_6A16B2FDBC976136	bcfaca02	Fyros Armor 2	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 2 - Quality: $cr_recommended
DIFF CHANGED 564 	_AA16B2FDFC976137	bcfaca03	Fyros Armor 3	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 3 - Quality: $cr_recommended
DIFF CHANGED 565 	_EB16B2FD3D976138	bcfaca04	Fyros Armor 4	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 4 - Quality: $cr_recommended
DIFF CHANGED 566 	_2B16B2FD7D976139	bcfaca05	Fyros Armor 5	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 5 - Quality: $cr_recommended
DIFF CHANGED 567 	_6B16B2FDBD97613A	bcfaca06	Fyros Armor 6	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 6 - Quality: $cr_recommended
DIFF CHANGED 568 	_AB16B2FDFD97613B	bcfaca07	Fyros Armor 7	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 7 - Quality: $cr_recommended
DIFF CHANGED 569 	_EC16B2FD3E97613C	bcfaca08	Fyros Armor 8	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 8 - Quality: $cr_recommended
DIFF CHANGED 570 	_2C16B2FD7E97613D	bcfaca09	Fyros Armor 9	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 9 - Quality: $cr_recommended
DIFF CHANGED 571 	_4F2642B8865176E3	bcfaca10	Fyros Armor 10	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 10 - Quality: $cr_recommended
DIFF CHANGED 572 	_4F2642B8C6517EE3	bcfaca11	Fyros Armor 11	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 11 - Quality: $cr_recommended
DIFF CHANGED 573 	_4F2642B8065186E3	bcfaca12	Fyros Armor 12	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 12 - Quality: $cr_recommended
DIFF CHANGED 574 	_4F2642B846518EE3	bcfaca13	Fyros Armor 13	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 13 - Quality: $cr_recommended
DIFF CHANGED 575 	_4F2642B8875196E3	bcfaca14	Fyros Armor 14	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 14 - Quality: $cr_recommended
DIFF CHANGED 576 	_4F2642B8C7519EE3	bcfaca15	Fyros Armor 15	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 15 - Quality: $cr_recommended
DIFF CHANGED 577 	_4F2642B80751A6E3	bcfaca16	Fyros Armor 16	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 16 - Quality: $cr_recommended
DIFF CHANGED 578 	_4F2642B84751AEE3	bcfaca17	Fyros Armor 17	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 17 - Quality: $cr_recommended
DIFF CHANGED 579 	_4F2642B88851B6E3	bcfaca18	Fyros Armor 18	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 18 - Quality: $cr_recommended
DIFF CHANGED 580 	_4F2642B8C851BEE3	bcfaca19	Fyros Armor 19	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 19 - Quality: $cr_recommended
DIFF CHANGED 581 	_4F2642B8866176E5	bcfaca20	Fyros Armor 20	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 20 - Quality: $cr_recommended
DIFF CHANGED 582 	_4F2642B8C6617EE5	bcfaca21	Fyros Armor 21	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 21 - Quality: $cr_recommended
DIFF CHANGED 583 	_4F2642B8066186E5	bcfaca22	Fyros Armor 22	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 22 - Quality: $cr_recommended
DIFF CHANGED 584 	_4F2642B846618EE5	bcfaca23	Fyros Armor 23	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 23 - Quality: $cr_recommended
DIFF CHANGED 585 	_4F2642B8876196E5	bcfaca24	Fyros Armor 24	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 24 - Quality: $cr_recommended
DIFF CHANGED 586 	_4F2642B8C7619EE5	bcfaca25	Fyros Armor 25	a	the				Lets you make Fyros armor of quality $cr_recommended. 	Fyros Armor 25 - Quality: $cr_recommended
DIFF CHANGED 587 	_59734F5CE086BF85	bcfmca01	Fyros Melee Weapons 1	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 1 - Quality: $cr_recommended
DIFF CHANGED 588 	_59834F5C2086BF86	bcfmca02	Fyros Melee Weapons 2	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 2 - Quality: $cr_recommended
DIFF CHANGED 589 	_59934F5C6086BF87	bcfmca03	Fyros Melee Weapons 3	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 3 - Quality: $cr_recommended
DIFF CHANGED 590 	_59A34F5CA186BF88	bcfmca04	Fyros Melee Weapons 4	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 4 - Quality: $cr_recommended
DIFF CHANGED 591 	_59B34F5CE186BF89	bcfmca05	Fyros Melee Weapons 5	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 5 - Quality: $cr_recommended
DIFF CHANGED 592 	_59C34F5C2186BF8A	bcfmca06	Fyros Melee Weapons 6	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 6 - Quality: $cr_recommended
DIFF CHANGED 593 	_59D34F5C6186BF8B	bcfmca07	Fyros Melee Weapons 7	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 7 - Quality: $cr_recommended
DIFF CHANGED 594 	_59E34F5CA286BF8C	bcfmca08	Fyros Melee Weapons 8	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 8 - Quality: $cr_recommended
DIFF CHANGED 595 	_59F34F5CE286BF8D	bcfmca09	Fyros Melee Weapons 9	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 9 - Quality: $cr_recommended
DIFF CHANGED 596 	_015185EC47A5EAB5	bcfmca10	Fyros Melee Weapons 10	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 10 - Quality: $cr_recommended
DIFF CHANGED 597 	_015185EC87A5EEB6	bcfmca11	Fyros Melee Weapons 11	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 11 - Quality: $cr_recommended
DIFF CHANGED 598 	_015185ECC7A5F2B7	bcfmca12	Fyros Melee Weapons 12	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 12 - Quality: $cr_recommended
DIFF CHANGED 599 	_015185EC07A5F6B8	bcfmca13	Fyros Melee Weapons 13	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 13 - Quality: $cr_recommended
DIFF CHANGED 600 	_015185EC48A5FAB9	bcfmca14	Fyros Melee Weapons 14	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 14 - Quality: $cr_recommended
DIFF CHANGED 601 	_015185EC88A5FEBA	bcfmca15	Fyros Melee Weapons 15	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 15 - Quality: $cr_recommended
DIFF CHANGED 602 	_015185ECC8A502BB	bcfmca16	Fyros Melee Weapons 16	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 16 - Quality: $cr_recommended
DIFF CHANGED 603 	_015185EC08A506BC	bcfmca17	Fyros Melee Weapons 17	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 17 - Quality: $cr_recommended
DIFF CHANGED 604 	_015185EC49A50ABD	bcfmca18	Fyros Melee Weapons 18	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 18 - Quality: $cr_recommended
DIFF CHANGED 605 	_015185EC89A50EBE	bcfmca19	Fyros Melee Weapons 19	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 19 - Quality: $cr_recommended
DIFF CHANGED 606 	_415185EC47B5EAB6	bcfmca20	Fyros Melee Weapons 20	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 20 - Quality: $cr_recommended
DIFF CHANGED 607 	_415185EC87B5EEB7	bcfmca21	Fyros Melee Weapons 21	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 21 - Quality: $cr_recommended
DIFF CHANGED 608 	_415185ECC7B5F2B8	bcfmca22	Fyros Melee Weapons 22	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 22 - Quality: $cr_recommended
DIFF CHANGED 609 	_415185EC07B5F6B9	bcfmca23	Fyros Melee Weapons 23	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 23 - Quality: $cr_recommended
DIFF CHANGED 610 	_415185EC48B5FABA	bcfmca24	Fyros Melee Weapons 24	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 24 - Quality: $cr_recommended
DIFF CHANGED 611 	_415185EC88B5FEBB	bcfmca25	Fyros Melee Weapons 25	a	the				Lets you make Fyros melee weapons of quality $cr_recommended.	Fyros Melee Weapons 25 - Quality: $cr_recommended
DIFF CHANGED 612 	_9A735760DFB7C38A	bcfrca01	Fyros Range Weapons 1	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 1 - Quality: $cr_recommended
DIFF CHANGED 613 	_9A8357601FB7C38B	bcfrca02	Fyros Range Weapons 2	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 2 - Quality: $cr_recommended
DIFF CHANGED 614 	_9A9357605FB7C38C	bcfrca03	Fyros Range Weapons 3	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 3 - Quality: $cr_recommended
DIFF CHANGED 615 	_9AA35760A0B7C38D	bcfrca04	Fyros Range Weapons 4	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 4 - Quality: $cr_recommended
DIFF CHANGED 616 	_9AB35760E0B7C38E	bcfrca05	Fyros Range Weapons 5	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 5 - Quality: $cr_recommended
DIFF CHANGED 617 	_9AC3576020B7C38F	bcfrca06	Fyros Range Weapons 6	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 6 - Quality: $cr_recommended
DIFF CHANGED 618 	_9AD3576060B7C390	bcfrca07	Fyros Range Weapons 7	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 7 - Quality: $cr_recommended
DIFF CHANGED 619 	_9AE35760A1B7C391	bcfrca08	Fyros Range Weapons 8	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 8 - Quality: $cr_recommended
DIFF CHANGED 620 	_9AF35760E1B7C392	bcfrca09	Fyros Range Weapons 9	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 9 - Quality: $cr_recommended
DIFF CHANGED 621 	_425195F2C507FEB5	bcfrca10	Fyros Range Weapons 10	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 10 - Quality: $cr_recommended
DIFF CHANGED 622 	_425195F2050702B6	bcfrca11	Fyros Range Weapons 11	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 11 - Quality: $cr_recommended
DIFF CHANGED 623 	_425195F2450706B7	bcfrca12	Fyros Range Weapons 12	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 12 - Quality: $cr_recommended
DIFF CHANGED 624 	_425195F285070AB8	bcfrca13	Fyros Range Weapons 13	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 13 - Quality: $cr_recommended
DIFF CHANGED 625 	_425195F2C6070EB9	bcfrca14	Fyros Range Weapons 14	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 14 - Quality: $cr_recommended
DIFF CHANGED 626 	_425195F2060712BA	bcfrca15	Fyros Range Weapons 15	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 15 - Quality: $cr_recommended
DIFF CHANGED 627 	_425195F2460716BB	bcfrca16	Fyros Range Weapons 16	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 16 - Quality: $cr_recommended
DIFF CHANGED 628 	_425195F286071ABC	bcfrca17	Fyros Range Weapons 17	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 17 - Quality: $cr_recommended
DIFF CHANGED 629 	_425195F2C7071EBD	bcfrca18	Fyros Range Weapons 18	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 18 - Quality: $cr_recommended
DIFF CHANGED 630 	_425195F2070722BE	bcfrca19	Fyros Range Weapons 19	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 19 - Quality: $cr_recommended
DIFF CHANGED 631 	_825195F2C517FEB6	bcfrca20	Fyros Range Weapons 20	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 20 - Quality: $cr_recommended
DIFF CHANGED 632 	_825195F2051702B7	bcfrca21	Fyros Range Weapons 21	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 21 - Quality: $cr_recommended
DIFF CHANGED 633 	_825195F2451706B8	bcfrca22	Fyros Range Weapons 22	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 22 - Quality: $cr_recommended
DIFF CHANGED 634 	_825195F285170AB9	bcfrca23	Fyros Range Weapons 23	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 23 - Quality: $cr_recommended
DIFF CHANGED 635 	_825195F2C6170EBA	bcfrca24	Fyros Range Weapons 24	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 24 - Quality: $cr_recommended
DIFF CHANGED 636 	_825195F2061712BB	bcfrca25	Fyros Range Weapons 25	a	the				Lets you make Fyros range weapons of quality $cr_recommended.	Fyros Range Weapons 25 - Quality: $cr_recommended
DIFF CHANGED 637 	_09D1312F16CC70D8	bcfpca01	Fyros Ammo 1	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 1 - Quality: $cr_recommended
DIFF CHANGED 638 	_49D1312F96CC70D8	bcfpca02	Fyros Ammo 2	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 2 - Quality: $cr_recommended
DIFF CHANGED 639 	_89D1312F16CC70D8	bcfpca03	Fyros Ammo 3	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 3 - Quality: $cr_recommended
DIFF CHANGED 640 	_CAD1312F98CC70D8	bcfpca04	Fyros Ammo 4	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 4 - Quality: $cr_recommended
DIFF CHANGED 641 	_0AD1312F18CC70D8	bcfpca05	Fyros Ammo 5	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 5 - Quality: $cr_recommended
DIFF CHANGED 642 	_4AD1312F98CC70D8	bcfpca06	Fyros Ammo 6	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 6 - Quality: $cr_recommended
DIFF CHANGED 643 	_8AD1312F18CC70D8	bcfpca07	Fyros Ammo 7	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 7 - Quality: $cr_recommended
DIFF CHANGED 644 	_CBD1312F9ACC70D8	bcfpca08	Fyros Ammo 8	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 8 - Quality: $cr_recommended
DIFF CHANGED 645 	_0BD1312F1ACC70D8	bcfpca09	Fyros Ammo 9	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 9 - Quality: $cr_recommended
DIFF CHANGED 646 	_275290F3C43C7E6F	bcfpca10	Fyros Ammo 10	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 10 - Quality: $cr_recommended
DIFF CHANGED 647 	_275294F3043C7E70	bcfpca11	Fyros Ammo 11	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 11 - Quality: $cr_recommended
DIFF CHANGED 648 	_275298F3443C7E71	bcfpca12	Fyros Ammo 12	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 12 - Quality: $cr_recommended
DIFF CHANGED 649 	_27529CF3843C7E72	bcfpca13	Fyros Ammo 13	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 13 - Quality: $cr_recommended
DIFF CHANGED 650 	_2752A0F3C53C7E73	bcfpca14	Fyros Ammo 14	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 14 - Quality: $cr_recommended
DIFF CHANGED 651 	_2752A4F3053C7E74	bcfpca15	Fyros Ammo 15	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 15 - Quality: $cr_recommended
DIFF CHANGED 652 	_2752A8F3453C7E75	bcfpca16	Fyros Ammo 16	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 16 - Quality: $cr_recommended
DIFF CHANGED 653 	_2752ACF3853C7E76	bcfpca17	Fyros Ammo 17	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 17 - Quality: $cr_recommended
DIFF CHANGED 654 	_2752B0F3C63C7E77	bcfpca18	Fyros Ammo 18	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 18 - Quality: $cr_recommended
DIFF CHANGED 655 	_2752B4F3063C7E78	bcfpca19	Fyros Ammo 19	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 19 - Quality: $cr_recommended
DIFF CHANGED 656 	_675290F4C44C7E6F	bcfpca20	Fyros Ammo 20	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 20 - Quality: $cr_recommended
DIFF CHANGED 657 	_675294F4044C7E70	bcfpca21	Fyros Ammo 21	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 21 - Quality: $cr_recommended
DIFF CHANGED 658 	_675298F4444C7E71	bcfpca22	Fyros Ammo 22	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 22 - Quality: $cr_recommended
DIFF CHANGED 659 	_67529CF4844C7E72	bcfpca23	Fyros Ammo 23	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 23 - Quality: $cr_recommended
DIFF CHANGED 660 	_6752A0F4C54C7E73	bcfpca24	Fyros Ammo 24	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 24 - Quality: $cr_recommended
DIFF CHANGED 661 	_6752A4F4054C7E74	bcfpca25	Fyros Ammo 25	a	the				Lets you make Fyros ammo of quality $cr_recommended.	Fyros Ammo 25 - Quality: $cr_recommended
DIFF CHANGED 662 	_702BE4E6C5CFC4E4	bcfsca01	Fyros Shields 1	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 1 - Quality: $cr_recommended
DIFF CHANGED 663 	_702BE4E705DFC4E4	bcfsca02	Fyros Shields 2	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 2 - Quality: $cr_recommended
DIFF CHANGED 664 	_702BE4E845EFC4E4	bcfsca03	Fyros Shields 3	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 3 - Quality: $cr_recommended
DIFF CHANGED 665 	_702BE4E986FFC4E4	bcfsca04	Fyros Shields 4	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 4 - Quality: $cr_recommended
DIFF CHANGED 666 	_702BE4EAC60FC4E4	bcfsca05	Fyros Shields 5	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 5 - Quality: $cr_recommended
DIFF CHANGED 667 	_702BE4EB061FC4E4	bcfsca06	Fyros Shields 6	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 6 - Quality: $cr_recommended
DIFF CHANGED 668 	_702BE4EC462FC4E4	bcfsca07	Fyros Shields 7	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 7 - Quality: $cr_recommended
DIFF CHANGED 669 	_702BE4ED873FC4E4	bcfsca08	Fyros Shields 8	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 8 - Quality: $cr_recommended
DIFF CHANGED 670 	_702BE4EEC74FC4E4	bcfsca09	Fyros Shields 9	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 9 - Quality: $cr_recommended
DIFF CHANGED 671 	_C29F9A8880100026	bcfsca10	Fyros Shields 10	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 10 - Quality: $cr_recommended
DIFF CHANGED 672 	_C2AF9A8800100026	bcfsca11	Fyros Shields 11	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 11 - Quality: $cr_recommended
DIFF CHANGED 673 	_C2BF9A8880100026	bcfsca12	Fyros Shields 12	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 12 - Quality: $cr_recommended
DIFF CHANGED 674 	_C2CF9A8800100026	bcfsca13	Fyros Shields 13	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 13 - Quality: $cr_recommended
DIFF CHANGED 675 	_C2DF9A8882100026	bcfsca14	Fyros Shields 14	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 14 - Quality: $cr_recommended
DIFF CHANGED 676 	_C2EF9A8802100026	bcfsca15	Fyros Shields 15	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 15 - Quality: $cr_recommended
DIFF CHANGED 677 	_C2FF9A8882100026	bcfsca16	Fyros Shields 16	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 16 - Quality: $cr_recommended
DIFF CHANGED 678 	_C20F9A8802100026	bcfsca17	Fyros Shields 17	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 17 - Quality: $cr_recommended
DIFF CHANGED 679 	_C21F9A8884100026	bcfsca18	Fyros Shields 18	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 18 - Quality: $cr_recommended
DIFF CHANGED 680 	_C22F9A8804100026	bcfsca19	Fyros Shields 19	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 19 - Quality: $cr_recommended
DIFF CHANGED 681 	_C29F9E8880300026	bcfsca20	Fyros Shields 20	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 20 - Quality: $cr_recommended
DIFF CHANGED 682 	_C2AF9E8800300026	bcfsca21	Fyros Shields 21	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 21 - Quality: $cr_recommended
DIFF CHANGED 683 	_C2BF9E8880300026	bcfsca22	Fyros Shields 22	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 22 - Quality: $cr_recommended
DIFF CHANGED 684 	_C2CF9E8800300026	bcfsca23	Fyros Shields 23	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 23 - Quality: $cr_recommended
DIFF CHANGED 685 	_C2DF9E8882300026	bcfsca24	Fyros Shields 24	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 24 - Quality: $cr_recommended
DIFF CHANGED 686 	_C2EF9E8802300026	bcfsca25	Fyros Shields 25	a	the				Lets you make Fyros shields of quality $cr_recommended.	Fyros Shields 25 - Quality: $cr_recommended
DIFF CHANGED 687 	_8BF5FE93AB8E9A73	bcfjca01	Fyros Jewels 1	a	the				Lets you make Fyros jewels of quality $cr_recommended.	Fyros Jewels 1 - Quality: $cr_recommended
DIFF CHANGED 688 	_8BF5FE93EB8EA273	bcfjca02	Fyros Jewels 2	a	the				Lets you make Fyros jewels of quality $cr_recommended.	Fyros Jewels 2 - Quality: $cr_recommended
DIFF CHANGED 689 	_8BF5FE932B8EAA73	bcfjca03	Fyros Jewels 3	a	the				Lets you make Fyros jewels of quality $cr_recommended.	Fyros Jewels 3 - Quality: $cr_recommended
