*HASH_VALUE	creature ID	name	named	namedda	nameda	iaa	ia	iag	da	dag	daa	dad	p	pd	pia	pda	
_9F47225D962FA920	chcpc1	Gesunder Capryni	Gesunder Capryni	Gesunde Capryni	Gesunden Capryni	einen	ein	eines	der	des	den	dem	Gesunde Caprynis	Gesunden Caprynis	Gesunden Caprynis	die	
_2055D7981B61F88B	chcpc2	Vorsichtiger Capryni	Vorsichtiger Capryni	Vorsichtige Capryni	Vorsichtigen Capryni	einen	ein	eines	der	des	den	dem	Vorsichtige Caprynis	Vorsichtigen Caprynis	Vorsichtigen Caprynis	die	
_ECBB0A7BB4367EB9	chcpc3	Unersättlicher Capryni	Unersättlicher Capryni	Unersättliche Capryni	Unersättlichen Capryni	einen	ein	eines	der	des	den	dem	Unersättliche Caprynis	Unersättlichen Caprynis	Unersättlichen Caprynis	die	
_B6D7C3E25B41217D	chcpc4	Grunzender Capryni	Grunzender Capryni	Grunzende Capryni	Grunzenden Capryni	einen	ein	eines	der	des	den	dem	Grunzende Caprynis	Grunzenden Caprynis	Grunzenden Caprynis	die	
_DE64167AE359F189	chdda1	Baby-Yubo	Baby-Yubo	Baby-Yubo	Baby-Yubo	einen	ein	eines	der	des	den	dem	Baby-Yubos	Baby-Yubos	Baby-Yubos	die	
_9C26DA7D40371B77	chdda2	Unreifer Yubo	Unreifer Yubo	Unreife Yubo	Unreifen Yubo	einen	ein	eines	der	des	den	dem	Unreife Yubos	Unreifen Yubos	Unreifen Yubos	die	
_ED2FE279430DB0B4	chddb1	Furchtsamer Yubo	Furchtsamer Yubo	Furchtsame Yubo	Furchtsamen Yubo	einen	ein	eines	der	des	den	dem	Furchtsame Yubos	Furchtsamen Yubos	Furchtsamen Yubos	die	
_5EA7F66A0AB9F2FA	chddb2	Umherwandernder Yubo	Umherwandernder Yubo	Umherwandernde Yubo	Umherwandernden Yubo	einen	ein	eines	der	des	den	dem	Umherwandernde Yubos	Umherwandernden Yubos	Umherwandernden Yubos	die	
_E6C54E6C86BBF6FC	chddb3	Herumtollender Yubo	Herumtollender Yubo	Herumtollende Yubo	Herumtollenden Yubo	einen	ein	eines	der	des	den	dem	Herumtollende Yubos	Herumtollenden Yubos	Herumtollenden Yubos	die	
_3B1A491211F77813	chddb4	Munterer Yubo	Munterer Yubo	Muntere Yubo	Munteren Yubo	einen	ein	eines	der	des	den	dem	Muntere Yubos	Munteren Yubos	Munteren Yubos	die	
_49262F9E9CC43978	chddf1	Stürmischer Yubo	Stürmischer Yubo	Stürmische Yubo	Stürmischen Yubo	einen	ein	eines	der	des	den	dem	Stürmische Yubos	Stürmischen Yubos	Stürmischen Yubos	die	
_E015D6802799158A	chddf2	Aufgeregter Yubo	Aufgeregter Yubo	Aufgeregte Yubo	Aufgeregten Yubo	einen	ein	eines	der	des	den	dem	Aufgeregte Yubos	Aufgeregten Yubos	Aufgeregten Yubos	die	
_6046EE7AA889298C	chddf3	Grimmiger Yubo	Grimmiger Yubo	Grimmige Yubo	Grimmigen Yubo	einen	ein	eines	der	des	den	dem	Grimmige Yubos	Grimmigen Yubos	Grimmigen Yubos	die	
_1F14CD368DB38D59	chdfa1	Baby-Yubo	Baby-Yubo	Baby-Yubo	Baby-Yubo	einen	ein	eines	der	des	den	dem	Baby-Yubos	Baby-Yubos	Baby-Yubos	die	
_713F400A45AEC0D8	chdfa2	Unreifer Yubo	Unreifer Yubo	Unreife Yubo	Unreifen Yubo	einen	ein	eines	der	des	den	dem	Unreife Yubos	Unreifen Yubos	Unreifen Yubos	die	
_A8A964032CB9A3A6	chdfa7	Yubokin	Yubokin	Yubokin	Yubokin	einen	ein	eines	der	des	den	dem	Yubokins	Yubokins	Yubokins	die	
_FB1A9D1216186C27	chdfb1	Schüchterner Yubo	Schüchterne Yubo	Schüchternen Yubo	Schüchternen Yubo	einen	ein	eines	der	des	den	dem	Schüchterne Yubos	Schüchternen Yubos	Schüchternen Yubos	die	
_3A1A49101396681B	chdfb2	Umherwandernder Yubo	Umherwandernde Yubo	Umherwandernden Yubo	Umherwandernden Yubo	einen	ein	eines	der	des	den	dem	Umherwandernde Yubos	Umherwandernden Yubos	Umherwandernden Yubos	die	
_71FE3CFA487EF8D2	chdfb3	Flitzender Yubo	Flitzende Yubo	Flitzenden ubo	Flitzenden Yubo	einen	ein	eines	der	des	den	dem	Flitzende Yubos	Flitzenden Yubos	Flitzenden Yubos	die	
_3A1A811394777C21	chdfb4	Munterer Yubo	Muntere Yubo	Munteren Yubo	Munteren Yubo	einen	ein	eines	der	des	den	dem	Muntere Yubos	Munteren Yubos	Munteren Yubos	die	
_6889C89B22D7ABA1	chdfb5	Ora	Ora	Ora	Ora					der			Oras	Oras	Oras	die	
_5F64167AE359F189	chdja1	Baby-Yubo	Baby-Yubo	Baby-Yubo	Baby-Yubo	einen	ein	eines	der	des	den	dem	Baby-Yubos	Baby-Yubos	Baby-Yubos	die	
_1D26DA7D40371B77	chdja2	Unreifer Yubo	Unreifer Yubo	Unreife Yubo	Unreifen Yubo	einen	ein	eines	der	des	den	dem	Unreife Yubos	Unreifen Yubos	Unreifen Yubos	die	
_6E2FE279430DB0B4	chdjb1	Ängstlicher Yubo	Ängstliche Yubo	Ängstlichen Yubo	Ängstlichen Yubo	einen	ein	eines	der	des	den	dem	Ängstliche Yubos	Ängstlichen Yubos	Ängstlichen Yubos	die	
_DFA7F66A0AB9F2FA	chdjb2	Umherwandernder Yubo	Umherwandernde Yubo	Umherwandernden Yubo	Umherwandernden Yubo	einen	ein	eines	der	des	den	dem	Umherwandernde Yubos	Umherwandernden Yubos	Umherwandernden Yubos	die	
_67C54E6C86BBF6FC	chdjb3	Flitzender Yubo	Flitzende Yubo	Flitzenden Yubo	Flitzenden Yubo	einen	ein	eines	der	des	den	dem	Flitzende Yubos	Flitzenden Yubos	Flitzenden Yubos	die	
_BC1A491211F77813	chdjb4	Munterer Yubo	Muntere Yubo	Munteren Yubo	Munteren Yubo	einen	ein	eines	der	des	den	dem	Muntere Yubos	Munteren Yubos	Munteren Yubos	die	
_CA262F9E9CC43978	chdjf1	Stürmischer Yubo	Stürmischer Yubo	Stürmische Yubo	Stürmischen Yubo	einen	ein	eines	der	des	den	dem	Stürmische Yubos	Stürmischen Yubos	Stürmischen Yubos	die	
_6115D6802799158A	chdjf2	Aufgeregter Yubo	Aufgeregter Yubo	Aufgeregte Yubo	Aufgeregten Yubo	einen	ein	eines	der	des	den	dem	Aufgeregte Yubos	Aufgeregten Yubos	Aufgeregten Yubos	die	
_E146EE7AA889298C	chdjf3	Grimmiger Yubo	Grimmiger Yubo	Grimmige Yubo	Grimmigen Yubo	einen	ein	eines	der	des	den	dem	Grimmige Yubos	Grimmigen Yubos	Grimmigen Yubos	die	
_7A1A711116A66826	chdla1	Baby-Yubo	Baby-Yubo	Baby-Yubo	Baby-Yubo	einen	ein	eines	der	des	den	dem	Baby-Yubos	Baby-Yubos	Baby-Yubos	die	
_24B5DE7868E9258E	chdla2	Unreifer Yubo	Unreifer Yubo	Unreife Yubo	Unreifen Yubo	einen	ein	eines	der	des	den	dem	Unreife Yubos	Unreifen Yubos	Unreifen Yubos	die	
_EF2FE279430DB0B4	chdlb1	Furchtsamer Yubo	Furchtsamer Yubo	Furchtsame Yubo	Furchtsamen Yubo	einen	ein	eines	der	des	den	dem	Furchtsame Yubos	Furchtsamen Yubos	Furchtsamen Yubos	die	
_2284A150CAC4A958	chdlb2	Umherwandernder Yubo	Umherwandernder Yubo	Umherwandernde Yubo	Umherwandernden Yubo	einen	ein	eines	der	des	den	dem	Umherwandernde Yubos	Umherwandernden Yubos	Umherwandernden Yubos	die	
_2014993FCAC39562	chdlb3	Herumtollender Yubo	Herumtollender Yubo	Herumtollende Yubo	Herumtollenden Yubo	einen	ein	eines	der	des	den	dem	Herumtollende Yubos	Herumtollenden Yubos	Herumtollenden Yubos	die	
_FD1A490912E75417	chdlb4	Munterer Yubo	Munterer Yubo	Muntere Yubo	Munteren Yubo	einen	ein	eines	der	des	den	dem	Muntere Yubos	Munteren Yubos	Munteren Yubos	die	
_F43F341788DEFCCE	chdpa1	Baby-Yubo	Baby-Yubo	Baby-Yubo	Baby-Yubo	einen	ein	eines	der	des	den	dem	Baby-Yubos	Baby-Yubos	Baby-Yubos	die	
_27D519410AD3756C	chdpa2	Unreifer Yubo	Unreifer Yubo	Unreife Yubo	Unreifen Yubo	einen	ein	eines	der	des	den	dem	Unreife Yubos	Unreifen Yubos	Unreifen Yubos	die	
_324FD285085FF4B3	chdpa3	Unterwürfiger Yubo	Unterwürfiger Yubo	Unterwürfige Yubo	Unterwürfigen Yubo	einen	ein	eines	der	des	den	dem	Unterwürfige Yubos	Unterwürfigen Yubos	Unterwürfigen Yubos	die	
_8AD74799A505117B	chdpa4	Gütiger Yubo	Gütiger Yubo	Gütige Yubo	Gütigen Yubo	einen	ein	eines	der	des	den	dem	Gütige Yubos	Gütigen Yubos	Gütigen Yubos	die	
_8AD74799A505057C	chdpb1	Furchtsamer Yubo	Furchtsamer Yubo	Furchtsame Yubo	Furchtsamen Yubo	einen	ein	eines	der	des	den	dem	Furchtsame Yubos	Furchtsamen Yubos	Furchtsamen Yubos	die	
_1E14BA7C64E8558C	chdpb2	Umherwandernder Yubo	Umherwandernder Yubo	Umherwandernde Yubo	Umherwandernden Yubo	einen	ein	eines	der	des	den	dem	Umherwandernde Yubos	Umherwandernden Yubos	Umherwandernden Yubos	die	
_69E516648AF9F60A	chdpb3	Herumtollender Yubo	Herumtollender Yubo	Herumtollende Yubo	Herumtollenden Yubo	einen	ein	eines	der	des	den	dem	Herumtollende Yubos	Herumtollenden Yubos	Herumtollenden Yubos	die	
_B0EFBA81079DE0B4	chdpb4	Munterer Yubo	Munterer Yubo	Muntere Yubo	Munteren Yubo	einen	ein	eines	der	des	den	dem	Muntere Yubos	Munteren Yubos	Munteren Yubos	die	
_B0EFBA81079DD4B5	chdpc1	Gesunder Yubo	Gesunder Yubo	Gesunde Yubo	Gesunden Yubo	einen	ein	eines	der	des	den	dem	Gesunde Yubos	Gesunden Yubos	Gesunden Yubos	die	
_E5457E5686F9F201	chdpc2	Vorsichtiger Yubo	Vorsichtiger Yubo	Vorsichtige Yubo	Vorsichtigen Yubo	einen	ein	eines	der	des	den	dem	Vorsichtige Yubos	Vorsichtigen Yubos	Vorsichtigen Yubos	die	
_77E71F9B5FC0195E	chdpc3	Unersättlicher Yubo	Unersättlicher Yubo	Unersättliche Yubo	Unersättlichen Yubo	einen	ein	eines	der	des	den	dem	Unersättliche Yubos	Unersättlichen Yubos	Unersättlichen Yubos	die	
_E3E52E8C24C82D89	chdpc4	Grunzende Yubo	Grunzende Yubo	 Yubo	Grunzende Yubo	einen	ein	eines	der	des	den	dem	Grunzende Yubos	Grunzende Yubos	Grunzende Yubos	die	
_B3F6FBFBC954E6FD	chdpf1	Stürmischer Yubo	Stürmischer Yubo	Stürmische Yubo	Stürmischen Yubo	einen	ein	eines	der	des	den	dem	Stürmische Yubos	Stürmischen Yubos	Stürmischen Yubos	die	
_4A250F9E24930D8D	chdpf2	Aufgeregter Yubo	Aufgeregter Yubo	Aufgeregte Yubo	Aufgeregten Yubo	einen	ein	eines	der	des	den	dem	Aufgeregte Yubos	Aufgeregten Yubos	Aufgeregten Yubos	die	
_DFE4EE73A2C84191	chdpf3	Grimmiger Yubo	Grimmiger Yubo	Grimmige Yubo	Grimmigen Yubo	einen	ein	eines	der	des	den	dem	Grimmige Yubos	Grimmigen Yubos	Grimmigen Yubos	die	
_381A410016787823	chega1	Kränkelnder Cray	Kränkelnder Cray	Kränkelnde Cray	Kränkelnden Cray	einen	ein	eines	der	des	den	dem	Kränkelnde Crays	Kränkelnden Crays	Kränkelnden Crays	die	
_1A8B3FBD9D04B944	chega2	Verfaulender Cray	Verfaulender Cray	Verfaulende Cray	Verfaulenden Cray	einen	ein	eines	der	des	den	dem	Verfaulende Crays	Verfaulenden Crays	Verfaulenden Crays	die	
_A4D7CE6E0817F619	chega3	Verseuchter Cray	Verseuchter Cray	Verseuchte Cray	Verseuchten Cray	einen	ein	eines	der	des	den	dem	Verseuchte Crays	Verseuchten Crays	Verseuchten Crays	die	
_A716B3CE09F4C2FA	chega4	Infizierter Cray	Infizierter Cray	Infizierte Cray	Infizierten Cray	einen	ein	eines	der	des	den	dem	Infizierte Crays	Infizierten Crays	Infizierten Crays	die	
_A716B3CE09F4B6FB	chegb1	Widerlicher Cray	Widerlicher Cray	Widerliche Cray	Widerlichen Cray	einen	ein	eines	der	des	den	dem	Widerliche Crays	Widerlichen Crays	Widerlichen Crays	die	
_58365209F70F6985	chegb2	Stinkender Cray	Stinkender Cray	Stinkende Cray	Stinkenden Cray	einen	ein	eines	der	des	den	dem	Stinkende Crays	Stinkenden Crays	Stinkenden Crays	die	
_1EB7AE5C0239F6FA	chegb3	Krankhafter Cray	Krankhafter Cray	Krankhafte Cray	Krankhaften Cray	einen	ein	eines	der	des	den	dem	Krankhafte Crays	Krankhaften Crays	Krankhaften Crays	die	
_B51A5D039447901E	chegb4	Vergifteter Cray	Vergifteter Cray	Vergiftete Cray	Vergifteten Cray	einen	ein	eines	der	des	den	dem	Vergiftete Crays	Vergifteten Crays	Vergifteten Crays	die	
_B51A5D039447841F	chegc1	Gequälter Cray	Gequälter Cray	Gequälte Cray	Gequälten Cray	einen	ein	eines	der	des	den	dem	Gequälte Crays	Gequälten Crays	Gequälten Crays	die	
_1E559E620C19F2FB	chegc2	Kranker Cray	Kranker Cray	Kranke Cray	Kranken Cray	einen	ein	eines	der	des	den	dem	Kranke Crays	Kranken Crays	Kranken Crays	die	
_E355D261DC48F98B	chegc3	Fauler Cray	Fauler Cray	Faule Cray	Faulen Cray	einen	ein	eines	der	des	den	dem	Faule Crays	Faulen Crays	Faulen Crays	die	
_228602642029FD85	chegc4	Virulenter Cray	Virulenter Cray	Virulente Cray	Virulenten Cray	einen	ein	eines	der	des	den	dem	Virulente Crays	Virulenten Crays	Virulenten Crays	die	
_E63A0C88EA745290	chegc6	Cray	Cray	Cray	Cray	einen	ein	eines	der	des	den	dem	Crays	Crays	Crays	die	
_228602642029F186	chegd1	Verletzter Cray	Verletzter Cray	Verletzte Cray	Verletzten Cray	einen	ein	eines	der	des	den	dem	Verletzte Crays	Verletzten Crays	Verletzten Crays	die	
_B280EA85055E8CA0	chegd2	Eiternder Cray	Eiternder Cray	Eiternde Cray	Eiternden Cray	einen	ein	eines	der	des	den	dem	Eiternde Crays	Eiternden Crays	Eiternden Crays	die	
_F0EE58184E6E20B3	chegd3	Schädlicher Cray	Schädlicher Cray	Schädliche Cray	Schädlichen Cray	einen	ein	eines	der	des	den	dem	Schädliche Crays	Schädlichen Crays	Schädlichen Crays	die	
_3AD806DC22226478	chegd4	Gieriger Cray	Gieriger Cray	Gierige Cray	Gierigen Cray	einen	ein	eines	der	des	den	dem	Gierige Crays	Gierigen Crays	Gierigen Crays	die	
_3AD806DC22225879	chege1	Pustelübersäter Cray	Pustelübersäter Cray	Pustelübersäte Cray	Pustelübersäten Cray	einen	ein	eines	der	des	den	dem	Pustelübersäte Crays	Pustelübersäten Crays	Pustelübersäten Crays	die	
_1E15467602F9F2FD	chege2	Erschöpfter Cray	Erschöpfter Cray	Erschöpfte Cray	Erschöpften Cray	einen	ein	eines	der	des	den	dem	Erschöpfte Crays	Erschöpften Crays	Erschöpften Crays	die	
_26B4E935CD54F961	chege3	Schäumender Cray	Schäumender Cray	Schäumende Cray	Schäumenden Cray	einen	ein	eines	der	des	den	dem	Schäumende Crays	Schäumenden Crays	Schäumenden Crays	die	
_261556700679FA1B	chege4	Rebellischer Cray	Rebellischer Cray	Rebellische Cray	Rebellischen Cray	einen	ein	eines	der	des	den	dem	Rebellische Crays	Rebellischen Crays	Rebellischen Crays	die	
_261556700679EE1C	chegf1	Wahnsinniger Cray	Wahnsinniger Cray	Wahnsinnige Cray	Wahnsinnigen Cray	einen	ein	eines	der	des	den	dem	Wahnsinnige Crays	Wahnsinnigen Crays	Wahnsinnigen Crays	die	
_6495DA5E9B68F58E	chegf2	Wutschnaubender Cray	Wutschnaubender Cray	Wutschnaubende Cray	Wutschnaubenden Cray	einen	ein	eines	der	des	den	dem	Wutschnaubende Crays	Wutschnaubenden Crays	Wutschnaubenden Crays	die	
_1F85DE5A1CC84191	chegf3	Teuflischer Cray	Teuflischer Cray	Teuflische Cray	Teuflischen Cray	einen	ein	eines	der	des	den	dem	Teuflische Crays	Teuflischen Crays	Teuflischen Crays	die	
_6B8777D48D1386FA	cheja1	Baby-Cray	Baby-Cray	Baby-Cray	Baby-Cray	einen	ein	eines	der	des	den	dem	Baby-Crays	Baby-Crays	Baby-Crays	die	
_C746EF8E27860171	cheja2	Unreifer Cray	Unreifer Cray	Unreife Cray	Unreifen Cray	einen	ein	eines	der	des	den	dem	Unreife Crays	Unreifen Crays	Unreifen Crays	die	
_381A59F312A74C13	cheja3	Unterwürfiger Cray	Unterwürfiger Cray	Unterwürfige Cray	Unterwürfigen Cray	einen	ein	eines	der	des	den	dem	Unterwürfige Crays	Unterwürfigen Crays	Unterwürfigen Crays	die	
_6E3FE28386CD589D	cheja4	Gütiger Cray	Gütiger Cray	Gütige Cray	Gütigen Cray	einen	ein	eines	der	des	den	dem	Gütige Crays	Gütigen Crays	Gütigen Crays	die	
_6E3FE28386CD4C9E	chejb1	Furchtsamer Cray	Furchtsamer Cray	Furchtsame Cray	Furchtsamen Cray	einen	ein	eines	der	des	den	dem	Furchtsame Crays	Furchtsamen Crays	Furchtsamen Crays	die	
_B51A61FA11276410	chejb2	Umherwandernder Cray	Umherwandernder Cray	Umherwandernde Cray	Umherwandernden Cray	einen	ein	eines	der	des	den	dem	Umherwandernde Crays	Umherwandernden Crays	Umherwandernden Crays	die	
_A045026D2099418D	chejb3	Herumtollender Cray	Herumtollender Cray	Herumtollende Cray	Herumtollenden Cray	einen	ein	eines	der	des	den	dem	Herumtollende Crays	Herumtollenden Crays	Herumtollenden Crays	die	
_E4760262A05A7995	chejb4	Munterer Cray	Munterer Cray	Muntere Cray	Munteren Cray	einen	ein	eines	der	des	den	dem	Muntere Crays	Munteren Crays	Munteren Crays	die	
_E4760262A05A6D96	chejc1	Gesunder Cray	Gesunder Cray	Gesunde Cray	Gesunden Cray	einen	ein	eines	der	des	den	dem	Gesunde Crays	Gesunden Crays	Gesunden Crays	die	
_B15E3CFD0C1E24BF	chejc2	Vorsichtiger Cray	Vorsichtiger Cray	Vorsichtige Cray	Vorsichtigen Cray	einen	ein	eines	der	des	den	dem	Vorsichtige Crays	Vorsichtigen Crays	Vorsichtigen Crays	die	
_6E3FDA8CCB8E6C9F	chejc3	Unersättlicher Cray	Unersättlicher Cray	Unersättliche Cray	Unersättlichen Cray	einen	ein	eines	der	des	den	dem	Unersättliche Crays	Unersättlichen Crays	Unersättlichen Crays	die	
_E1B5D25C208A6185	chejc4	Grunzender Cray	Grunzender Cray	Grunzende Cray	Grunzenden Cray	einen	ein	eines	der	des	den	dem	Grunzende Crays	Grunzenden Crays	Grunzenden Crays	die	
_E1B5D25C208A5586	chejd1	Ruppiger Cray	Ruppiger Cray	Ruppige Cray	Ruppigen Cray	einen	ein	eines	der	des	den	dem	Ruppige Crays	Ruppigen Crays	Ruppigen Crays	die	
_8985BF9961531972	chejd2	Sturer Cray	Sturer Cray	Sture Cray	Sturen Cray	einen	ein	eines	der	des	den	dem	Sture Crays	Sturen Crays	Sturen Crays	die	
_7A1A41FA13D8681A	chejd3	Scharrender Cray	Scharrender Cray	Scharrende Cray	Scharrenden Cray	einen	ein	eines	der	des	den	dem	Scharrende Crays	Scharrenden Crays	Scharrenden Crays	die	
_7390F685468D54A0	chejd4	Klauender Cray	Klauender Cray	Klauende Cray	Klauenden Cray	einen	ein	eines	der	des	den	dem	Klauende Crays	Klauenden Crays	Klauenden Crays	die	
_7390F685468D48A1	cheje1	Verärgerter Cray	Verärgerter Cray	Verärgerte Cray	Verärgerten Cray	einen	ein	eines	der	des	den	dem	Verärgerte Crays	Verärgerten Crays	Verärgerten Crays	die	
_DFB5DE7202F9F2FD	cheje2	Boshafter Cray	Boshafter Cray	Boshafte Cray	Boshaften Cray	einen	ein	eines	der	des	den	dem	Boshafte Crays	Boshaften Crays	Boshaften Crays	die	
_6EEFAE8EC8DE90A1	cheje3	Unbändiger Cray	Unbändiger Cray	Unbändige Cray	Unbändigen Cray	einen	ein	eines	der	des	den	dem	Unbändige Crays	Unbändigen Crays	Unbändigen Crays	die	
_EE7FEA8704CE90A1	cheje4	Aggressiver Cray	Aggressiver Cray	Aggressive Cray	Aggressiven Cray	einen	ein	eines	der	des	den	dem	Aggressive Crays	Aggressiven Crays	Aggressiven Crays	die	
_DC916FEFFB3A6B1B	cheje5	Tin-bok-haï	Tin-bok-haï	Tin-bok-haï	Tin-bok-haï					des			Tin-bok-haïs	Tin-bok-haïs	Tin-bok-haïs	die	
_771A65FB16476423	chela1	Baby-Cray	Baby-Cray	Baby-Cray	Baby-Cray	einen	ein	eines	der	des	den	dem	Baby-Crays	Baby-Crays	Baby-Crays	die	
_A756CE5FE2E9258E	chela2	Unreifer Cray	Unreifer Cray	Unreife Cray	Unreifen Cray	einen	ein	eines	der	des	den	dem	Unreife Crays	Unreifen Crays	Unreifen Crays	die	
_361A61FA1127680F	chela3	Unterwürfiger Cray	Unterwürfiger Cray	Unterwürfige Cray	Unterwürfigen Cray	einen	ein	eines	der	des	den	dem	Unterwürfige Crays	Unterwürfigen Crays	Unterwürfigen Crays	die	
_EF3FE28386CD589D	chela4	Gütiger Cray	Gütiger Cray	Gütige Cray	Gütigen Cray	einen	ein	eines	der	des	den	dem	Gütige Crays	Gütigen Crays	Gütigen Crays	die	
_EF3FE28386CD4C9E	chelb1	Furchtsamer Cray	Furchtsamer Cray	Furchtsame Cray	Furchtsamen Cray	einen	ein	eines	der	des	den	dem	Furchtsame Crays	Furchtsamen Crays	Furchtsamen Crays	die	
_E423953ACAC4D157	chelb2	Umherwandernder Cray	Umherwandernder Cray	Umherwandernde Cray	Umherwandernden Cray	einen	ein	eines	der	des	den	dem	Umherwandernde Crays	Umherwandernden Crays	Umherwandernden Crays	die	
_E2B38D29CAC3BD61	chelb3	Herumtollender Cray	Herumtollender Cray	Herumtollende Cray	Herumtollenden Cray	einen	ein	eines	der	des	den	dem	Herumtollende Crays	Herumtollenden Crays	Herumtollenden Crays	die	
_FA1A3DF312885014	chelb4	Munterer Cray	Munterer Cray	Muntere Cray	Munteren Cray	einen	ein	eines	der	des	den	dem	Muntere Crays	Munteren Crays	Munteren Crays	die	
_FA1A3DF312884415	chelc1	Gesunder Cray	Gesunder Cray	Gesunde Cray	Gesunden Cray	einen	ein	eines	der	des	den	dem	Gesunde Crays	Gesunden Crays	Gesunden Crays	die	
_327E440C098DECB9	chelc2	Vorsichtiger Cray	Vorsichtiger Cray	Vorsichtige Cray	Vorsichtigen Cray	einen	ein	eines	der	des	den	dem	Vorsichtige Crays	Vorsichtigen Crays	Vorsichtigen Crays	die	
_327E1C12858FD0C3	chelc3	Unersättlicher Cray	Unersättlicher Cray	Unersättliche Cray	Unersättlichen Cray	einen	ein	eines	der	des	den	dem	Unersättliche Crays	Unersättlichen Crays	Unersättlichen Crays	die	
_E864DD2DCBB3E158	chelc4	Grunzender Cray	Grunzender Cray	Grunzende Cray	Grunzenden Cray	einen	ein	eines	der	des	den	dem	Grunzende Crays	Grunzenden Crays	Grunzenden Crays	die	
_E864DD2DCBB3D559	cheld1	Ruppiger Cray	Ruppiger Cray	Ruppige Cray	Ruppigen Cray	einen	ein	eines	der	des	den	dem	Ruppige Crays	Ruppigen Crays	Ruppigen Crays	die	
_A8041D2DCFB3E563	cheld2	Sturer Cray	Sturer Cray	Sture Cray	Sturen Cray	einen	ein	eines	der	des	den	dem	Sture Crays	Sturen Crays	Sturen Crays	die	
_E4D7225EDD89298A	cheld3	Scharrender Cray	Scharrender Cray	Scharrende Cray	Scharrenden Cray	einen	ein	eines	der	des	den	dem	Scharrende Crays	Scharrenden Crays	Scharrenden Crays	die	
_22D5C66122892D8A	cheld4	Klauender Cray	Klauender Cray	Klauende Cray	Klauenden Cray	einen	ein	eines	der	des	den	dem	Klauende Crays	Klauenden Crays	Klauenden Crays	die	
_22D5C6612289218B	chele1	Verärgerter Cray	Verärgerter Cray	Verärgerte Cray	Verärgerten Cray	einen	ein	eines	der	des	den	dem	Verärgerte Crays	Verärgerten Crays	Verärgerten Crays	die	
_E45506548AB9F203	chele2	Boshafter Cray	Boshafter Cray	Boshafte Cray	Boshaften Cray	einen	ein	eines	der	des	den	dem	Boshafte Crays	Boshaften Crays	Boshaften Crays	die	
_E455CE4C08F9F603	chele3	Unbändiger Cray	Unbändiger Cray	Unbändige Cray	Unbändigen Cray	einen	ein	eines	der	des	den	dem	Unbändige Crays	Unbändigen Crays	Unbändigen Crays	die	
_781A41F516F75827	chele4	Aggressiver Cray	Aggressiver Cray	Aggressive Cray	Aggressiven Cray	einen	ein	eines	der	des	den	dem	Aggressive Crays	Aggressiven Crays	Aggressiven Crays	die	
_F809A17706FF4012	chfga1	Kränkelnder Messab	Kränkelnder Messab	Kränkelnde Messab	Kränkelnden Messab	einen	ein	eines	der	des	den	dem	Kränkelnde Messabs	Kränkelnden Messabs	Kränkelnden Messabs	die	
_F71CB3975477D6D9	chfga2	Verfaulender Messab	Verfaulender Messab	Verfaulende Messab	Verfaulenden Messab	einen	ein	eines	der	des	den	dem	Verfaulende Messabs	Verfaulenden Messabs	Verfaulenden Messabs	die	
_1F781E400B923871	chfga3	Verseuchter Messab	Verseuchter Messab	Verseuchte Messab	Verseuchten Messab	einen	ein	eines	der	des	den	dem	Verseuchte Messabs	Verseuchten Messabs	Verseuchten Messabs	die	
_ADF5F34BF92A56E9	chfga4	Infizierter Messab	Infizierter Messab	Infizierte Messab	Infizierten Messab	einen	ein	eines	der	des	den	dem	Infizierte Messabs	Infizierten Messabs	Infizierten Messabs	die	
_ADF5F34BF92A4AEA	chfgb1	Widerlicher Messab	Widerlicher Messab	Widerliche Messab	Widerlichen Messab	einen	ein	eines	der	des	den	dem	Widerliche Messabs	Widerlichen Messabs	Widerlichen Messabs	die	
_560697D1D96F1159	chfgb2	Stinkender Messab	Stinkender Messab	Stinkende Messab	Stinkenden Messab	einen	ein	eines	der	des	den	dem	Stinkende Messabs	Stinkenden Messabs	Stinkenden Messabs	die	
_5BD7D64888A20C61	chfgb3	Krankhafter Messab	Krankhafter Messab	Krankhafte Messab	Krankhaften Messab	einen	ein	eines	der	des	den	dem	Krankhafte Messabs	Krankhaften Messabs	Krankhaften Messabs	die	
_F809BD8145FD2413	chfgb4	Vergifteter Messab	Vergifteter Messab	Vergiftete Messab	Vergifteten Messab	einen	ein	eines	der	des	den	dem	Vergiftete Messabs	Vergifteten Messabs	Vergifteten Messabs	die	
_F809BD8145FD1814	chfgc1	Gequälter Messab	Gequälter Messab	Gequälte Messab	Gequälten Messab	einen	ein	eines	der	des	den	dem	Gequälte Messabs	Gequälten Messabs	Gequälten Messabs	die	
_5A43FAD59620F178	chfgc3	Fauler Messab	Fauler Messab	Faule Messab	Faulen Messab	einen	ein	eines	der	des	den	dem	Faule Messabs	Faulen Messabs	Faulen Messabs	die	
_D8E362D556A01184	chfgc4	Virulenter Messab	Virulenter Messab	Virulente Messab	Virulenten Messab	einen	ein	eines	der	des	den	dem	Virulente Messabs	Virulenten Messabs	Virulenten Messabs	die	
_5F74CE89BC3B844C	chfgd2	Eiternder Messab	Eiternder Messab	Eiternde Messab	Eiternden Messab	einen	ein	eines	der	des	den	dem	Eiternde Messabs	Eiternden Messabs	Eiternden Messabs	die	
