*HASH_VALUE	creature ID	name	ia	da	p	pia	pda	cc	pr
_17E9286DE616E788	ccmgf2	Jugula frénétique	un	le	Jugulas frénétiques	des	les	du	au
_57E9286EE616EB88	ccmgf3	Jugula démoniaque	un	le	Jugulas démoniaques	des	les	du	au
_98E9286FE616EF88	ccmgf4	Jugula mortel	un	le	Jugulas mortels	des	les	du	au
_1AE94C6CE6A7E388	ccmpf1	Jugula horrifiant	un	le	Jugulas horrifiants	des	les	du	au
_5AE94C6DE6A7E788	ccmpf2	Jugula charismatique	un	le	Jugulas charismatiques	des	les	du	au
_9AE94C6EE6A7EB88	ccmpf3	Jugula horrible	un	le	Jugulas horribles	des	les	du	au
_DBE94C6FE6A7EF88	ccmpf4	Grand Jugula	un	le	Grands Jugulas	des	les	du	au
_5F96AC77A986EB6D	ccnlf1	Horncher horrifiant	un	le	Hornchers horrifiants	des	les	de l'	à l'
_9F96AC77A986EF6D	ccnlf2	Horncher charismatique	un	le	Hornchers charismatiques	des	les	de l'	à l'
_DF96AC77A986F36D	ccnlf3	Horncher horrible	un	le	Hornchers horribles	des	les	de l'	à l'
_2096AC77A986F76D	ccnlf4	Grand Horncher	un	le	Grands Hornchers	des	les	du	au
_6076BC77AA86EB6B	ccnpd1	Horncher rugissant	un	le	Hornchers rugissants	des	les	de l'	à l'
_A076BC77AA86EF6B	ccnpd2	Horncher maraudeur	un	le	Hornchers maraudeurs	des	les	de l'	à l'
_E076BC77AA86F36B	ccnpd3	Horncher chasseur	un	le	Hornchers chasseurs	des	les	de l'	à l'
_2176BC77AA86F76B	ccnpd4	Horncher rôdeur	un	le	Hornchers rôdeurs	des	les	de l'	à l'
_283873A66D67AAA9	ccodf1	Tyrancha horrifiant	un	le	Tyranchas horrifiants	des	les	du	au
_283877A66D67B2A9	ccodf2	Tyrancha charismatique	un	le	Tyranchas charismatiques	des	les	du	au
_28387BA66D67BAA9	ccodf3	Tyrancha horrible	un	le	Tyranchas horribles	des	les	du	au
_28387FA66D67C2A9	ccodf4	Grand Tyrancha	un	le	Grands Tyranchas	des	les	du	au
_2E3873A57067AAA7	ccope1	Tyrancha traqueur	un	le	Tyranchas traqueurs	des	les	du	au
_2E3877A57067B2A7	ccope2	Tyrancha violent	un	le	Tyranchas violents	des	les	du	au
_2E387BA57067BAA7	ccope3	Tyrancha effroyable	un	le	Tyranchas effroyables	des	les	du	au
_2E387FA57067C2A7	ccope4	Imposant Tyrancha	un	l'	Imposants Tyranchas	des	les	de l'	à l'
_2E3873A67067AAA9	ccopf1	Tyrancha horrifiant	un	le	Tyranchas horrifiants	des	les	du	au
_2E3877A67067B2A9	ccopf2	Tyrancha charismatique	un	le	Tyranchas charismatiques	des	les	du	au
_2E387BA67067BAA9	ccopf3	Tyrancha horrible	un	le	Tyranchas horribles	des	les	du	au
_2E387FA67067C2A9	ccopf4	Grand Tyrancha	un	le	Grands Tyranchas	des	les	du	au
_AA59C39E68B7FAA1	ccpjf1	Yetin horrifiant	un	le	Yetins horrifiants	des	les	du	au
_AA59C79E68B702A1	ccpjf2	Yetin charismatique	un	le	Yetins charismatiques	des	les	du	au
_AA59CB9E68B70AA1	ccpjf3	Yetin horrible	un	le	Yetins horribles	des	les	du	au
_AA59CF9E68B712A1	ccpjf4	Grand Yetin	un	le	Grands Yetins	des	les	du	au
_835DBD20342D9406	cdafa1	Cute lourdaud	un	le	Cutes lourdauds	des	les	du	au
_5767300A6A49C76F	cdafa2	Cute stupide	un	le	Cutes stupides	des	les	du	au
_6DFF6923EDF8DF29	cdafa3	Cute paisible	un	le	Cutes paisibles	des	les	du	au
_D6B5EC8816782BBE	cdafa4	Cute errant	un	le	Cutes errants	des	les	du	au
_D6B5EC8816781FBF	cdafb1	Cute paniqué	un	le	Cutes paniqués	des	les	du	au
_15B5988613F61BB3	cdafb2	Cute virulent	un	le	Cutes virulents	des	les	du	au
_57262CFA6D19FF69	cdafb3	Cute coriace	un	le	Cutes coriaces	des	les	du	au
_15B5D08994D72FB9	cdafb4	Cute barbare	un	le	Cutes barbares	des	les	du	au
_15B5D08994D723BA	cdafc1	Cute foreur	un	le	Cutes foreurs	des	les	du	au
_B0604921ABB8DB2B	cdafc2	Cute fureteur	un	le	Cutes fureteurs	des	les	du	au
_97B5988994972BBA	cdafc3	Cute scrutateur	un	le	Cutes scrutateurs	des	les	du	au
_40DF91F6E1A97821	cdafc4	Cute fougueux	un	le	Cutes fougueux	des	les	du	au
_40DF91F6E1A96C22	cdafd1	Cute sauvage	un	le	Cutes sauvages	des	les	du	au
_96B5EC8CD5A833BC	cdafd2	Cute habile	un	le	Cutes habiles	des	les	du	au
_098FDD1374B0F602	cdafd3	Cute chevronné	un	le	Cutes chevronnés	des	les	du	au
_C1D091EB207AE42F	cdafd4	Cute embusqué	un	le	Cutes embusqués	des	les	du	au
_C1D091EB207AD830	cdafe1	Cute rampant	un	le	Cutes rampants	des	les	du	au
_57B65409EFE8FB63	cdafe2	Cute grincheux	un	le	Cutes grincheux	des	les	du	au
_31618912E9B9F72D	cdafe3	Cute belligérant	un	le	Cutes belligérants	des	les	du	au
_6D608524EB88E72D	cdafe4	Cute terrorisant	un	le	Cutes terrorisants	des	les	du	au
_6D608524EB88DB2E	cdaff1	Cute agressif	un	le	Cutes agressifs	des	les	du	au
_C53D5A5207F33894	cdaff2	Cute colossal	un	le	Cutes colossaux	des	les	du	au
_5717FC056A48FF64	cdaff3	Cute sanguinaire	un	le	Cutes sanguinaires	des	les	du	au
_16B59C8C16372FBE	cdaga1	Cute impur	un	le	Cutes impurs	des	les	du	au
_DF258E3509AEE830	cdaga2	Cute tuméfié	un	le	Cutes tuméfiés	des	les	du	au
_4B114D2F70D0F619	cdaga3	Cute contaminé	un	le	Cutes contaminés	des	les	du	au
_85B10E5A09B37995	cdaga4	Cute infecté	un	le	Cutes infectés	des	les	du	au
_85B10E5A09B36D96	cdagb1	Cute écœurant	un	le	Cutes écœurants	des	les	du	au
_C45FBD0CF7B9C8FD	cdagb2	Cute puant	un	le	Cutes puants	des	les	du	au
_C5F12D1D6AF2F6FA	cdagb3	Cute morbide	un	le	Cutes morbides	des	les	du	au
_93B5B88F940647B9	cdagb4	Cute empoisonné	un	le	Cutes empoisonnés	des	les	du	au
_93B5B88F94063BBA	cdagc1	Cute souffrant	un	le	Cutes souffrants	des	les	du	au
_C58F1D2374D2F2FB	cdagc2	Cute fiévreux	un	le	Cutes fiévreux	des	les	du	au
_C1AF79F0DC486423	cdagc3	Cute putréfié	un	le	Cutes putréfiés	des	les	du	au
_00E0A9F32029681D	cdagc4	Cute venimeux	un	le	Cutes venimeux	des	les	du	au
_00E0A9F320295C1E	cdagd1	Cute ravagé	un	le	Cutes ravagés	des	les	du	au
_B2404509A869F72C	cdagd2	Cute poisseux	un	le	Cutes poisseux	des	les	du	au
_97674818F0190B61	cdagd3	Cute pestilentiel	un	le	Cutes pestilentiels	des	les	du	au
_A212D58AC9DB148B	cdagd4	Cute délirant	un	le	Cutes délirants	des	les	du	au
_A212D58AC9DB088C	cdage1	Cute pustuleux	un	le	Cutes pustuleux	des	les	du	au
_C54FC5376AB2F2FD	cdage2	Cute suintant	un	le	Cutes suintants	des	les	du	au
_C85EE53574CED80F	cdage3	Cute écumant	un	le	Cutes écumants	des	les	du	au
_CD4FD5316E32FA1B	cdage4	Cute répugnant	un	le	Cutes répugnants	des	les	du	au
_CD4FD5316E32EE1C	cdagf1	Cute dément	un	le	Cutes déments	des	les	du	au
_42EF81ED9B686026	cdagf2	Cute frénétique	un	le	Cutes frénétiques	des	les	du	au
_FDDF85E91CC8AC29	cdagf3	Cute démoniaque	un	le	Cutes démoniaques	des	les	du	au
_4922D2608DD23D95	cdaja1	Cute lourdaud	un	le	Cutes lourdauds		les	du	au
_8C364A2605616CE9	cdaja2	Cute stupide	un	le	Cutes stupides		les	du	au
_16B5B47F126603AE	cdaja3	Cute paisible	un	le	Cutes paisibles		les	du	au
_6EFF3D0729D8C329	cdaja4	Cute errant	un	le	Cutes errants	des	les	du	au
_6EFF3D0729D8B72A	cdajb1	Cute paniqué	un	le	Cutes paniqués	des	les	du	au
_93B5BC8611E61BAB	cdajb2	Cute virulent	un	le	Cutes virulents	des	les	du	au
_7E9FA9FC2099AC25	cdajb3	Cute coriace	un	le	Cutes coriaces	des	les	du	au
_C2D0A9F1A05AE42D	cdajb4	Cute barbare	un	le	Cutes barbares	des	les	du	au
_C2D0A9F1A05AD82E	cdajc1	Cute foreur	un	le	Cutes foreurs	des	les	du	au
_58D72CFDAEC90F6D	cdajc2	Cute fureteur	un	le	Cutes fureteurs	des	les	du	au
_6EFF35106E99D72B	cdajc3	Cute scrutateur	un	le	Cutes scrutateurs	des	les	du	au
_BF0F79EB208ACC1D	cdajc4	Cute fougueux	un	le	Cutes fougueux	des	les	du	au
_55B5C08716061BBE	cdala1	Cute lourdaud	un	le	Cutes lourdauds	des	les	du	au
_85B075EEE2E99026	cdala2	Cute stupide	un	le	Cutes stupides	des	les	du	au
_14B5BC8611E61FAA	cdala3	Cute paisible	un	le	Cutes paisibles	des	les	du	au
_EFFF3D0729D8C329	cdala4	Cute errant	un	le	Cutes errants	des	les	du	au
_ED28CCA25FF8D391	cdalc5	Doren	un	le	Dorens	des	les	du	au
_8A0ED92D722DB407	cdald1	Cute sauvage	un	le	Cutes sauvages	des	les	du	au
_4AAE192D762DC411	cdald2	Cute habile	un	le	Cutes habiles	des	les	du	au
_C231C9EDDD899422	cdald3	Cute chevronné	un	le	Cutes chevronnés	des	les	du	au
_002F6DF022899822	cdald4	Cute embusqué	un	le	Cutes embusqués	des	les	du	au
_002F6DF022898C23	cdale1	Cute rampant	un	le	Cutes rampants	des	les	du	au
_8B8F8515F272F203	cdale2	Cute grincheux	un	le	Cutes grincheux	des	les	du	au
_8B8F4D0D70B2F603	cdale3	Cute belligérant	un	le	Cutes belligérants	des	les	du	au
_56B59C8116B60FC2	cdale4	Cute terrorisant	un	le	Cutes terrorisants	des	les	du	au
_EBC7BF7EDEC6AB9C	cdapd1	Cute sauvage	un	le	Cutes sauvages	des	les	du	au
_EBC7C37E1EC6AF9C	cdapd2	Cute habile	un	le	Cutes habiles	des	les	du	au
_EBC7C77E5EC6B39C	cdapd3	Cute chevronné	un	le	Cutes chevronnés	des	les	du	au
_EBC7CB7E9FC6B79C	cdapd4	Cute embusqué	un	le	Cutes embusqués	des	les	du	au
_EBC7BF7FDED6AB9D	cdape1	Cute rampant	un	le	Cutes rampants	des	les	du	au
_EBC7C37F1ED6AF9D	cdape2	Cute grincheux	un	le	Cutes grincheux	des	les	du	au
_EBC7C77F5ED6B39D	cdape3	Cute belligérant	un	le	Cutes belligérants	des	les	du	au
_EBC7CB7F9FD6B79D	cdape4	Cute terrorisant	un	le	Cutes terrorisants	des	les	du	au
_5E725D7C97DBE880	cdbda1	Gibbaï lourdaud	un	le	Gibbaïs lourdauds	des	les	du	au
_5EF5DE2306031FFA	cdbda2	Gibbaï stupide	un	le	Gibbaïs stupides	des	les	du	au
_604ED21874AB71F4	cdbda3	Gibbaï paisible	un	le	Gibbaïs paisibles	des	les	du	au
_E096D1F9372ADFCD	cdbda4	Gibbaï errant	un	le	Gibbaïs errants	des	les	du	au
_E096D1F9372AD3CE	cdbdb1	Gibbaï paniqué	un	le	Gibbaïs paniqués	des	les	du	au
_5D9F8A25F39B6DFC	cdbdb2	Gibbaï virulent	un	le	Gibbaïs virulents	des	les	du	au
_E4BF9A3631ACADEE	cdbdb3	Gibbaï coriace	un	le	Gibbaïs coriaces	des	les	du	au
_B769F89746872F92	cdbdb4	Gibbaï barbare	un	le	Gibbaïs barbares	des	les	du	au
_B769F89746872393	cdbdc1	Gibbaï foreur	un	le	Gibbaïs foreurs	des	les	du	au
_61C739FFB7AAD7DC	cdbdc2	Gibbaï fureteur	un	le	Gibbaïs fureteurs	des	les	du	au
_25B701FFB52ADBDE	cdbdc3	Gibbaï scrutateur	un	le	Gibbaïs scrutateurs	des	les	du	au
_97D3696D9CFAFC87	cdbdc4	Gibbaï fougueux	un	le	Gibbaïs fougueux	des	les	du	au
_97D3696D9CFAF088	cdbdd1	Gibbaï sauvage	un	le	Gibbaïs sauvages	des	les	du	au
_E2060903F61AD7D9	cdbdd2	Gibbaï habile	un	le	Gibbaïs habiles	des	les	du	au
_B2B5423396291463	cdbdd3	Gibbaï chevronné	un	le	Gibbaïs chevronnés	des	les	du	au
_9993297597493C83	cdbdd4	Gibbaï embusqué	un	le	Gibbaïs embusqués	des	les	du	au
_9993297597493084	cdbde1	Gibbaï rampant	un	le	Gibbaïs rampants	des	les	du	au
_59A38D7A592A3C99	cdbde2	Gibbaï grincheux	un	le	Gibbaïs grincheux	des	les	du	au
_64DEAA3230AC95F7	cdbde3	Gibbaï belligérant	un	le	Gibbaïs belligérants	des	les	du	au
_B61532391909146B	cdbde4	Gibbaï terrorisant	un	le	Gibbaïs terrorisants	des	les	du	au
_B61532391909086C	cdbdf1	Gibbaï agressif	un	le	Gibbaïs agressifs	des	les	du	au
_99834975DC5A3C84	cdbdf2	Gibbaï colossal	un	le	Gibbaïs colossaux	des	les	du	au
_D6F4816C9E2A5097	cdbdf3	Gibbaï sanguinaire	un	le	Gibbaïs sanguinaires	des	les	du	au
_E6D66F8CA724A28D	cdbfd1	Gibbaï sauvage	un	le	Gibbaïs sauvages	des	les	du	au
_E6D6738CA724AA8D	cdbfd2	Gibbaï habile	un	le	Gibbaïs habiles	des	les	du	au
_E6D6778CA724B28D	cdbfd3	Gibbaï chevronné	un	le	Gibbaïs chevronnés	des	les	du	au
_E6D67B8CA724BA8D	cdbfd4	Gibbaï embusqué	un	le	Gibbaïs embusqués	des	les	du	au
_E6D66F8DA724A28F	cdbfe1	Gibbaï rampant	un	le	Gibbaïs rampants	des	les	du	au
_E6D6738DA724AA8F	cdbfe2	Gibbaï grincheux	un	le	Gibbaïs grincheux	des	les	du	au
_E6D6778DA724B28F	cdbfe3	Gibbaï belligérant	un	le	Gibbaïs belligérants	des	les	du	au
_E6D67B8DA724BA8F	cdbfe4	Gibbaï terrorisant	un	le	Gibbaïs terrorisants	des	les	du	au
_E6D67F8DA724C28F	cdbfe5	Mahi	un	le	Mahis	des	les	du	au
_7769FC9C4C981791	cdbga1	Gibbaï impur	un	le	Gibbaïs impurs	des	les	du	au
_5A85769BD2F935E1	cdbga2	Gibbaï tuméfié	un	le	Gibbaïs tuméfiés	des	les	du	au
_24E0DA29B3AC9D0C	cdbga3	Gibbaï contaminé	un	le	Gibbaïs contaminés	des	les	du	au
_2C554E703FC32D68	cdbga4	Gibbaï infecté	un	le	Gibbaïs infectés	des	les	du	au
_2C554E703FC32169	cdbgb1	Gibbaï écœurant	un	le	Gibbaïs écœurants	des	les	du	au
_D45FA2EEFED8FCEA	cdbgb2	Gibbaï puant	un	le	Gibbaïs puants	des	les	du	au
_603F923130BC71FC	cdbgb3	Gibbaï morbide	un	le	Gibbaïs morbides	des	les	du	au
_776918A68B96FB92	cdbgb4	Gibbaï empoisonné	un	le	Gibbaïs empoisonnés	des	les	du	au
_776918A68B96EF93	cdbgc1	Gibbaï souffrant	un	le	Gibbaïs souffrants	des	les	du	au
_E0BEDA3335AC6DF2	cdbgc2	Gibbaï fiévreux	un	le	Gibbaïs fiévreux	des	les	du	au
_5B9211715ACA0C80	cdbgc3	Gibbaï putréfié	un	le	Gibbaïs putréfiés	des	les	du	au
_D93279711A4A2C8C	cdbgc4	Gibbaï venimeux	un	le	Gibbaïs venimeux	des	les	du	au
_D93279711A4A208D	cdbgd1	Gibbaï ravagé	un	le	Gibbaïs ravagés	des	les	du	au
_A5B6D9F3791BD7E4	cdbgd2	Gibbaï poisseux	un	le	Gibbaïs poisseux	des	les	du	au
_23A1B10BEA1440C2	cdbgd3	Gibbaï pestilentiel	un	le	Gibbaïs pestilentiels	des	les	du	au
_593286C2F3B64B4B	cdbgd4	Gibbaï délirant	un	le	Gibbaïs délirants	des	les	du	au
_593286C2F3B63F4C	cdbge1	Gibbaï pustuleux	un	le	Gibbaïs pustuleux	des	les	du	au
_1D3F5E3C309C6DF2	cdbge2	Gibbaï suintant	un	le	Gibbaïs suintants	des	les	du	au
_CBC4384CF27D734E	cdbge3	Gibbaï écumant	un	le	Gibbaïs écumants	des	les	du	au
_A18F863D32CDB509	cdbge4	Gibbaï répugnant	un	le	Gibbaïs répugnants	des	les	du	au
_A18F863D32CDA90A	cdbgf1	Gibbaï dément	un	le	Gibbaïs déments	des	les	du	au
_5C82117598EA2081	cdbgf2	Gibbaï frénétique	un	le	Gibbaïs frénétiques	des	les	du	au
_97223D711C590C98	cdbgf3	Gibbaï démoniaque	un	le	Gibbaïs démoniaques	des	les	du	au
_AFE75A60FFD3F95D	cdbja1	Gibbaï lourdaud	un	le	Gibbaïs lourdauds	des	les	du	au
_7A545A2E1B6ACC83	cdbja2	Gibbaï stupide	un	le	Gibbaïs stupides	des	les	du	au
_3869149505661391	cdbja3	Gibbaï paisible	un	le	Gibbaïs paisibles	des	les	du	au
_6196D1F9372ADFCD	cdbja4	Gibbaï errant	un	le	Gibbaïs errants	des	les	du	au
_D7A2697FDB1A548C	cdbjd1	Gibbaï sauvage	un	le	Gibbaïs sauvages	des	les	du	au
_B6B4523517A9F86F	cdbjd2	Gibbaï habile	un	le	Gibbaïs habiles	des	les	du	au
_3869FC96C8373794	cdbjd3	Gibbaï chevronné	un	le	Gibbaïs chevronnés	des	les	du	au
_A6E6D9F4361ADFE4	cdbjd4	Gibbaï embusqué	un	le	Gibbaïs embusqués	des	les	du	au
_A6E6D9F4361AD3E5	cdbje1	Gibbaï rampant	un	le	Gibbaïs rampants	des	les	du	au
_A36FAA3A309C6DF7	cdbje2	Gibbaï grincheux	un	le	Gibbaïs grincheux	des	les	du	au
_1FC6FDFE771BDBD1	cdbje3	Gibbaï belligérant	un	le	Gibbaïs belligérants	des	les	du	au
_61B6E1EF370BDFD3	cdbje4	Gibbaï terrorisant	un	le	Gibbaïs terrorisants	des	les	du	au
_6BD81C9EDD299B99	cdbjf5	Tenib	un	le	Tenibs	des	les	du	au
_A0D25985F8DB0002	cdcda1	Frahar lourdaud	un	le	Frahars lourdauds	des	les	du	au
_BF96F222481C1F00	cdcda2	Frahar stupide	un	le	Frahars stupides	des	les	du	au
_834E0E16B69B7BF4	cdcda3	Frahar paisible	un	le	Frahars paisibles	des	les	du	au
_81CFE9FE39ABDBCD	cdcda4	Frahar errant	un	le	Frahars errants	des	les	du	au
_D9336576FDFA080A	cdcdd1	Frahar sauvage	un	le	Frahars sauvages	des	les	du	au
_833F2108F89BD3D9	cdcdd2	Frahar habile	un	le	Frahars habiles	des	les	du	au
_13565632D8421469	cdcdd3	Frahar chevronné	un	le	Frahars chevronnés	des	les	du	au
_DBF3257EF8495405	cdcdd4	Frahar embusqué	un	le	Frahars embusqués	des	les	du	au
_A377C8B76747D7B4	cdcdd5	Scythe	un	le	Scythes	des	les	du	au
_DBF3257EF8494806	cdcde1	Frahar rampant	un	le	Frahars rampants	des	les	du	au
_9B038983BA2A541B	cdcde2	Frahar grincheux	un	le	Frahars grincheux	des	les	du	au
_87DEE630729C9FF7	cdcde3	Frahar belligérant	un	le	Frahars belligérants	des	les	du	au
_7969FC1FEDF82B99	cdcga1	Frahar impur	un	le	Frahars impurs	des	les	du	au
_1A866EA49222356A	cdcga2	Frahar tuméfié	un	le	Frahars tuméfiés	des	les	du	au
_47E01627F59CA70C	cdcga3	Frahar contaminé	un	le	Frahars contaminés	des	les	du	au
_2E554EF3E0234170	cdcga4	Frahar infecté	un	le	Frahars infectés	des	les	du	au
_2E554EF3E0233571	cdcgb1	Frahar écœurant	un	le	Frahars écœurants	des	les	du	au
_94CF9E7ABE38F876	cdcgb2	Frahar puant	un	le	Frahars puants	des	les	du	au
_833FCE2F72AC7BFC	cdcgb3	Frahar morbide	un	le	Frahars morbides	des	les	du	au
_796918292CF60F9A	cdcgb4	Frahar empoisonné	un	le	Frahars empoisonnés	des	les	du	au
_796918292CF6039B	cdcgc1	Frahar souffrant	un	le	Frahars souffrants	des	les	du	au
_03BE1631779C77F2	cdcgc2	Frahar fiévreux	un	le	Frahars fiévreux	des	les	du	au
_9DF20D7ABBCA2402	cdcgc3	Frahar putréfié	un	le	Frahars putréfiés	des	les	du	au
_1B92757A7B4A440E	cdcgc4	Frahar venimeux	un	le	Frahars venimeux	des	les	du	au
_1B92757A7B4A380F	cdcgd1	Frahar ravagé	un	le	Frahars ravagés	des	les	du	au
_46EFF1F87B9CD3E4	cdcgd2	Frahar poisseux	un	le	Frahars poisseux	des	les	du	au
_23B1C50BEEF488C0	cdcgd3	Frahar pestilentiel	un	le	Frahars pestilentiels	des	les	du	au
_1D22AAC194B66D4A	cdcgd4	Frahar délirant	un	le	Frahars délirants	des	les	du	au
_1D22AAC194B6614B	cdcge1	Frahar pustuleux	un	le	Frahars pustuleux	des	les	du	au
_403F9A3A728C77F2	cdcge2	Frahar suintant	un	le	Frahars suintants	des	les	du	au
_4DC4664B746DA14D	cdcge3	Frahar écumant	un	le	Frahars écumants	des	les	du	au
_C48FC23B74BDBF09	cdcge4	Frahar répugnant	un	le	Frahars répugnants	des	les	du	au
_C48FC23B74BDB30A	cdcgf1	Frahar dément	un	le	Frahars déments	des	les	du	au
_9EE20D7EF9EA3803	cdcgf2	Frahar frénétique	un	le	Frahars frénétiques	des	les	du	au
_D982397A7D59241A	cdcgf3	Frahar démoniaque	un	le	Frahars démoniaques	des	les	du	au
_66B17D09EED480BD	cdcpa1	Frahar lourdaud	un	le	Frahars lourdauds	des	les	du	au
_D2840E43B62D4541	cdcpa2	Frahar stupide	un	le	Frahars stupides	des	les	du	au
_048F190D7E9CD7D6	cdcpa3	Frahar paisible	un	le	Frahars paisibles	des	les	du	au
_1CE566311E83008D	cdcpa4	Frahar errant	un	le	Frahars errants	des	les	du	au
_1CE566311E83F48E	cdcpb1	Frahar paniqué	un	le	Frahars paniqués	des	les	du	au
_5B13FD7E4009300B	cdcpb2	Frahar virulent	un	le	Frahars virulents	des	les	du	au
_888EE222F52BBBF6	cdcpb3	Frahar coriace	un	le	Frahars coriaces	des	les	du	au
_832F090D7B3BDBCD	cdcpb4	Frahar barbare	un	le	Frahars barbares	des	les	du	au
_832F090D7B3BCFCE	cdcpc1	Frahar foreur	un	le	Frahars foreurs	des	les	du	au
_094EEE23735B9BF5	cdcpc2	Frahar fureteur	un	le	Frahars fureteurs	des	les	du	au
_0715EAE15FE20476	cdcpc3	Frahar scrutateur	un	le	Frahars scrutateurs	des	les	du	au
_20143D897E696412	cdcpc4	Frahar fougueux	un	le	Frahars fougueux	des	les	du	au
_20143D897E695813	cdcpd1	Frahar sauvage	un	le	Frahars sauvages	des	les	du	au
_886FFE31F51B9BF6	cdcpd2	Frahar habile	un	le	Frahars habiles	des	les	du	au
_4E14163F32BD5140	cdcpd3	Frahar chevronné	un	le	Frahars chevronnés	des	les	du	au
_C91FF1F9389BDBE4	cdcpd4	Frahar embusqué	un	le	Frahars embusqués	des	les	du	au
_C91FF1F9389BCFE5	cdcpe1	Frahar rampant	un	le	Frahars rampants	des	les	du	au
_827FF1F87CDCD3D0	cdcpe2	Frahar grincheux	un	le	Frahars grincheux	des	les	du	au
_0CDFFA5DF088355F	cdcpe3	Frahar belligérant	un	le	Frahars belligérants	des	les	du	au
_F3F69A13E3E46D6E	cdcpe4	Frahar terrorisant	un	le	Frahars terrorisants	des	les	du	au
_F3F69A13E3E4616F	cdcpf1	Frahar agressif	un	le	Frahars agressifs	des	les	du	au
_56F59A305BA20C90	cdcpf2	Frahar colossal	un	le	Frahars colossaux	des	les	du	au
_1C82397A7D59241A	cdcpf3	Frahar sanguinaire	un	le	Frahars sanguinaires	des	les	du	au
_3EAE95EBDD595C21	chada1	Arma allaitant	un	l'	Armas allaitants	des	les	de l'	à l'
_82CF391D5CB61B12	chada2	Arma sevré	un	l'	Armas sevrés	des	les	de l'	à l'
_050F15FF7090F6F9	chada3	Arma docile	un	l'	Armas dociles	des	les	de l'	à l'
_EDFF4D036637AF27	chada4	Arma doux	un	l'	Armas doux	des	les	de l'	à l'
_EDFF4D036637A328	chadb1	Arma craintif	un	l'	Armas craintifs	des	les	de l'	à l'
_05F1B51B6E70F2FA	chadb2	Arma vagabondant	un	l'	Armas vagabondants	des	les	de l'	à l'
_8D0F0D1DEA72F6FC	chadb3	Arma détalant	un	l'	Armas détalants	des	les	de l'	à l'
_95449C8611170FA8	chadb4	Arma endiablé	un	l'	Armas endiablés	des	les	de l'	à l'
_95449C86111703A9	chadc1	Arma robuste	un	l'	Armas robustes	des	les	de l'	à l'
_3060591DE817C729	chadc2	Arma prudent	un	l'	Armas prudents	des	les	de l'	à l'
_B151550FE897AB29	chadc3	Arma glouton	un	l'	Armas gloutons	des	les	de l'	à l'
_BB1E6DF062396817	chadc4	Arma grogneur	un	l'	Armas grogneurs	des	les	de l'	à l'
_0CC63A36FC1E8CDE	chadf1	Arma furieux	un	l'	Armas furieux	des	les	de l'	à l'
_405F55F121998022	chadf2	Arma fier	un	l'	Armas fiers	des	les	de l'	à l'
_C0906DEBA2899424	chadf3	Arma féroce	un	l'	Armas féroces	des	les	de l'	à l'
_C1CCC11E342D84FF	chafa1	Arma allaitant	un	l'	Armas allaitants	des	les	de l'	à l'
_9647400A69D8AB66	chafa2	Arma sevré	un	l'	Armas sevrés	des	les	de l'	à l'
_6DFF791F2A57CB27	chafa3	Arma docile	un	l'	Armas dociles	des	les	de l'	à l'
_5544F08616380FBB	chafa4	Arma doux	un	l'	Armas doux	des	les	de l'	à l'
_5544F086163803BC	chafb1	Arma craintif	un	l'	Armas craintifs	des	les	de l'	à l'
_94449C8413B6FFB0	chafb2	Arma vagabondant	un	l'	Armas vagabondants	des	les	de l'	à l'
_96063CFA6CA8E360	chafb3	Arma détalant	un	l'	Armas détalants	des	les	de l'	à l'
_9444D487949713B6	chafb4	Arma endiablé	un	l'	Armas endiablés	des	les	de l'	à l'
_693908A0A9880792	chafc5	Hisserto	un	l'	Hissertos	des	les	du	au
_3F2E79F161A96C22	chafd1	Arma bourru	un	l'	Armas bourrus	des	les	de l'	à l'
_1544F08AD56817B9	chafd2	Arma obstiné	un	l'	Armas obstinés	des	les	de l'	à l'
_098FCD05F270F602	chafd3	Arma radical	un	l'	Armas radicaux	des	les	de l'	à l'
_C01F79E6A07AE42F	chafd4	Arma parasitaire	un	l'	Armas parasitaires	des	les	de l'	à l'
_C01F79E6A07AD830	chafe1	Arma irrité	un	l'	Armas irrités	des	les	de l'	à l'
_96966409EE77DF5A	chafe2	Arma brutal	un	l'	Armas brutaux	des	les	de l'	à l'
_3161990E2618E32B	chafe3	Arma farouche	un	l'	Armas farouches	des	les	de l'	à l'
_6D60952028E7D32B	chafe4	Arma violent	un	l'	Armas violents	des	les	de l'	à l'
_C8B1D65E8D922192	chaja1	Arma allaitant	un	l'	Armas allaitants	des	les	de l'	à l'
_CA06522604F060E3	chaja2	Arma sevré	un	l'	Armas sevrés	des	les	de l'	à l'
_9544B87D1226E7AB	chaja3	Arma docile	un	l'	Armas dociles	des	les	de l'	à l'
_6EFF4D036637AF27	chaja4	Arma doux	un	l'	Armas doux	des	les	de l'	à l'
_6EFF4D036637A328	chajb1	Arma craintif	un	l'	Armas craintifs	des	les	de l'	à l'
_1244C08411A6FFA8	chajb2	Arma vagabondant	un	l'	Armas vagabondants	des	les	de l'	à l'
_7DEE91F7A099AC25	chajb3	Arma détalant	un	l'	Armas détalants	des	les	de l'	à l'
_C11F91EC205AE42D	chajb4	Arma endiablé	un	l'	Armas endiablés	des	les	de l'	à l'
_EE3F5507E438DB2C	chajf1	Arma furieux	un	l'	Armas furieux	des	les	de l'	à l'
