// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]

// HASH_VALUE 8E2BD63B6805A82E
// INDEX 3310
fyros_newb_harvest_1_end	[Очень хорошо. Впрочем, задача была несложной - эти месторождения излучают свет и поэтому их легко заметить.]

// HASH_VALUE E0AEA3F631BC5161
// INDEX 3311
fyros_newb_harvest_1_prereq	[Для того, чтобы продолжить обучение, нужно овладеть новой техникой: $basicextraction$. Поговори с одним из наставников, чтобы узнать об этом.]

// HASH_VALUE 78B8C447C6D97A14
// INDEX 3312
fyros_newb_harvest_1_step_1_1	[Для того, чтобы совершенствовать свои навыки добычи ресурсов, тебе придется научиться поиску месторождений и извлечению ресурсов из земли.]

// HASH_VALUE EBA445BFDD08298D
// INDEX 3313
fyros_newb_harvest_1_step_1_2	[Давай начнем с простого: принеси мне $rm1.somgen$ и $rm2.somgen$ которые легко обнаружить в земле возле заставы.]

// HASH_VALUE 410C8CAE360CB323
// INDEX 3314
fyros_newb_harvest_1_title	[Обучение добыче ресурсов 1]

// HASH_VALUE 588190458AAD038E
// INDEX 3315
fyros_newb_harvest_2_automenu	[Я хочу узнать побольше о добыче ресурсов.]

// HASH_VALUE B7D2519867B8F2D8
// INDEX 3316
fyros_newb_harvest_2_custom_obj_1	[Пусть $target$ обучит тебя новой технике $basicprospection$, когда это произойдет, поговори с $giver$.]

// HASH_VALUE 2D9A5BBC8B336933
// INDEX 3317
fyros_newb_harvest_2_desc	[Для того, чтобы усовершенствовать навыки добычи ресурсов, следуйте инструкциям $giver$.]

// HASH_VALUE AA5873EDB212D884
// INDEX 3318
fyros_newb_harvest_2_end	[Отлично, вот тебе немного денег. Если хочешь сделать еще что-нибудь в этом роде, обратись к капралу, у него наверняка много работы.]

// HASH_VALUE 2589E3E09F2172B4
// INDEX 3319
fyros_newb_harvest_2_prereq_f	[Для продолжения обучения нужно овладеть новой техникой: $basicprospection$. Поговори с $target$, она обучит тебя.]

// HASH_VALUE A9E70CA356232ECD
// INDEX 3320
fyros_newb_harvest_2_prereq_m	[Для продолжения обучения нужно овладеть новой техникой: $basicprospection$. Поговори с $target$, он обучит тебя.]

// HASH_VALUE DF974D1D7D400B4B
// INDEX 3321
fyros_newb_harvest_2_step_1_1	[Продолжим обучение: то, насколько развиты твои навыки извлечения ресурсов, скажется на качестве материалов, которые ты добываешь...]

// HASH_VALUE 5FC5603614478799
// INDEX 3322
fyros_newb_harvest_2_step_1_2	[...но будь очень осторожен, извлечение ресурсов может быть опасно, в земле много полостей, заполненных газом.]

// HASH_VALUE 284E954F2D567FAD
// INDEX 3323
fyros_newb_harvest_2_step_1_3	[Помни об этом. Принеси мне $rm3.somgen$ $ql$ качества. Эти материалы можно найти только в горах на юге области.]

// HASH_VALUE 3B8710F978D23C97
// INDEX 3324
fyros_newb_harvest_2_step_1_4	[Тебе придется самостоятельно разведать месторождения, иначе ты не увидишь, как они светятся.]

// HASH_VALUE 410C90AE360CB323
// INDEX 3325
fyros_newb_harvest_2_title	[Обучение добыче ресурсов 2]

// HASH_VALUE CC8E7AB23A4AF030
// INDEX 3326
fyros_newb_harvest_answer	[Добыча ресурсов.]

// HASH_VALUE 844C1EFA780D66C2
// INDEX 3327
fyros_newb_magic_1_automenu_m	[Я хотел бы научиться магии.]

// HASH_VALUE 844C1EFA780D66C2
// INDEX 3328
fyros_newb_magic_1_automenu_f	[Я хотел бы научиться магии.]

// HASH_VALUE 9BFF07CAE0D92F28
// INDEX 3329
fyros_newb_magic_1_custom_obj_1	[Изучите новое заклинание $selfheal$, и расскажи об этом $giver$]

// HASH_VALUE 6E3AE3C916F22C1B
// INDEX 3330
fyros_newb_magic_1_desc	[Для того, чтобы усовершенствовать свои магические навыки, следуйте инструкциям $giver$.]

// HASH_VALUE 48E476886EBFE312
// INDEX 3331
fyros_newb_magic_1_end_1	[Хорошо! Если ты хочешь и дальше повышать развивать эффективность магии исцеления, тебе лучше объединить усилия с группой воинов...]

// HASH_VALUE 30A5F6E5C6D818EF
// INDEX 3332
fyros_newb_magic_1_end_2	[...которым будут необходимы услуги целителя. Это - самый простой способ развиваться в этой области.]

// HASH_VALUE D5BB22B95A61387A
// INDEX 3333
fyros_newb_magic_1_prereq	[Для того, чтобы продолжить обучение, нужно изучить новое заклинание: $selfheal$. Обратись к одному из наставников.]

// HASH_VALUE B114C488C790863E
// INDEX 3334
fyros_newb_magic_1_step_1_1	[Практиковать магию непросто, но знание волшебства очень помогает выжить в этом мире.]

// HASH_VALUE 463BC92BD01D9004
// INDEX 3335
fyros_newb_magic_1_step_1_2	[Для начала покажи мне, что ты уже умеешь, сотвори заклинание $heal$.]

// HASH_VALUE 426EE88C360A28FA
// INDEX 3336
fyros_newb_magic_1_title	[Обучение магии 1]

// HASH_VALUE 3D0D70E837B9BF2D
// INDEX 3337
fyros_newb_magic_2_automenu	[Я хочу побольше узнать о магии.]

// HASH_VALUE F7AA5130C33AEF54
// INDEX 3338
fyros_newb_magic_2_custom_obj_1	[Пусть $target$ обучит вас новому заклинанию $aciddamage$. После этого обратитесь к $giver$.]

// HASH_VALUE 6E3AE3C916F22C1B
// INDEX 3339
fyros_newb_magic_2_desc	[Для того, чтобы усовершенствовать свои магические навыки, следуйте инструкциям $giver$.]

// HASH_VALUE 942B7617F5DAFD75
// INDEX 3340
fyros_newb_magic_2_end	[Отлично! Заниматься магией непросто, но владение волшебством очень помогает сражаться и выживать в этом мире.]

// HASH_VALUE 19515D8E0DB28A5B
// INDEX 3341
fyros_newb_magic_2_obj_1	[Убейте $yubo$ используя заклинание $nuke$.]

// HASH_VALUE 05DF7A43041E20B9
// INDEX 3342
fyros_newb_magic_2_obj_2	[Убейте $yubo$.]

// HASH_VALUE 43F4550D723B41B9
// INDEX 3343
fyros_newb_magic_2_prereq_f	[Для того, чтобы продолжить обучение, необходимо овладеть новым заклинанием: $aciddamage$. Поговори с $target$, она обучит тебя.]

// HASH_VALUE FF849EE3F468ACE9
// INDEX 3344
fyros_newb_magic_2_prereq_m	[Для того, чтобы продолжить обучение, необходимо овладеть новым заклинанием: $aciddamage$. Поговори с $target$, он обучит тебя.]

// HASH_VALUE 12EC757B995F9232
// INDEX 3345
fyros_newb_magic_2_step_1_1	[Магия используется главным образом в бою.]

// HASH_VALUE DC8998AC578E095C
// INDEX 3346
fyros_newb_magic_2_step_1_2	[Давай попробуем: убей $yubo$ используя $nuke$.]

// HASH_VALUE 020D1DC9811AECE3
// INDEX 3347
fyros_newb_magic_2_title	[Обучение магии]

// HASH_VALUE 34358A1CBE765C87
// INDEX 3348
fyros_newb_magic_3_end	[Своевременное исцеление соратников как правило приводит к победе твоей группы. Вот тебе немного денег. Если хочешь заработать еще, обатись к капралу, у него всегда есть какие-то поручения.]

// HASH_VALUE AEFF5413C854B335
// INDEX 3349
fyros_newb_magic_3_step_1_1	[Магия разрушения сильна, но и магия исцеления имеет не меньшее значение, хотя для того, чтобы эффективно использовать этот тип магии, необходимо объединиться в группу с кем-то другим.]

// HASH_VALUE AACE2EFC468333AA
// INDEX 3350
fyros_newb_magic_3_step_1_2	[К счастью, услуги целителя нужны многим, так что ты сможешь развиваться достаточно быстро. Найди себе группу и попробуй сотворить заклинание $heal$ во время боя.]

// HASH_VALUE B91B78DAB7A9500D
// INDEX 3351
fyros_newb_magic_answer	[Магия.]

// HASH_VALUE 20AC58C4483655DF
// INDEX 3352
fyros_newb_tp_kami_temp_1_m	[Ты хочешь отправиться в столицу файросов? Я могу отправить тебя туда, но пути назад больше не будет. В пустыне опасно... ты уверен, что этого хочешь?]

// HASH_VALUE E57DCD8693A5FDBA
// INDEX 3353
fyros_newb_tp_kami_temp_1_f	[Ты хочешь отправиться в столицу файросов? Я могу отправить тебя туда, но пути назад больше не будет. В пустыне опасно... ты уверена, что этого хочешь?]

// HASH_VALUE 781C9DEB7BEDF0FD
// INDEX 3354
fyros_newb_tp_kami_temp_2_m	[Возвращайся, когда будешь готов.]

// HASH_VALUE 781C9D19FEEDF0FD
// INDEX 3355
fyros_newb_tp_kami_temp_2_f	[Возвращайся, когда будешь готова.]

// HASH_VALUE 84D0A70405B0FD25
// INDEX 3356
fyros_newb_tp_kami_temp_automenu	[Переместиться в $place_pyr$.]

// HASH_VALUE 84D0A70405B0FD25
// INDEX 3357
fyros_newb_tp_kami_temp_desc	[Переместиться в $place_pyr$.]

// HASH_VALUE C2D0A704C7FF2A3B
// INDEX 3358
fyros_newb_tp_kami_temp_title	[Переместиться в $place_pyr$]

// HASH_VALUE C1AC60C1099C600E
// INDEX 3359
fyros_newb_welcome_automenu	[Добро пожаловать!]

// HASH_VALUE 91AE1E1E0EE060C6
// INDEX 3360
fyros_newb_welcome_custom_obj_1	[Поговорить с $target$.]

// HASH_VALUE A731F4CFB862FB7A
// INDEX 3361
fyros_newb_welcome_custom_obj_2	[Усовершенствуйте какой-либо из своих навыков. Если вам нужна помощь, обратитесь к $giver$.]

// HASH_VALUE 790F8BA6853AA130
// INDEX 3362
fyros_newb_welcome_custom_obj_3_1	[Купите у $kami$ $i1$.]

// HASH_VALUE 8C207FC1342731E6
// INDEX 3363
fyros_newb_welcome_custom_obj_4	[Используйте $i1$ для того, чтобы переместиться в $place_pyr$.]

// HASH_VALUE 0C0B0ADB52C0D38A
// INDEX 3364
fyros_newb_welcome_desc	[Следуйте указаниям $giver$, чтобы выяснить кто может быть вам полезен и чем.]

// HASH_VALUE 2DAC3BFBEF52E7F5
// INDEX 3365
fyros_newb_welcome_desc_2	[Для того, чтобы подготовиться к путешествию на континент файросов, вам необходимо развивать основные навыки, которые вы используете.]

// HASH_VALUE 7E4AF4CD61685A28
// INDEX 3366
fyros_newb_welcome_desc_3	[Для того, чтобы вы могли продолжить свои приключения, вам нужно переместиться в столицу файросов.]

// HASH_VALUE 95AF3AAD602F3D18
// INDEX 3367
fyros_newb_welcome_end_1	[Добро пожаловать в $place_pyr$, $self$! Я всегда рад новым лицам. Не волнуйся, здесь, в величайшем городе континентаЮ тебя жедт множество чудесных открытий.]

// HASH_VALUE EDA51AE5B81262BB
// INDEX 3368
fyros_newb_welcome_end_2_f	[$barman$, бармену из города $place_pyr$, нужно сказать тебе что-то очень важное. Отправляйся к ней. Увидимся позже, $self$!]

// HASH_VALUE 386723E8B9A34DE3
// INDEX 3369
fyros_newb_welcome_end_2_m	[$barman$, бармену из города $place_pyr$, нужно сказать тебе что-то очень важное. Отправляйся к нему. Увидимся позже, $self$!]

// HASH_VALUE 966E69E880392363
// INDEX 3370
fyros_newb_welcome_step_10_1	[$previous$ - храбрый хомин, друг могущественных Ками... Говорят, что Дающий Жизнь послал Ками на Атис для того, чтобы те хранили дело его рук.]

// HASH_VALUE 37CC8B2B870AFE5C
// INDEX 3371
fyros_newb_welcome_step_10_1_b	[Именно благодяря Ками магия стала важнейшей частью культуры файросов.]

// HASH_VALUE 7B2EF4625D226A91
// INDEX 3372
fyros_newb_welcome_step_10_2	[Тебе нужно поговорить с Ками, он укажет тебе путь на материк. Если ты не знаешь, где его найти, следуй указаниям своего компаса.]

// HASH_VALUE 5E760B91F3C44743
// INDEX 3373
fyros_newb_welcome_step_11	[Ты хочешь отправиться в столицу файросов? Если сделаешь пожертвование, я дам тебе волшебный предмет, который поможет тебе переместиться туда.]

// HASH_VALUE 961F8E398AD19F40
// INDEX 3374
fyros_newb_welcome_step_11_temp	[Я могу переместить тебя - только попроси.]

// HASH_VALUE E2E823D8B9B5DE1E
// INDEX 3375
fyros_newb_welcome_step_12	[Для того, чтобы отправиться в пустыню, используй магический предмет. Помни, назад пути не будет.]

// HASH_VALUE C96C3820D3AFF650
// INDEX 3376
fyros_newb_welcome_step_1_1	[Добро пожаловать, $self$. Тебе пора побольше узнать о собственном народе.]

// HASH_VALUE 21A6A4597A644E5E
// INDEX 3377
fyros_newb_welcome_step_1_1b	[Твоя отвага восхищает - путешествие, которое тебе пришлось предпринять для того, чтобы помочь возродить империю файросов, было небезопасным...]

// HASH_VALUE 6D7B0590C5C50392
// INDEX 3378
fyros_newb_welcome_step_1_1c	[Сейчас ты находишься на небольшом островке неподалеку от континента файросов. На этом острове мы построили пять небольших застав, это - одна из них.]

// HASH_VALUE 1493A026A9D8447D
// INDEX 3379
fyros_newb_welcome_step_1_2_f	[Перед тем, как ты отправишься в $capital$, столицу файросов, рекомендую научиться чему-нибудь у местных преподавателей. Для начала тебе нужно поговорить с $target$.]

// HASH_VALUE 1493A026A9D8447D
// INDEX 3380
fyros_newb_welcome_step_1_2_m	[Перед тем, как ты отправишься в $capital$, столицу файросов, рекомендую научиться чему-нибудь у местных преподавателей. Для начала тебе нужно поговорить с $target$.]

// HASH_VALUE AE20785122059FEE
// INDEX 3381
fyros_newb_welcome_step_1_2b_f	[$target$ - наставник воинов. Она может обучить тебя тебя множеству смертоносных приемов...\n
	Ее можно найти здесь, в гостинице.]

// HASH_VALUE 7F11B3B88D862B09
// INDEX 3382
fyros_newb_welcome_step_1_2b_m	[$target$ - наставник воинов. Он может обучить тебя тебя множеству смертоносных приемов...\n
	Его можно найти здесь, в гостинице.]

// HASH_VALUE 971F4AF61B41781D
// INDEX 3383
fyros_newb_welcome_step_2_1	[Ага! Наконец-то ты здесь. Я давно хотел предупредить тебя об опасности, исходящей от наших главных врагов - $kitins$...]

// HASH_VALUE E88195A3264F015A
// INDEX 3384
fyros_newb_welcome_step_2_1_b	[Если повстречаешь такого, не думай ни секунды: или бей первым или спасайся бегством.]

// HASH_VALUE 068931653E9B7937
// INDEX 3385
fyros_newb_welcome_step_2_1_c	[Именно они некогда стерли с лица земли нашу империю. Не забывай, что именно файросы первыми столкнулись с мощью этих чудовищ три поколения назад!]

// HASH_VALUE 6FBDEBBAE749B2F4
// INDEX 3386
fyros_newb_welcome_step_2_2	[Однако, перед тем как ты отправишься на материк и узнаешь побольше о нашем прошлом, тебе нужно получить необходимые навыки и обзавестись снаряжением, которое позволит тебе оставаться в живых.]

// HASH_VALUE B4B55D7B5A75B6E0
// INDEX 3387
fyros_newb_welcome_step_2_2_b	[Я всегда готов помочь тебе улучшить твои боевые навыки.]

// HASH_VALUE D21D73CDABCC944C
// INDEX 3388
fyros_newb_welcome_step_2_2_c_f	[А теперь, я настаиваю, чтобы ты посетил $target$, наставника магии. У нее всегда есть чему поучиться.]

// HASH_VALUE 821D52D2F38A1078
// INDEX 3389
fyros_newb_welcome_step_2_2_c_m	[А теперь, я настаиваю, чтобы ты посетил $target$, наставника магии. У него всегда есть чему поучиться.]

// HASH_VALUE BFA34ABF727262E0
// INDEX 3390
fyros_newb_welcome_step_3_1	[Должен предупредить тебя, $self$, что тебе суждено повстречать Ками, которые откроют тебе свои тайны тогда, когда придет время...]

// HASH_VALUE 923AF9078F370909
// INDEX 3391
fyros_newb_welcome_step_3_1_b	[Ками - странные создания с очень развитыми магическими способностями.]

// HASH_VALUE DB30EA881E404A4B
// INDEX 3392
fyros_newb_welcome_step_3_2	[Когда ты будешь готов, магия Ками переместит тебя в новообретенные земли файросов.]

// HASH_VALUE 8582695AE164A82B
// INDEX 3393
fyros_newb_welcome_step_3_2_b	[До тех пор можешь в любой момент обратиться ко мне и я с радостью дам тебе совет, как укрепить свою мудрость и улучшить магические навыки.]

// HASH_VALUE E421EFD38F1D08AB
// INDEX 3394
fyros_newb_welcome_step_3_3	[Еще одно: на материке тебе наверняка встретятся последователи Каравана. Они утверждают, что являются учениками богини Джены, и их магия достаточно сильна. Остерегайся, их единственная цель - подчинить хоминов своей воле и использовать в неизвестных целях.]

// HASH_VALUE 5A2DEF4619F91141
// INDEX 3395
fyros_newb_welcome_step_3_3_b_f	[Теперь с тобой хочет поговорить $target$, она наш мастер добычи ресурсов. Она, в некотором роде, человек настроения, но ей много где довелось побывать, и секретов мастерства он знает предостаточно!]

// HASH_VALUE 98A0D892E779E9FE
// INDEX 3396
fyros_newb_welcome_step_3_3_b_m	[Теперь с тобой хочет поговорить $target$, он наш мастер добычи ресурсов. Он, в некотором роде, человек настроения, но ему много где довелось побывать, и секретов мастерства он знает предостаточно!]

// HASH_VALUE A7837050B4414E88
// INDEX 3397
fyros_newb_welcome_step_4_1	[Я - $current$. Мой отец был выдающимся добытчиком ресурсов, и все секреты мастерства, которыми он владел, перешли ко мне...]

// HASH_VALUE 5AC1BF5530FE2208
// INDEX 3398
fyros_newb_welcome_step_4_1_b	[В отличие от моего отца я много путешествовал по свету - встречался как с гордыми матисами, так и с загадочными Зораи.]

// HASH_VALUE A6A663535614F178
// INDEX 3399
fyros_newb_welcome_step_4_1_c	[И, конечно же, мне доводилось общаться и с трайкерами, которые также делились со мной накопленными знаниями.]

// HASH_VALUE 26F86873385BCA94
// INDEX 3400
fyros_newb_welcome_step_4_2	[Если захочешь, ты можешь последовать моему примеру.\n
	Ты сможешь путешествовать по просторам Атиса, добывая ценные материалы, жизненно необходимые хоминам.]

// HASH_VALUE 72B5A10BE707D40C
// INDEX 3401
fyros_newb_welcome_step_4_2_b	[Но тебе необходимо быть осторожнее - разведка месторождений и извлечение ресурсов могут быт опасны.]

// HASH_VALUE 22AFAF0C81F8D7F6
// INDEX 3402
fyros_newb_welcome_step_4_2_c_f	[Теперь тебе стоит навестить $target$, она наша мастер ремесел.]

// HASH_VALUE 6C4D78FE408860A1
// INDEX 3403
fyros_newb_welcome_step_4_2_c_m	[Теперь тебе стоит навестить $target$, он наша мастер ремесел.]

// HASH_VALUE 8D869028B171DAC6
// INDEX 3404
fyros_newb_welcome_step_5_1_m	[Приветствую тебя, юный $self$. Известно ли тебе, что большая часть живых существ опасается разрушительной силы драконьего пламени?]

// HASH_VALUE 8D869028B17133AB
// INDEX 3405
fyros_newb_welcome_step_5_1_f	[Приветствую тебя, юная $self$. Известно ли тебе, что большая часть живых существ опасается разрушительной силы драконьего пламени?]

// HASH_VALUE ACE1C1D5688478F6
// INDEX 3406
fyros_newb_welcome_step_5_1_b	[Мы, файросы - исключение. Мы знаем, как приручить огонь и использовать его в собственных целях.]

// HASH_VALUE 4136780C09D6B73F
// INDEX 3407
fyros_newb_welcome_step_5_1_c	[Предметы, которые мы умеем делать, уникальны. Ты скоро поймешь, что ремесло - самая суть жизни хоминов.]

// HASH_VALUE E94F7D822109C66C
// INDEX 3408
fyros_newb_welcome_step_5_1_d	[Ремесленники укрепляют руку сильного и делают доспехи, чтобы защитить слабого.]

// HASH_VALUE 0BCB7DBCF6A435A2
// INDEX 3409
fyros_newb_welcome_step_5_2_f	[Теперь тебе стоит навестить $target$, торговца. Она продаст тебе все необходимое снаряжение.]

// HASH_VALUE 9186841F26349FCE
// INDEX 3410
fyros_newb_welcome_step_5_2_m	[Теперь тебе стоит навестить $target$, торговца. Он продаст тебе все необходимое снаряжение.]

// HASH_VALUE 677A8F30ECA81C5D
// INDEX 3411
fyros_newb_welcome_step_5_2_b_f	[Мы знакомы давно - впервые я повстречал ее на втором ярусе Изначальных Корней.\n
	\n
	$target$ стоит возле магазина.]

// HASH_VALUE 61BE940AB12E6298
// INDEX 3412
fyros_newb_welcome_step_5_2_b_m	[Мы знакомы давно - впервые я повстречал его на втором ярусе Изначальных Корней.\n
	\n
	$target$ стоит возле магазина.]

// HASH_VALUE B13FD1795B4120FA
// INDEX 3413
fyros_newb_welcome_step_6_1_f	[Итак, тебя прислала $previous$? Мы неоднократно работали вместе, и ей известно, что я продаю только самые лучшие вещи...]

// HASH_VALUE 79A0E1C1DF6D67F4
// INDEX 3414
fyros_newb_welcome_step_6_1_m	[Итак, тебя прислал $previous$? Мы неоднократно работали вместе, и ему известно, что я продаю только самые лучшие вещи...]

// HASH_VALUE 0615645BE193B890
// INDEX 3415
fyros_newb_welcome_step_6_1_b	[Со временем твои навыки будут улучшаться, и тебе потребуется менять или совершенствовать свое оружие и снаряжение. Торговцы могут продать тебе все необходимое за разумную цену.]

// HASH_VALUE 5457F0C073527D97
// INDEX 3416
fyros_newb_welcome_step_6_2_f	[Думаю, тебе следует пообщаться с $target$, местным поставщиком товаров. Она всегда нуждается в помощи неглупого хомина. Поговори с ней.]

// HASH_VALUE 0738DC10383F318E
// INDEX 3417
fyros_newb_welcome_step_6_2_m	[Думаю, тебе следует пообщаться с $target$, местным поставщиком товаров. Он всегда нуждается в помощи неглупого хомина. Поговори с ним.]

// HASH_VALUE A339309010C65E36
// INDEX 3418
fyros_newb_welcome_step_7_1	[Похоже, ты здесь недавно. Добро пожаловать! Когда тебе понадобится заработать немного дэпперов, обращайся ко мне - у меня всегда есть работа-другая.]

// HASH_VALUE BF8C56A3E42AC390
// INDEX 3419
fyros_newb_welcome_step_7_1_b	[По большей части я занимаюсь торговлей и сопровождением ценных грузов. Если ты предпочитаешь воевать или добывать ресурсы, тебе лучше обратиться к капралу.]

// HASH_VALUE 8DEF5562824D9413
// INDEX 3420
fyros_newb_welcome_step_7_2_m	[Если ты наиболее способен к ремеслу, тобой наверняка заинтересуется бригадир.]

// HASH_VALUE 8DEF5555844D9413
// INDEX 3421
fyros_newb_welcome_step_7_2_f	[Если ты наиболее способна к ремеслу, тобой наверняка заинтересуется бригадир.]

// HASH_VALUE 7AD930360449B3B1
// INDEX 3422
fyros_newb_welcome_step_7_2_b_f	[Теперь можешь возвращаться к $giver$, скорее всего у нее еще есть полезная информация для тебя.]

// HASH_VALUE 7D961D4F0A9A9EB9
// INDEX 3423
fyros_newb_welcome_step_7_2_b_m	[Теперь можешь возвращаться к $giver$, скорее всего у него еще есть полезная информация для тебя.]

// HASH_VALUE ACD52661D05E7412
// INDEX 3424
fyros_newb_welcome_step_8_1	[Хорошо! Теперь ты лучше ориентируешься в том, что происходит на нашей заставе. Но перед тем, как отправиться на континент, тебе стоит узнать побольше и стать посильнее.]

// HASH_VALUE 90CCA774865F1151
// INDEX 3425
fyros_newb_welcome_step_8_1_b	[Если хочешь, я могу предложить тебе выполнить несколько поручений для того, чтобы ты мог усовершенствовать свои навыки в разных областях деятельности. Просто скажи мне, что больше интересует тебя в данный момент.]

// HASH_VALUE E3B64CA854BAF8D7
// INDEX 3426
fyros_newb_welcome_step_8_2	[Когда ты будешь готов, юный $self$, я расскажу тебе, как попасть на континент, в столицу файросов.]

// HASH_VALUE 9C31D158530C352A
// INDEX 3427
fyros_newb_welcome_step_8_3	[Навыки в какой области ты бы хотел развить?]

// HASH_VALUE CD7CD4128E653A5D
// INDEX 3428
fyros_newb_welcome_step_9_1	[Вижу, ты стремительно развиваешься. Поздравляю, $self$! Теперь у тебя достаточно сил, чтобы помочь народу файросов заново отстроить империю!]

// HASH_VALUE 23A9AB4DD36B4EBE
// INDEX 3429
fyros_newb_welcome_step_9_1_b	[Пришло время тебе отправиться в $place_pyr$, столицу народа файросов!Имей в виду, как только ты покинешь остров, пути назад уже не будет. Хорошо подумай перед тем, как принять решение.]

// HASH_VALUE F20C02A18F5E28A3
// INDEX 3430
fyros_newb_welcome_step_9_1_c	[В деревне ты можешь найти проводника, который скажет тебе где найти Ками, который может переместить тебя на материк. Когда доберешься до столицы, поговори с тем, кто приветствует новоприбывших.]

// HASH_VALUE DD1FD9364442B9C2
// INDEX 3431
fyros_newb_welcome_step_9_2_f	[Иди к адепту Ками $kguide$. Она скажет тебе где найти Проповедника Ками. Скажи, что тебя прислал я.\n
	\n
	Пусть дух Атиса течет в твоих жилах!]

// HASH_VALUE 2D0C2A700296F220
// INDEX 3432
fyros_newb_welcome_step_9_2_m	[Иди к адепту Ками $kguide$. Он скажет тебе где найти Проповедника Ками. Скажи, что тебя прислал я.\n
	\n
	Пусть дух Атиса течет в твоих жилах!]

// HASH_VALUE 05CD63D67B07B42A
// INDEX 3433
fyros_newb_welcome_system_msg_1_f	[&AROUND&$target$, та, кто приветствует новоприбывших, хочет поговорить с тобой. Отправляйся к ней.]

// HASH_VALUE 66F2E42B9C38882E
// INDEX 3434
fyros_newb_welcome_system_msg_1_m	[&AROUND&$target$, тот, кто приветствует новоприбывших, хочет поговорить с тобой. Отправляйся к нему.]

// HASH_VALUE D58F1E2D50C1D833
// INDEX 3435
fyros_newb_welcome_system_msg_2_m	[&AROUND&Ты готов к тому, чтобы отправиться на континент! Поговори с $giver$.]

// HASH_VALUE 5163C973908FC276
// INDEX 3436
fyros_newb_welcome_system_msg_2_f	[&AROUND&Ты готова к тому, чтобы отправиться на континент! Поговори с $giver$.]

// HASH_VALUE 77EDC3F8CD79F919
// INDEX 3437
fyros_newb_welcome_system_msg_3	[&AROUND&Для того, чтобы завершить этот этап, вам необходимо развить навык по вашему выбору до уровня 20.]

// HASH_VALUE DB2FF350975C8D7F
// INDEX 3438
fyros_newb_welcome_system_msg_end	[&AROUND&Вы с успехом завершили подготовку. На континенте $continent_fyros$ вас ждут новые приключения!]

// HASH_VALUE 3F4E2AD580ED36AB
// INDEX 3439
fyros_newb_welcome_talkmenu_1	[Приветствую, я здесь недавно.]

// HASH_VALUE 5341611FB8BC9622
// INDEX 3440
fyros_newb_welcome_talkmenu_2	[Я хотел бы отправиться на континент.]

// HASH_VALUE C0CD6DA7401D25DB
// INDEX 3441
fyros_newb_welcome_talkmenu_3	[Помогите мне с обучением]

// HASH_VALUE CB8232533A2CD953
// INDEX 3442
fyros_newb_welcome_talkmenu_4_m	[Я готов усовершенствовать свои навыки.]

// HASH_VALUE CB8232533A2CD953
// INDEX 3443
fyros_newb_welcome_talkmenu_4_f	[Я готов усовершенствовать свои навыки.]

// HASH_VALUE 0AEEA96206DF6FF3
// INDEX 3444
fyros_newb_welcome_team_answer	[сражаться в группе с другими хоминами]

// HASH_VALUE 603129792C1A23A7
// INDEX 3445
fyros_newb_welcome_team_step_1	[Хороший выбор! Если тебе будут помогать другие, ты сможешь развиваться быстрее.]

// HASH_VALUE 0770F5614ECF3555
// INDEX 3446
fyros_newb_welcome_team_step_2	[Найди себе группу и я дам тебе поручение.]

// HASH_VALUE 4523F3B9A6AD5A1E
// INDEX 3447
fyros_newb_welcome_team_system_msg_1	[Если вы в группе, щелкните правой кнопкой мыши по тому, кто приветствует новоприбывших для того, чтобы выбрать групповое задание.]

// HASH_VALUE 05DE5DDF8764E657
// INDEX 3448
fyros_newb_welcome_title	[Добро пожаловать в $place_aegus$]

// HASH_VALUE 5AF52433F343F752
// INDEX 3449
group_debug_buy_mis_desc	[Item buy test.]

// HASH_VALUE 597CC4E0E64FBA01
// INDEX 3450
group_debug_buy_mis_title	[DEBUG BUY de groupe (4 members mini)]

// HASH_VALUE E3108F734A5B3FA7
// INDEX 3451
group_debug_buy_p_ovl_buy1_1	[Buy overload: buy 1 $item_buy$ of quality 1]

// HASH_VALUE 80E921F141251EBC
// INDEX 3452
group_debug_cast_mis_desc	[Cast test on creatures, request each skill branch at 50+.]

// HASH_VALUE CCEC34344212122A
// INDEX 3453
group_debug_cast_mis_title	[GROUP CAST DEBUG]

// HASH_VALUE AD8848AA18A45368
// INDEX 3454
group_debug_cast_psmg_cast1	[Simple spell cast]

// HASH_VALUE 0150443F97928DBB
// INDEX 3455
group_debug_cast_p_ovl_castany	[Cast any overload: launch $spell_cast$ OR $spell_cast2$]

// HASH_VALUE 2570F4A2C19A1AA0
// INDEX 3456
group_debug_cast_p_smg_cast2	[Spell cast in a place]

// HASH_VALUE A0A9C1F484C50DCB
// INDEX 3457
group_debug_chain_do_mis_desc	[Debug: chain test mission - link to a give 2000dappers to debug.]

// HASH_VALUE C3919017C7AEE709
// INDEX 3458
group_debug_chain_do_mis_title	[GROUP CHAIN DEBUG]

// HASH_VALUE AA7F6C03B74A01C8
