// HASH_VALUE 7C0DD08E0B74B048
// INDEX 0
abandon_mission	[&TSK&Vous avez abandonné une mission.]

// HASH_VALUE 98A8FB27B0381DD8
// INDEX 2680
emote_tolerant_nobody_f	[&EMT&$a$ est très tolérante.]

// HASH_VALUE AE4EFCDCE9231752
// INDEX 2681
emote_tolerant_self_m	[&EMT&$a$ se tolère.]

// HASH_VALUE AE4EFCDCE9231752
// INDEX 2682
emote_tolerant_self_f	[&EMT&$a$ se tolère.]

// HASH_VALUE B547C1B361A7A084
// INDEX 2683
emote_tolerant_target	[&EMT&$a$ tolère $t$ jusqu'à un certain point.]

// HASH_VALUE 9C2A639F36251F38
// INDEX 2684
emote_troubled_nobody_m	[&EMT&$a$ semble préoccupé.]

// HASH_VALUE D4AA409FB6080330
// INDEX 2685
emote_troubled_nobody_f	[&EMT&$a$ semble préoccupée.]

// HASH_VALUE 74D690A118F8D394
// INDEX 2686
emote_troubled_self_m	[&EMT&$a$ est terriblement préoccupé.]

// HASH_VALUE 42D690A118F8D3C2
// INDEX 2687
emote_troubled_self_f	[&EMT&$a$ est terriblement préoccupée.]

// HASH_VALUE 984300162821882A
// INDEX 2688
emote_troubled_target_m	[&EMT&$a$ est préoccupé par $t$.]

// HASH_VALUE 9768BC2516D5C9DA
// INDEX 2689
emote_troubled_target_f	[&EMT&$a$ est préoccupée par $t$.]

// HASH_VALUE 949644CFCF35A62D
// INDEX 2690
emote_uncertain_nobody	[&EMT&$a$ ne sait pas vraiment.]

// HASH_VALUE 2182720BABD599B1
// INDEX 2691
emote_uncertain_self_m	[&EMT&$a$ était sûr mais n'est plus trop sûr maintenant.]

// HASH_VALUE CB2099846E6285B6
// INDEX 2692
emote_uncertain_self_f	[&EMT&$a$ était sûre mais n'est plus trop sûre maintenant.]

// HASH_VALUE 7E8B73209703984F
// INDEX 2693
emote_uncertain_target	[&EMT&$a$ hausse des épaules d'un air incertain face à $t$.]

// HASH_VALUE 9CC24127B5246343
// INDEX 2694
emote_unhappy_nobody_m	[&EMT&$a$ semble mécontent.]

// HASH_VALUE D4421E273507473B
// INDEX 2695
emote_unhappy_nobody_f	[&EMT&$a$ semble mécontente.]

// HASH_VALUE E818E31A4B18CE1D
// INDEX 2696
emote_unhappy_self_m	[&EMT&$a$ est mécontent de lui.]

// HASH_VALUE A6A8FF1972ECAB20
// INDEX 2697
emote_unhappy_self_f	[&EMT&$a$ est mécontente d'elle.]

// HASH_VALUE A894E31A4B18CED8
// INDEX 2698
emote_unhappy_target_m	[&EMT&$a$ est mécontent de $t$.]

// HASH_VALUE 9454F81972ECA628
// INDEX 2699
emote_unhappy_target_f	[&EMT&$a$ est mécontente de $t$.]

// HASH_VALUE 82F51B077B0673F2
// INDEX 2700
emote_unwilling_nobody	[&EMT&$a$ ne bouge pas et fait preuve de réticence.]

// HASH_VALUE 84806A0AAA3E873F
// INDEX 2701
emote_unwilling_self_m	[&EMT&$a$ est réticent. Essayez autre chose.]

// HASH_VALUE 4C35A6C450730398
// INDEX 2702
emote_unwilling_self_f	[&EMT&$a$ est réticente. Essayez autre chose.]

// HASH_VALUE FFB8C3F686A92F53
// INDEX 2703
emote_unwilling_target	[&EMT&$a$ refuse d'obtempérer avec $t$.]

// HASH_VALUE DFD6F32B73446341
// INDEX 2704
emote_vengeful_nobody	[&EMT&$a$ désire se venger.]

// HASH_VALUE 3148976E1C2FD98A
// INDEX 2705
emote_vengeful_self_m	[&EMT&$a$ cherche à se venger de lui-même.]

// HASH_VALUE 3108736E6D4BD98A
// INDEX 2706
emote_vengeful_self_f	[&EMT&$a$ cherche à se venger d'elle-même.]

// HASH_VALUE 71F493F8C3592E1D
// INDEX 2707
emote_vengeful_target	[&EMT&$a$ cherche à se venger de $t$.]

// HASH_VALUE 6436348C28B89216
// INDEX 2708
emote_wait_nobody	[&EMT&$a$ attend.]

// HASH_VALUE 223828B4B8905519
// INDEX 2709
emote_wait_self	[&EMT&$a$ crie, "Attendez-moi !"]

// HASH_VALUE 14F2132EB873DA51
// INDEX 2710
emote_wait_target	[&EMT&$a$ veut attendre $t$.]

// HASH_VALUE E836501EF5CBC362
// INDEX 2711
emote_warm_nobody	[&EMT&$a$ sourit chaleureusement.]

// HASH_VALUE 89D1FA9815C48649
// INDEX 2712
emote_warm_self	[&EMT&$a$ s'anime.]

// HASH_VALUE 2B64C995D62ACFEA
// INDEX 2713
emote_warm_target	[&EMT&$a$ accueille chaleureusement $t$.]

// HASH_VALUE 6C9AD9A9F53F43B1
// INDEX 2714
emote_wary_nobody	[&EMT&$a$ regarde prudemment autour de lui.]

// HASH_VALUE 5DFC5D3C590A824A
// INDEX 2715
emote_wary_self_m	[&EMT&$a$ se regarde d'un œil prudent.]

// HASH_VALUE 5DFC5D3C590A824A
// INDEX 2716
emote_wary_self_f	[&EMT&$a$ se regarde d'un œil prudent.]

// HASH_VALUE 935A832C56196F1C
// INDEX 2717
emote_wary_target	[&EMT&$a$ regarde $t$ avec prudence.]

// HASH_VALUE 79C57A6A817BCDBA
// INDEX 2718
emote_wave_nobody	[&EMT&$a$ essaie de lancer une ola. Tout le monde maintenant !]

// HASH_VALUE 14C6C918A7F5BCDE
// INDEX 2719
emote_wave_self_m	[&EMT&$a$ lève les mains au ciel avec insouciance.]

// HASH_VALUE 14C6C918A7F5BCDE
// INDEX 2720
emote_wave_self_f	[&EMT&$a$ lève les mains au ciel avec insouciance.]

// HASH_VALUE 51C70B862FC33D36
// INDEX 2721
emote_wave_target	[&EMT&$a$ fait un signe à $t$.]

// HASH_VALUE AE4E38D808730B4E
// INDEX 2722
emote_whine_nobody	[&EMT&$a$ se plaint.]

// HASH_VALUE F5AD14A05E097C30
// INDEX 2723
emote_whine_self	[&EMT&$a$ ne se plaint auprès de personne en particulier, mais sait que cela ne l'aidera pas.]

// HASH_VALUE CE723355A69A922B
// INDEX 2724
emote_whine_target	[&EMT&$a$ se plaint auprès de $t$.]

// HASH_VALUE 058204105262E11E
// INDEX 2725
emote_wicked_nobody	[&EMT&$a$ a une sale dégaine.]

// HASH_VALUE 523B755B2AD9A184
// INDEX 2726
emote_wicked_self_m	[&EMT&$a$ ne pourrait pas être plus vilain même s'il essayait.]

// HASH_VALUE 7F44D2C123E22A53
// INDEX 2727
emote_wicked_self_f	[&EMT&$a$ ne pourrait pas être plus vilaine même si elle essayait.]

// HASH_VALUE 5E57AEFC7176DFF5
// INDEX 2728
emote_wicked_target_m	[&EMT&$a$ pense que $t$ est vraiment vilain.]

// HASH_VALUE E9CBAEFC7176DFF5
// INDEX 2729
emote_wicked_target_f	[&EMT&$a$ pense que $t$ est vraiment vilaine.]

// HASH_VALUE 3F0D2FE23100F789
// INDEX 2730
emote_wise_nobody	[&EMT&$a$ envisage les choses avec sagesse.]

// HASH_VALUE 63C52D79D7C47B9D
// INDEX 2731
emote_wise_self	[&EMT&$a$ prend des décisions sages.]

// HASH_VALUE F024648D28609B81
// INDEX 2732
emote_wise_target	[&EMT&$a$ considère que $t$ est sage.]

// HASH_VALUE 520163DF7B00BF34
// INDEX 2733
emote_wistful_nobody	[&EMT&$a$ regarde dans le vide d'un air nostalgique.]

// HASH_VALUE 420DA82422403A9B
// INDEX 2734
emote_wistful_self_m	[&EMT&$a$ soupire, perdu dans ses pensées.]

// HASH_VALUE BFEE2B786D6913E9
// INDEX 2735
emote_wistful_self_f	[&EMT&$a$ soupire, perdue dans ses pensées.]

// HASH_VALUE 5DAD9330D6D9AF1A
// INDEX 2736
emote_wistful_target	[&EMT&$a$ regarde $t$ avec nostalgie.]

// HASH_VALUE C79DB54859399D04
// INDEX 2737
emote_worried_nobody_m	[&EMT&$a$ est par tempérament inquiet.]

// HASH_VALUE C7D5B5485939553B
// INDEX 2738
emote_worried_nobody_f	[&EMT&$a$ est par tempérament inquiète.]

// HASH_VALUE C197ECEFDA998F65
// INDEX 2739
emote_worried_self_m	[&EMT&$a$ se fait parfois du souci.]

// HASH_VALUE C197ECEFDA998F65
// INDEX 2740
emote_worried_self_f	[&EMT&$a$ se fait parfois du souci.]

// HASH_VALUE 80E3434E5218AA32
// INDEX 2741
emote_worried_target	[&EMT&$a$ s'inquiète pour $t$.]

// HASH_VALUE 9BE9848399946697
// INDEX 2742
emote_wounded_nobody_m	[&EMT&$a$ chancelle car il est blessé.]

// HASH_VALUE 29089980100B5ACD
// INDEX 2743
emote_wounded_nobody_f	[&EMT&$a$ chancelle car elle est blessée.]

// HASH_VALUE 25B4F720C51CD2EB
// INDEX 2744
emote_wounded_self_m	[&EMT&$a$ s'est blessé. Un soin ?]

// HASH_VALUE 267F3046B1E09BF1
// INDEX 2745
emote_wounded_self_f	[&EMT&$a$ s'est blessée. Un soin ?]

// HASH_VALUE D37A6B7C8EB16D17
// INDEX 2746
emote_wounded_target	[&EMT&$a$ a blessé $t$.]

// HASH_VALUE F996461A9D660F8C
// INDEX 2747
emote_yawn_nobody	[&EMT&$a$ baille à se déboîter la mâchoire.]

// HASH_VALUE 07A39A9B52989B48
// INDEX 2748
emote_yawn_self	[&EMT&$a$ baille, soit d'ennui, soit de fatigue.]

// HASH_VALUE 5033C31EA3B34745
// INDEX 2749
emote_yawn_target	[&EMT&$a$ baille devant $t$.]

// HASH_VALUE 224EAFC530F89BF0
// INDEX 2750
emote_youandme_nobody_m	[&EMT&$a$ sait qu'il n'y aura qu'eux deux là-dehors.]

// HASH_VALUE 1FC6AB10E9A7A5A9
// INDEX 2751
emote_youandme_nobody_f	[&EMT&$a$ sait qu'il n'y aura qu'elles deux là-dehors.]

// HASH_VALUE E88F750DEE877538
// INDEX 2752
emote_youandme_self	[&EMT&$a$ se demande si "c'est juste toi et moi", là où tout le monde est allé.]

// HASH_VALUE FC5AB585FE165ABF
// INDEX 2753
emote_youandme_target	[&EMT&$a$ dit : "C'est juste toi et moi, $t$."]

// HASH_VALUE BF17FE81E1EC92AD
// INDEX 2754
encyclo_tutorial_mis_desc	[En parlant au barman de la capitale, vous allez découvrir le secret de la connaissance.]

// HASH_VALUE D2BAC4CD61C13413
// INDEX 2755
encyclo_tutorial_mis_desc_2	[Vous allez découvrir la tradition des cubes d'ambre et du coffre de la sagesse.]

// HASH_VALUE 33EB2FCC84C67994
// INDEX 2756
encyclo_tutorial_mis_title	[A la découverte du Coffre de la Sagesse]

// HASH_VALUE C78C77A4F5447841
// INDEX 2757
encyclo_tutorial_m_t2_barman_1	[Vous voulez me voir ?]

// HASH_VALUE 55E1A7009D142752
// INDEX 2758
encyclo_tutorial_m_t2_guard_chief_1	[J'ai accompli la tâche.]

// HASH_VALUE B4223DD77EE6814C
// INDEX 2759
encyclo_tutorial_o_any_messenger_1	[Accomplissez une tâche confiée par $npc_3$]

// HASH_VALUE 759CFA07A70C47D6
// INDEX 2760
encyclo_tutorial_p_t2_barman_1_m	[Bienvenue $player$. J'aime connaître ma clientèle. Je mets un point d'honneur à étancher une soif et il en va de même quand il s'agit d'une soif de connaissances. J'vais vous dire une chose...\n
	{break}Il paraît que vous avez l'âme d'un aventurier ! Nous avons besoin d'homins comme vous pour reconstruire notre civilisation et retrouver ce qui a été perdu ! Mais souvenez-vous bien, si vous désirez remplir la plus importante des fonctions, vous devrez en apprendre plus sur le monde dans lequel nous vivons...{break}...et découvrir les victoires et les tragédies du passé qui ont fait de nous ce que nous sommes. Vous pouvez acquérir ce précieux savoir en collectant les cubes d'ambre du coffre de la sagesse.\n
	{break}L'intendant de la cité vous en expliquera davantage sur les cubes et le coffre. Allez donc le voir de ma part.{break}Nos routes se croiseront à nouveau $player$, car je suis moi-même un fidèle gardien du savoir. Si vous vous montrez à la hauteur, je serai trop content de vous le transmettre, tel un héritage comme on dit.]

// HASH_VALUE 37E6F144C243DF87
// INDEX 2761
encyclo_tutorial_p_t2_barman_1_f	[Bienvenue $player$. J'aime connaître ma clientèle. Je mets un point d'honneur à étancher une soif et il en va de même quand il s'agit d'une soif de connaissances. J'vais vous dire une chose...\n
	{break}Il paraît que vous avez l'âme d'une aventurière ! Nous avons besoin d'homins comme vous pour reconstruire notre civilisation et retrouver ce qui a été perdu ! Mais souvenez-vous bien, si vous désirez remplir la plus importante des fonctions, vous devrez en apprendre plus sur le monde dans lequel nous vivons...{break}...et découvrir les victoires et les tragédies du passé qui ont fait de nous ce que nous sommes. Vous pouvez acquérir ce précieux savoir en collectant les cubes d'ambre du coffre de la sagesse.\n
	{break}L'intendant de la cité vous en expliquera davantage sur les cubes et le coffre. Allez donc le voir de ma part.{break}Nos routes se croiseront à nouveau $player$, car je suis moi-même un fidèle gardien du savoir. Si vous vous montrez à la hauteur, je serai trop content de vous le transmettre, tel un héritage comme on dit.]

// HASH_VALUE AC8AE0301CB59CE7
// INDEX 2762
encyclo_tutorial_p_t2_guardchief_1	[Ainsi, vous souhaitez en apprendre plus sur le monde, hein ? Bien $player$, vous vous doutez qu'il y a un prix à payer pour de telles connaissances ?!\n
	Seuls les homins dignes de confiance et avides de connaissances peuvent recevoir des cubes d'ambres des quelques initiés.{break}Afin de prouver sa valeur et sa détermination, chaque homin doit suivre un rite de passage ou réaliser une importante mission. L'homin méritant recevra alors un cube d'ambre, et apprendra des techniques spéciales ou obtiendra un privilège particulier.\n
	{break}Avant de commencer le rite, les homins doivent prouver leur attachement à leur communauté. Selon la coutume, les homins doivent accomplir les tâches qui leur sont confiées par les membres de la communauté. Ces tâches, qui portent le nom de tâches rituelles, peuvent demander la pratique de l'artisanat, un combat, une extraction ou une exploration.\n
	{break}Les homins initiés sont toujours ravis de rencontrer des homins suivant le chemin du savoir. Nous sommes toujours prêts à vous donner un cube d'ambre en encouragement. Pour obtenir ce cube, il n'est pas nécessaire de réaliser de rites. D'un autre côté, et ce afin de respecter la tradition, il serait bon d'accomplir une tâche pour votre peuple.{break}Allez trouver $npc_3$. Il vous proposera un certain nombre de tâches, choisissez celle qui vous convient. Si votre choix est judicieux, la tâche que vous accomplirez sera également une tâche rituelle, reliée à l'épreuve d'un autre initié. Ainsi, non seulement vous progresserez par cette mission mais également par la préparation à un autre rite.]

// HASH_VALUE 97D7738550F1D63C
// INDEX 2763
encyclo_tutorial_p_t2_guardchief_2	[Bravo $player$ ! Peu nombreux sont les homins qui comprennent que le savoir est un trésor qui vaut la peine de se battre pour l'obtenir. Et bien qu'il y ait des sacrifices à faire, le savoir sera source de grande force pour ceux qui s'en montrent à la hauteur.\n
	{break}Je ressens une volonté inébranlable en vous, je n'ai aucun doute sur votre réussite dans les épreuves qui vous attendent ! Dans ce cas, il se pourrait bien que je sois celui qui vous remette votre récompense.\n
	{break}L'heure est venue pour vous de recevoir un cube d'ambre. Le révérend $npc_4$, sage de $place_1$, vous le remettra. A bientôt homin !]

// HASH_VALUE DEA7B9637E32EA70
// INDEX 2764
encyclo_tutorial_p_t2_intendant_1_m	[Salutations homin. Comme ça vous souhaitez en apprendre plus sur le coffre de la sagesse ?\n
	{break}Bien, ce coffre représente la somme de nos connaissances, c'est le grand réceptacle de stockage des cubes d'ambre.{break}Il y a bien longtemps maintenant que les homins ont découvert la magie des cubes. C'était alors qu'ils cherchaient un moyen de préserver leurs connaissances du temps et du feu. Ils ont appris à façonner l'ambre et à y intégrer leurs connaissances de la même manière qu'un insecte pris au piège dans la résine.\n
	{break}Tout homin souhaitant élever ses connaissances doit recevoir ou trouver des cubes d'ambre. Si $giver$ vous envoie à moi, cela signifie que vous êtes de ceux qui ont soif de savoir.{break}Tels les homins initiés, mon travail m'a permis de détenir de nombreux cubes. Je les partage avec ceux qui réussissent les épreuves fixées par quelques initiés. Il est vrai que le savoir est un bien précieux et nous devons nous montrer prudents pour qu'ils ne tombent pas entre de mauvaises mains.\n
	{break}Si vous souhaitez en savoir plus sur ces épreuves, vous devez aller voir le chef des gardes de la ville. Dites-lui que vous venez de ma part. Je vous souhaite bonne chance dans votre quête de la sagesse $player$.]

// HASH_VALUE 85B1A9B3F333637C
// INDEX 2765
encyclo_tutorial_p_t2_intendant_1_f	[Salutations homin. Comme ça vous souhaitez en apprendre plus sur le coffre de la sagesse ?\n
	{break}Bien, ce coffre représente la somme de nos connaissances, c'est le grand réceptacle de stockage des cubes d'ambre.{break}Il y a bien longtemps maintenant que les homins ont découvert la magie des cubes. C'était alors qu'ils cherchaient un moyen de préserver leurs connaissances du temps et du feu. Ils ont appris à façonner l'ambre et à y intégrer leurs connaissances de la même manière qu'un insecte pris au piège dans la résine.\n
	{break}Tout homin souhaitant élever ses connaissances doit recevoir ou trouver des cubes d'ambre. Si $giver$ vous envoie à moi, cela signifie que vous êtes de celles qui ont soif de savoir.{break}Tels les homins initiés, mon travail m'a permis de détenir de nombreux cubes. Je les partage avec ceux qui réussissent les épreuves fixées par quelques initiés. Il est vrai que le savoir est un bien précieux et nous devons nous montrer prudents pour qu'ils ne tombent pas entre de mauvaises mains.\n
	{break}Si vous souhaitez en savoir plus sur ces épreuves, vous devez aller voir le chef des gardes de la ville. Dites-lui que vous venez de ma part. Je vous souhaite bonne chance dans votre quête de la sagesse $player$.]

// HASH_VALUE 5A243FF51949E65B
// INDEX 2766
encyclo_tutorial_p_t2_sage_1	[J'imagine que vous avez déjà fait connaissance avec d'autres initiés... Vous avez fait preuve de votre désir d'explorer les sentiers du savoir et je vous en félicite.\n
	{break}En tant que gardien du savoir de $faction_1$, c'est un honneur pour moi que de vous remettre ce cube en souvenir de ce que vous avez appris aujourd'hui.\n
	Bonne chance, $player$, j'espère que vous trouverez votre chemin sur la route de la sagesse !]

// HASH_VALUE C856F867517AA00D
// INDEX 2767
ep2_tryker_craft_kami_1_mis_desc	[Construire les éléments du sanctuaire Kami]

// HASH_VALUE AF450C43E6E9A6A3
// INDEX 2768
ep2_tryker_craft_kami_1_mis_title	[Construire le sanctuaire Kami.]

// HASH_VALUE 60C2DEDF8C03C091
// INDEX 2769
ep2_tryker_craft_kami_1_p_bc_fin	[Merci pour votre contribution au grand chantier.]

// HASH_VALUE 643F3A6E564DE84C
// INDEX 2770
ep2_tryker_craft_kami_1_p_bc_not_ok	[Malheureusement nous n'avons plus de matières premières dans nos réserves. Il vous faut attendre un peu qu'un récolteur nous en ramène. Peut-être aurez-vous plus de chance avec un autre objet à fabriquer ?]

// HASH_VALUE 4F51146EE7CCFF2C
// INDEX 2771
ep2_tryker_craft_kami_1_p_bc_skill_not_ok	[Vous ne semblez pas avoir les compétences requises pour créer cet élément de construction. Peut-être devriez-vous essayer quelque chose davantage dans vos compétences. ]

// HASH_VALUE F6227CE7C62893FE
// INDEX 2772
ep2_tryker_craft_kami_1_p_da_item_1	[Je vais construire $item_1.da$ $item_1$]

// HASH_VALUE 781C14902C08107C
// INDEX 2773
ep2_tryker_craft_kami_1_p_da_item_1_qty_1	[$qty_1$.]

// HASH_VALUE 66D73A2AF56CB849
// INDEX 2774
ep2_tryker_craft_kami_1_p_dc_item_qlty_1	[Combien voulez-vous essayer d'en construire ?]

// HASH_VALUE F649C04CEC0C7A8C
// INDEX 2775
ep2_tryker_craft_kami_1_p_dc_item_type_start	[Que désirez-vous construire ?]

// HASH_VALUE 301B08FF3B9B2EB8
// INDEX 2776
ep2_tryker_craft_kami_1_p_t2_start	[Donnez-moi les matières premières nécessaires à la construction du temple.]

// HASH_VALUE C5744E584FFEA11E
// INDEX 2777
ep2_tryker_craft_karavan_1_mis_desc	[Construire les éléments du temple Karavan]

// HASH_VALUE EBC4EC83EAAA8327
// INDEX 2778
ep2_tryker_craft_karavan_1_mis_title	[Construire le temple Karavan.]

// HASH_VALUE F6227CE7C62893FE
// INDEX 2779
ep2_tryker_craft_karavan_1_p_da_item_1	[Je vais construire $item_1.da$ $item_1$]

// HASH_VALUE 781C14902C08107C
// INDEX 2780
ep2_tryker_craft_karavan_1_p_da_item_1_qty_1	[$qty_1$.]

// HASH_VALUE 66D73A2AF56CB849
// INDEX 2781
ep2_tryker_craft_karavan_1_p_dc_item_qlty_1	[Combien voulez-vous essayer d'en construire ?]

// HASH_VALUE F649C04CEC0C7A8C
// INDEX 2782
ep2_tryker_craft_karavan_1_p_dc_item_type_start	[Que désirez-vous construire ?]

// HASH_VALUE 66AA44F9C5FBEEA3
// INDEX 2783
ep2_tryker_harvest_kami_1_mis_desc	[Fournir en matières premières le chantier de construction.]

// HASH_VALUE 0D76B395E382E87D
// INDEX 2784
ep2_tryker_harvest_kami_1_mis_title	[Les Ressources du chantier.]

// HASH_VALUE 266B73FAC8DC31C5
// INDEX 2785
ep2_tryker_harvest_kami_1_p_da_mp_1	[J'ai $mp_1.da$ $mp_1$ à vous donner.]

// HASH_VALUE CE09BD0DD18FE20B
// INDEX 2786
ep2_tryker_harvest_kami_1_p_da_mp_1_qlty_1	[J'ai de la qualité $qlty_mp_1_1$ à vous donner.]

// HASH_VALUE EBD6E095AB019317
// INDEX 2787
ep2_tryker_harvest_kami_1_p_da_mp_1_qlty_1_qty_1	[Je vais vous en donner $qty_1$.]

// HASH_VALUE 03E1442D026A9DD7
// INDEX 2788
ep2_tryker_harvest_kami_1_p_dc_mp_1_qlty_1	[Très bien, combien voulez-vous m'en donner ?]

// HASH_VALUE 8F7A06D3C0BA83DF
// INDEX 2789
ep2_tryker_harvest_kami_1_p_dc_mp_qlty_1	[Bien ! Voilà une bonne nouvelle, de quelle qualité disposez-vous ?]

// HASH_VALUE 6926A5966E32E681
// INDEX 2790
ep2_tryker_harvest_kami_1_p_dc_mp_type_start	[Qu'avez-vous à me proposer comme matières premières ?]

// HASH_VALUE C097150657500BB4
// INDEX 2791
ep2_tryker_harvest_kami_1_p_overload_harvest	[Récoltez au choix :\n
	$mp_1$ de qualité $qlty_mp_1_1$ ou $qlty_mp_1_2$\n
	$mp_2$ de qualité $qlty_mp_2_1$ ou $qlty_mp_2_2$\n
	$mp_3$ de qualité $qlty_mp_3_1$ ou $qlty_mp_3_2$\n
	$mp_spe$ de qualité $qlty_mp_spe$ ou $qlty_mp_spe_2$\n
	Ensuite parlez au $giver$ pour les lui donner.]

// HASH_VALUE A3134730E9A66794
// INDEX 2792
ep2_tryker_harvest_kami_1_p_smg_harvest	[&AMB&Vous pouvez à présent retourner à la recherche de matières premières ou en donner d'autres à $giver$.]

// HASH_VALUE E735B71A9AFB98A7
// INDEX 2793
ep2_tryker_harvest_kami_1_p_t2_giver	[Bonjour $giver$, j'ai des matières premières à vous donner.]

// HASH_VALUE 877A2B9F4B60ED3F
// INDEX 2794
ep2_tryker_harvest_kami_3_p_overload_harvest	[Récoltez au choix :\n
	$mp_1$ de qualité $qlty_mp_1_1$ ou $qlty_mp_1_2$\n
	$mp_2$ de qualité $qlty_mp_2_1$ ou $qlty_mp_2_2$\n
	$mp_3$ de qualité $qlty_mp_3_1$ ou $qlty_mp_3_2$\n
	$mp_4$ de qualité $qlty_mp_4_1$ ou $qlty_mp_4_2$\n
	$mp_spe$ de qualité $qlty_mp_spe$ ou $qlty_mp_spe_2$\n
	Ensuite parlez à $giver$ pour les lui donner.]

// HASH_VALUE 66AA44F9C5FBEEA3
// INDEX 2795
ep2_tryker_harvest_karavan_1_mis_desc	[Fournir en matières premières le chantier de construction.]

// HASH_VALUE 0D76B395E382E87D
// INDEX 2796
ep2_tryker_harvest_karavan_1_mis_title	[Les Ressources du chantier.]

// HASH_VALUE 266B73FAC8DC31C5
// INDEX 2797
ep2_tryker_harvest_karavan_1_p_da_mp_1	[J'ai $mp_1.da$ $mp_1$ à vous donner.]

// HASH_VALUE CE09BD0DD18FE20B
// INDEX 2798
ep2_tryker_harvest_karavan_1_p_da_mp_1_qlty_1	[J'ai de la qualité $qlty_mp_1_1$ à vous donner.]

// HASH_VALUE EBD6E095AB019317
// INDEX 2799
ep2_tryker_harvest_karavan_1_p_da_mp_1_qlty_1_qty_1	[Je vais vous en donner $qty_1$.]

// HASH_VALUE 03E1442D026A9DD7
// INDEX 2800
ep2_tryker_harvest_karavan_1_p_dc_mp_1_qlty_1	[Très bien, combien voulez-vous m'en donner ?]

// HASH_VALUE 8F7A06D3C0BA83DF
// INDEX 2801
ep2_tryker_harvest_karavan_1_p_dc_mp_qlty_1	[Bien ! Voilà une bonne nouvelle, de quelle qualité disposez-vous ?]

// HASH_VALUE 6926A5966E32E681
// INDEX 2802
ep2_tryker_harvest_karavan_1_p_dc_mp_type_start	[Qu'avez-vous à me proposer comme matières premières ?]

// HASH_VALUE 6B97F20D6D133ABE
// INDEX 2803
episode2_tp_kami_acte1_pyr_mis_desc	[Téléportation]

// HASH_VALUE 6B97F20D6D133ABE
// INDEX 2804
episode2_tp_kami_acte1_pyr_mis_title	[Téléportation]

// HASH_VALUE 6B97F20D6D133ABE
// INDEX 2805
episode2_tp_kami_acte1_pyr_p_auto_tp	[Téléportation]

// HASH_VALUE 506E782380030B97
// INDEX 2806
episode2_tp_kami_acte1_pyr_p_dc_tp	[Si tu viens de $city_destination$, t'y renvoyer je peux. Le souhaites-tu ?]

// HASH_VALUE E7E047E6E67CED42
// INDEX 2807
episode2_tp_karavan_acte1_pyr_p_dc_tp	[Si tu viens de $city_destination$, je peux te renvoyer dans ton pays afin d'accomplir ta mission au service de Jena. Le veux-tu, homin ?]

// HASH_VALUE 67E6CB488213F3B8
// INDEX 2808
exchange_accepted	[&ITM&L'échange est accepté des deux côtés.]

// HASH_VALUE B677D543E90C4B45
// INDEX 2809
exchange_accept_too_far	[&CHK&$p$ a accepté l'échange mais se trouve trop loin de vous.]

// HASH_VALUE 653A8905ED74E8FD
// INDEX 2810
exchange_already_trading	[&CHK&Vous ne pouvez pas faire d'échange avec quelqu'un si vous êtes déjà en train de négocier.]

// HASH_VALUE A3B12FCE6F77067A
// INDEX 2811
exhange_busy_m	[&CHK&$p$ est déjà occupé et ne peut pas faire d'échange avec vous.]

// HASH_VALUE CEF3C9D74EF73E1F
// INDEX 2812
exhange_busy_f	[&CHK&$p$ est déjà occupée et ne peut pas faire d'échange avec vous.]

// HASH_VALUE 05E0959CF3F3B778
// INDEX 2813
exchange_decline	[&SYS&$p$ ne veut pas faire d'échange avec vous.]

// HASH_VALUE 02AF2C12A55DA316
// INDEX 2814
exchange_end	[&SYS&$p$ a mis fin à l'échange.]

// HASH_VALUE E8D1ADA54DD22190
// INDEX 2815
exchange_invitation_m	[$p$ vous propose de faire des affaires avec lui.]

// HASH_VALUE E8D1ADD31B02FD89
// INDEX 2816
exchange_invitation_f	[$p$ vous propose de faire des affaires avec elle.]

// HASH_VALUE 9A82CB2E8D7F37E9
// INDEX 2817
exchange_send_proposal	[&SYS&Vous invitez $p$ à faire un échange avec vous.]

// HASH_VALUE 47AE244B3142F2B2
// INDEX 2818
exchange_temp_inventory_must_empty	[&CHK&Vous ne pouvez pas valider l'échange si votre inventaire temporaire n'est pas vide !]

// HASH_VALUE B32080F086A924A1
// INDEX 2819
exchange_too_far_m	[&CHK&Vous êtes trop loin de $p$ pour échanger quelque chose avec lui.]

// HASH_VALUE 748F64F086A9DCD8
// INDEX 2820
exchange_too_far_f	[&CHK&Vous êtes trop loin de $p$ pour échanger quelque chose avec elle.]

// HASH_VALUE 74BF88142C73FD1C
// INDEX 2821
faber_cancel	[&ITMF&Votre plan de création a été interrompue !]

// HASH_VALUE 6B7743851ADBF483
// INDEX 2822
faber_item_fail	[&CHK&Echec du système de création : impossible de créer un objet artisanal ! Veuillez signaler ce bogue avec l'action exacte utilisée. Merci !]

// HASH_VALUE D07A7CE35CBCD3DA
// INDEX 2823
faber_stack_fail	[&CHK&Echec du système de création : impossible de créer un objet empilé ! Veuillez signaler ce bogue avec l'action exacte utilisée. Merci !]

