*HASH_VALUE	creature ID	name	p	creagen	screagen
_F5870D096E9870F5	chclc1	Энергичный каприни	Энергичные каприни	Энергичных каприни	Энергичного каприни
_71CFB525BECDCCAD	chclc2	Подозрительный каприни	Подозрительные каприни	Подозрительных каприни	Подозрительного каприни
_712FA5233E6ED0AD	chclc3	Прожорливый каприни	Прожорливые каприни	Прожорливых каприни	Прожорливого каприни
_98B51A728733E93D	chclc4	Хрюкающий каприни	Хрюкающие каприни	Хрюкающих каприни	Хрюкающего каприни
_2FD7D0ACF3A7DFA8	chclc5	Ранрой		Ранроя	Ранроя
_34FFB535C1CDC8AB	chcpa1	Детеныш каприни	Детеныши каприни	Детенышей каприни	Детеныша каприни
_5CE636610D23714A	chcpa2	Подрастающий каприни	Подрастающие каприни	Подрастающих каприни	Подрастающего каприни
_8A5F625DBF0A08B5	chcpa3	Покорный каприни	Покорные каприни	Покорных каприни	Покорного каприни
_66B57376DDB0B96B	chcpa4	Кроткий каприни	Кроткие каприни	Кротких каприни	Кроткого каприни
_66B57376DDB0AD6C	chcpb1	Робкий каприни	Робкие каприни	Робких каприни	Робкого каприни
_9C20D27480C9F973	chcpb2	Блуждающий каприни	Блуждающие каприни	Блуждающих каприни	Блуждающего каприни
_A4C5EE37C2FC4F0E	chcpb3	Резвый каприни	Резвые каприни	Резвых каприни	Резвого каприни
_8500225D3DA9E4BA	chcpb4	Игривый каприни	Игривые каприни	Игривых каприни	Игривого каприни
_8500225D3DA9D8BB	chcpc1	Энергичный каприни	Энергичные каприни	Энергичных каприни	Энергичного каприни
_20554230FE0B5717	chcpc2	Подозрительный каприни	Подозрительные каприни	Подозрительных каприни	Подозрительного каприни
_D2740A7B5BB0AD54	chcpc3	Прожорливый каприни	Прожорливые каприни	Прожорливых каприни	Прожорливого каприни
_5D51F27D41FA217D	chcpc4	Хрюкающий каприни	Хрюкающие каприни	Хрюкающих каприни	Хрюкающего каприни
_C10E7506E3595C21	chdda1	Детеныш юбо	Детеныши юбо	Детенышей юбо	Детеныша юбо
_82DF451523371B12	chdda2	Подрастающий юбо	Подрастающие юбо	Подрастающих юбо	Подрастающего юбо
_ED2F4D1126B70F40	chddb1	Робкий юбо	Робкие юбо	Робких юбо	Робкого юбо
_05212505F072F2FA	chddb2	Блуждающий юбо	Блуждающие юбо	Блуждающих юбо	Блуждающего юбо
_8D3F7D076C74F6FC	chddb3	Резвый юбо	Резвые юбо	Резвых юбо	Резвого юбо
_1EC4A89E11F7E3AB	chddb4	Игривый юбо	Игривые юбо	Игривых юбо	Игривого юбо
_49269A367F6E9804	chddf1	Разъяренный юбо	Разъяренные юбо	Разъяренных юбо	Разъяренного юбо
_C3BF350C27998022	chddf2	Пылкий юбо	Пылкие юбо	Пылких юбо	Пылкого юбо
_43F04D06A8899424	chddf3	Свирепый юбо	Свирепые юбо	Свирепых юбо	Свирепого юбо
_05CDCD36342DBCF4	chdfa1	Детеныш юбо	Детеныши юбо	Детенышей юбо	Детеныша юбо
_57F8400AEC28EF73	chdfa2	Подрастающий юбо	Подрастающие юбо	Подрастающих юбо	Подрастающего юбо
_63A9649E6AD89FA6	chdfa7	Yubokin	Yubokin		Yubokin
_DEC4FC9E1618D7BF	chdfb1	Робкий юбо	Робкие юбо	Робких юбо	Робкого юбо
_1DC4A89C1396D3B3	chdfb2	Блуждающий юбо	Блуждающие юбо	Блуждающих юбо	Блуждающего юбо
_57B73CFAEFF8276D	chdfb3	Резвый юбо	Резвые юбо	Резвых юбо	Резвого юбо
_1DC4E09F9477E7B9	chdfb4	Игривый юбо	Игривые юбо	Игривых юбо	Игривого юбо
_5C29909AA696D38D	chdfb5	Ора		Ору	Ору
_420E7506E3595C21	chdja1	Детеныш юбо	Детеныши юбо	Детенышей юбо	Детеныша юбо
_03DF451523371B12	chdja2	Подрастающий юбо	Подрастающие юбо	Подрастающих юбо	Подрастающего юбо
_6E2F4D1126B70F40	chdjb1	Робкий юбо	Робкие юбо	Робких юбо	Робкого юбо
_86212505F072F2FA	chdjb2	Блуждающий юбо	Блуждающие юбо	Блуждающих юбо	Блуждающего юбо
_0E3F7D076C74F6FC	chdjb3	Резвый юбо	Резвые юбо	Резвых юбо	Резвого юбо
_9FC4A89E11F7E3AB	chdjb4	Игривый юбо	Игривые юбо	Игривых юбо	Игривого юбо
_CA269A367F6E9804	chdjf1	Разъяренный юбо	Разъяренные юбо	Разъяренных юбо	Разъяренного юбо
_44BF350C27998022	chdjf2	Пылкий юбо	Пылкие юбо	Пылких юбо	Пылкого юбо
_C4F04D06A8899424	chdjf3	Свирепый юбо	Свирепые юбо	Свирепых юбо	Свирепого юбо
_5DC4D09D16A6D3BE	chdla1	Детеныш юбо	Детеныши юбо	Детенышей юбо	Детеныша юбо
_075F3D0468E99026	chdla2	Подрастающий юбо	Подрастающие юбо	Подрастающих юбо	Подрастающего юбо
_EF2F4D1126B70F40	chdlb1	Робкий юбо	Робкие юбо	Робких юбо	Робкого юбо
_083DA150713ED8F3	chdlb2	Блуждающий юбо	Блуждающие юбо	Блуждающих юбо	Блуждающего юбо
_06CD993F713DC4FD	chdlb3	Резвый юбо	Резвые юбо	Резвых юбо	Резвого юбо
_E0C4A89512E7BFAF	chdlb4	Игривый юбо	Игривые юбо	Игривых юбо	Игривого юбо
_DAF834172F582B69	chdpa1	Детеныш юбо	Детеныши юбо	Детенышей юбо	Детеныша юбо
_0D8E1941B14DA407	chdpa2	Подрастающий юбо	Подрастающие юбо	Подрастающих юбо	Подрастающего юбо
_324F3D1DEB09533F	chdpa3	Покорный юбо	Покорные юбо	Покорных юбо	Покорного юбо
_8AD7B23188AF7007	chdpa4	Кроткий юбо	Кроткие юбо	Кротких юбо	Кроткого юбо
_8AD7B23188AF6408	chdpb1	Робкий юбо	Робкие юбо	Робких юбо	Робкого юбо
_01BE190864E8C024	chdpb2	Блуждающий юбо	Блуждающие юбо	Блуждающих юбо	Блуждающего юбо
_105F45FF70B2F60A	chdpb3	Резвый юбо	Резвые юбо	Резвых юбо	Резвого юбо
_B0EF2519EA473F40	chdpb4	Игривый юбо	Игривые юбо	Игривых юбо	Игривого юбо
_B0EF2519EA473341	chdpc1	Энергичный юбо	Энергичные юбо	Энергичных юбо	Энергичного юбо
_8CBFADF16CB2F201	chdpc2	Подозрительный юбо	Подозрительные юбо	Подозрительных юбо	Подозрительного юбо
_77E78A33426A78EA	chdpc3	Прожорливый юбо	Прожорливые юбо	Прожорливых юбо	Прожорливого юбо
_C68F8D1824C89821	chdpc4	Хрюкающий юбо	Хрюкающие юбо	Хрюкающих юбо	Хрюкающего юбо
_96A05A87C9545195	chdpf1	Разъяренный юбо	Разъяренные юбо	Разъяренных юбо	Разъяренного юбо
_4A257A36073D6C19	chdpf2	Пылкий юбо	Пылкие юбо	Пылких юбо	Пылкого юбо
_C28E4DFFA2C8AC29	chdpf3	Свирепый юбо	Свирепые юбо	Свирепых юбо	Свирепого юбо
_1BC4A08C1678E3BB	chega1	Мерзкий крей	Мерзкие креи	Мерзких креев	Мерзкого крея
_1A359E49447EE844	chega2	Больной крей	Больные креи	Больных креев	Больного крея
_4B51FD09EED0F619	chega3	Прокаженный крей	Прокаженные креи	Прокаженных креев	Прокаженного крея
_8AC0125A09F42D92	chega4	Зараженный крей	Зараженные креи	Зараженных креев	Зараженного крея
_8AC0125A09F42193	chegb1	Тошнотворный крей	Тошнотворные креи	Тошнотворных креев	Тошнотворного крея
_FFB08109F7B9C811	chegb2	Смердящий крей	Смердящие креи	Смердящих креев	Смердящего крея
_C531DDF7E8F2F6FA	chegb3	Болезненный крей	Болезненные креи	Болезненных креев	Болезненного крея
_98C4BC8F9447FBB6	chegb4	Отравленный крей	Отравленные креи	Отравленных креев	Отравленного крея
_98C4BC8F9447EFB7	chegc1	Чумной крей	Чумные креи	Чумных креев	Чумного крея
_C5CFCDFDF2D2F2FB	chegc2	Хилый  крей	Хилые  креи	Хилых  креев	Хилого  крея
_C6FF31EDDC486423	chegc3	Гниющий крей	Гниющие креи	Гниющих креев	Гниющего крея
_053061F02029681D	chegc4	Губительный крей	Губительные креи	Губительных креев	Губительного крея
_EDD6276A1CF6FB8C	chegc6	Крей	Креи	Креев	Крея
_053061F020295C1E	chegd1	Порченый крей	Порченые креи	Порченых креев	Порченого крея
_B280551DE808EB2C	chegd2	Гнойный крей	Гнойные креи	Гнойных креев	Гнойного крея
_D6A75818F5E84F4E	chegd3	Пагубный крей	Пагубные креи	Пагубных креев	Пагубного крея
_E152357708DB6478	chegd4	Бесноватый крей	Бесноватые креи	Бесноватых креев	Бесноватого крея
_E152357708DB5879	chege1	Прыщавый крей	Прыщавые креи	Прыщавых креев	Прыщавого крея
_C58F7511E8B2F2FD	chege2	Облезающий крей	Облезающие креи	Облезающих креев	Облезающего крея
_0C6DE93574CE28FC	chege3	Бешеный крей	Бешеные креи	Бешеных креев	Бешеного крея
_CD8F850BEC32FA1B	chege4	Отвратительный крей	Отвратительные креи	Отвратительных креев	Отвратительного крея
_CD8F850BEC32EE1C	chegf1	Безумный крей	Безумные креи	Безумных креев	Безумного крея
_473F39EA9B686026	chegf2	Озверевший крей	Озверевшие креи	Озверевших креев	Озверевшего крея
_022F3DE61CC8AC29	chegf3	Демонический крей	Демонические креи	Демонических креев	Демонического крея
_4E31D6608D13F192	cheja1	Детеныш крей	Детеныши креи	Детенышей креев	Детеныша крея
_C7465A260A3060FD	cheja2	Подрастающий крей	Подрастающие креи	Подрастающих креев	Подрастающего крея
_1BC4B87F12A7B7AB	cheja3	Покорный крей	Покорные креи	Покорных креев	Покорного крея
_6E3F4D1B6977B729	cheja4	Кроткий крей	Кроткие креи	Кротких креев	Кроткого крея
_6E3F4D1B6977AB2A	chejb1	Робкий крей	Робкие креи	Робких креев	Робкого крея
_98C4C0861127CFA8	chejb2	Блуждающий крей	Блуждающие креи	Блуждающих креев	Блуждающего крея
_83EF61F92099AC25	chejb3	Резвый крей	Резвые креи	Резвых креев	Резвого крея
_C72061EEA05AE42D	chejb4	Игривый крей	Игривые креи	Игривых креев	Игривого крея
_C72061EEA05AD82E	chejc1	Энергичный крей	Энергичные креи	Энергичных креев	Энергичного крея
_97173CFDB398535A	chejc2	Подозрительный крей	Подозрительные креи	Подозрительных креев	Подозрительного крея
_6E3F4524AE38CB2B	chejc3	Прожорливый крей	Прожорливые креи	Прожорливых креев	Прожорливого крея
_C45F31E8208ACC1D	chejc4	Хрюкающий крей	Хрюкающие креи	Хрюкающих креев	Хрюкающего крея
_C45F31E8208AC01E	chejd1	Грубый крей	Грубые креи	Грубых креев	Грубого крея
_89852A3144FD78FE	chejd2	Своевольный крей	Своевольные креи	Своевольных креев	Своевольного крея
_5DC4A08613D8D3B2	chejd3	Укореняющий крей	Укореняющие креи	Укореняющих креев	Укореняющего крея
_7390611D2937B32C	chejd4	Попрошайка крей	Попрошайки креи	Попрошайки креев	Попрошайку крея
_7390611D2937A72D	cheje1	Раздраженный крей	Раздраженные креи	Раздраженных креев	Раздраженного крея
_862F0D0DE8B2F2FD	cheje2	Злобный крей	Злобные креи	Злобных креев	Злобного крея
_6EEF1926AB88EF2D	cheje3	Дикий крей	Дикие креи	Диких креев	Дикого крея
_EE7F551FE778EF2D	cheje4	Неистовый крей	Неистовые креи	Неистовых креев	Неистового крея
_830B9E8AE1F36B1B	cheje5	Тин-бок-хай	Тин-бок-хай	Тин-бок-хай	Тин-бок-хай
_5AC4C4871647CFBB	chela1	Детеныш крей	Детеныши креи	Детенышей креев	Детеныша крея
_8A002DEBE2E99026	chela2	Подрастающий крей	Подрастающие креи	Подрастающих креев	Подрастающего крея
_19C4C0861127D3A7	chela3	Покорный крей	Покорные креи	Покорных креев	Покорного крея
_EF3F4D1B6977B729	chela4	Кроткий крей	Кроткие креи	Кротких креев	Кроткого крея
_EF3F4D1B6977AB2A	chelb1	Робкий крей	Робкие креи	Робких креев	Робкого крея
_CADC953A713E00F2	chelb2	Блуждающий крей	Блуждающие креи	Блуждающих креев	Блуждающего крея
_C86C8D29713DECFC	chelb3	Резвый крей	Резвые креи	Резвых креев	Резвого крея
_DDC49C7F1288BBAC	chelb4	Игривый крей	Игривые креи	Игривых креев	Игривого крея
_DDC49C7F1288AFAD	chelc1	Энергичный крей	Энергичные креи	Энергичных креев	Энергичного крея
_1837440CB0071B54	chelc2	Подозрительный крей	Подозрительные креи	Подозрительных креев	Подозрительного крея
_18371C122C09FF5E	chelc3	Прожорливый крей	Прожорливые креи	Прожорливых креев	Прожорливого крея
_CE1DDD2D722D10F3	chelc4	Хрюкающий крей	Хрюкающие креи	Хрюкающих креев	Хрюкающего крея
_CE1DDD2D722D04F4	cheld1	Грубый крей	Грубые креи	Грубых креев	Грубого крея
_8EBD1D2D762D14FE	cheld2	Своевольный крей	Своевольные креи	Своевольных креев	Своевольного крея
_C78181EADD899422	cheld3	Укореняющий крей	Укореняющие креи	Укореняющих креев	Укореняющего крея
_057F25ED22899822	cheld4	Попрошайка крей	Попрошайки креи	Попрошайки креев	Попрошайку крея
_057F25ED22898C23	chele1	Раздраженный крей	Раздраженные креи	Раздраженных креев	Раздраженного крея
_8BCF35EF7072F203	chele2	Злобный крей	Злобные креи	Злобных креев	Злобного крея
_8BCFFDE7EEB2F603	chele3	Дикий крей	Дикие креи	Диких креев	Дикого крея
_5BC4A08116F7C3BF	chele4	Неистовый крей	Неистовые креи	Неистовых креев	Неистового крея
_F8090C0FE9A99F9E	chfga1	Мерзкий мессаб	Мерзкие мессабы	Мерзких мессабов	Мерзкого мессаба
_9E96E29754213565	chfga2	Больной мессаб	Больные мессабы	Больных мессабов	Больного мессаба
_05311E40B20C670C	chfga3	Прокаженный мессаб	Прокаженные мессабы	Прокаженных мессабов	Прокаженного мессаба
_ADF55EE3DCD4B575	chfga4	Зараженный мессаб	Зараженные мессабы	Зараженных мессабов	Зараженного мессаба
_ADF55EE3DCD4A976	chfgb1	Тошнотворный мессаб	Тошнотворные мессабы	Тошнотворных мессабов	Тошнотворного мессаба
_56B0F65D80E94059	chfgb2	Смердящий мессаб	Смердящие мессабы	Смердящих мессабов	Смердящего мессаба
_4190D6482F1C3BFC	chfgb3	Болезненный мессаб	Болезненные мессабы	Болезненных мессабов	Болезненного мессаба
_F809281928A7839F	chfgb4	Отравленный мессаб	Отравленные мессабы	Отравленных мессабов	Отравленного мессаба
_F809281928A777A0	chfgc1	Чумной мессаб	Чумные мессабы	Чумных мессабов	Чумного мессаба
_5A43656D79CA5004	chfgc3	Гниющий мессаб	Гниющие мессабы	Гниющих мессабов	Гниющего мессаба
_D8E3CD6D394A7010	chfgc4	Губительный мессаб	Губительные мессабы	Губительных мессабов	Губительного мессаба
_421E2D15BC3BEFE4	chfgd2	Гнойный мессаб	Гнойные мессабы	Гнойных мессабов	Гнойного мессаба
_23E1550B723620CE	chfgd3	Пагубный мессаб	Пагубные мессабы	Пагубных мессабов	Пагубного мессаба
_9CE386C890B6595C	chfgd4	Бесноватый мессаб	Бесноватые мессабы	Бесноватых мессабов	Бесноватого мессаба
_9CE386C890B64D5D	chfge1	Прыщавый мессаб	Прыщавые мессабы	Прыщавых мессабов	Прыщавого мессаба
_FE90A2532FFC37F2	chfge2	Облезающий мессаб	Облезающие мессабы	Облезающих мессабов	Облезающего мессаба
_0F150252368E2D54	chfge3	Бешеный мессаб	Бешеные мессабы	Бешеных мессабов	Бешеного мессаба
_82E0CA54312D730A	chfgf1	Безумный мессаб	Безумные мессабы	Безумных мессабов	Безумного мессаба
_5B336571B7EA6405	chfgf2	Озверевший мессаб	Озверевшие мессабы	Озверевших мессабов	Озверевшего мессаба
_DE23B178B6DB2C04	chfja1	Детеныш мессаб	Детеныши мессабы	Детенышей мессабов	Детеныша мессаба
_C0F54A34058B1F0B	chfja2	Подрастающий мессаб	Подрастающие мессабы	Подрастающих мессабов	Подрастающего мессаба
_C29F162F730B3BF4	chfja3	Покорный мессаб	Покорные мессабы	Покорных мессабов	Покорного мессаба
_FEFE251B7A4AF7CD	chfja4	Кроткий мессаб	Кроткие мессабы	Кротких мессабов	Кроткого мессаба
_FEFE251B7A4AEBCE	chfjb1	Робкий мессаб	Робкие мессабы	Робких мессабов	Робкого мессаба
_BFF0CE3CF2FB37FC	chfjb2	Блуждающий мессаб	Блуждающие мессабы	Блуждающих мессабов	Блуждающего мессаба
_4610DE4D300C77EE	chfjb3	Резвый мессаб	Резвые мессабы	Резвых мессабов	Резвого мессаба
_B909080AE398B79F	chfjb4	Игривый мессаб	Игривые мессабы	Игривых мессабов	Игривого мессаба
_297858915F49CB9E	chfjb5	Зоанн		Зоанна	Зоанна
_B909080AE398ABA0	chfjc1	Энергичный мессаб	Энергичные мессабы	Энергичных мессабов	Энергичного мессаба
_7F2F8D21FACAEFDC	chfjc2	Подозрительный мессаб	Подозрительные мессабы	Подозрительных мессабов	Подозрительного мессаба
_431F5521F84AF3DE	chfjc3	Прожорливый мессаб	Прожорливые мессабы	Прожорливых мессабов	Прожорливого мессаба
_1784BD69BBFA400B	chfjc4	Хрюкающий мессаб	Хрюкающие мессабы	Хрюкающих мессабов	Хрюкающего мессаба
_1784BD69BBFA340C	chfjd1	Грубый мессаб	Грубые мессабы	Грубых мессабов	Грубого мессаба
_006E5D25393AEFD9	chfjd2	Своевольный мессаб	Своевольные мессабы	Своевольных мессабов	Своевольного мессаба
_14B5AE4495B11474	chfjd3	Укореняющий мессаб	Укореняющие мессабы	Укореняющих мессабов	Укореняющего мессаба
_19447D71B6498007	chfjd4	Попрошайка мессаб	Попрошайки мессабы	Попрошайки мессабов	Попрошайку мессаба
_3A093013A8E86F9E	chfla1	Детеныш мессаб	Детеныши мессабы	Детенышей мессабов	Детеныша мессаба
_DA35C96DFBFB900D	chfla2	Подрастающий мессаб	Подрастающие мессабы	Подрастающих мессабов	Подрастающего мессаба
_3A092C116397739E	chfla3	Покорный мессаб	Покорные мессабы	Покорных мессабов	Покорного мессаба
_7FFE251B7A4AF7CD	chfla4	Кроткий мессаб	Кроткие мессабы	Кротких мессабов	Кроткого мессаба
_7FFE251B7A4AEBCE	chflb1	Робкий мессаб	Робкие мессабы	Робких мессабов	Робкого мессаба
_10159E50F58EC54F	chflb2	Блуждающий мессаб	Блуждающие мессабы	Блуждающих мессабов	Блуждающего мессаба
_8FB4964F742DC14E	chflb3	Резвый мессаб	Резвые мессабы	Резвых мессабов	Резвого мессаба
_3A090801A2C8B39F	chflb4	Игривый мессаб	Игривые мессабы	Игривых мессабов	Игривого мессаба
_3A090801A2C8A7A0	chflc1	Энергичный мессаб	Энергичные мессабы	Энергичных мессабов	Энергичного мессаба
_65012D016C161CCD	chflc2	Подозрительный мессаб	Подозрительные мессабы	Подозрительных мессабов	Подозрительного мессаба
_6501DD0D685820CD	chflc3	Прожорливый мессаб	Прожорливые мессабы	Прожорливых мессабов	Прожорливого мессаба
_9204D654777D0554	chflc4	Хрюкающий мессаб	Хрюкающие мессабы	Хрюкающих мессабов	Хрюкающего мессаба
_9204D654777DF955	chfld1	Грубый мессаб	Грубые мессабы	Грубых мессабов	Грубого мессаба
_56A4D6543B1DFD55	chfld2	Своевольный мессаб	Своевольные мессабы	Своевольных мессабов	Своевольного мессаба
_5A54E176782A841C	chfld3	Укореняющий мессаб	Укореняющие мессабы	Укореняющих мессабов	Укореняющего мессаба
_D7F4BD68BD2A6C13	chfld4	Попрошайка мессаб	Попрошайки мессабы	Попрошайки мессабов	Попрошайку мессаба
_66E10D09721618CB	chfpa1	Детеныш мессаб	Детеныши мессабы	Детенышей мессабов	Детеныша мессаба
_94D5AA4A784ED148	chfpa2	Подрастающий мессаб	Подрастающие мессабы	Подрастающих мессабов	Подрастающего мессаба
_00BE552ABF3BF3D6	chfpa3	Покорный мессаб	Покорные мессабы	Покорных мессабов	Покорного мессаба
_9C44BE43DBF20098	chfpa4	Кроткий мессаб	Кроткие мессабы	Кротких мессабов	Кроткого мессаба
_9C44BE43DBF2F499	chfpb1	Робкий мессаб	Робкие мессабы	Робких мессабов	Робкого мессаба
_18645571FE095C0D	chfpb2	Блуждающий мессаб	Блуждающие мессабы	Блуждающих мессабов	Блуждающего мессаба
_46DFEA3BB29B7BF6	chfpb3	Резвый мессаб	Резвые мессабы	Резвых мессабов	Резвого мессаба
_7F5E452ABCDAF7CD	chfpb4	Игривый мессаб	Игривые мессабы	Игривых мессабов	Игривого мессаба
_7F5E452ABCDAEBCE	chfpc1	Энергичный мессаб	Энергичные мессабы	Энергичных мессабов	Энергичного мессаба
_C79FF63C30CB5BF5	chfpc2	Подозрительный мессаб	Подозрительные мессабы	Подозрительных мессабов	Подозрительного мессаба
_877442F31C510481	chfpc3	Прожорливый мессаб	Прожорливые мессабы	Прожорливых мессабов	Прожорливого мессаба
_DD65957C3C699014	chfpc4	Хрюкающий мессаб	Хрюкающие мессабы	Хрюкающих мессабов	Хрюкающего мессаба
_62F399887A1B200E	chgda1	Детеныш ломпер	Детеныши ломперы	Детенышей ломперов	Детеныша ломпера
_C2463A2E097C2F08	chgda2	Подрастающий ломпер	Подрастающие ломперы	Подрастающих ломперов	Подрастающего ломпера
_858E4A2877FB7BF8	chgda3	Покорный ломпер	Покорные ломперы	Покорных ломперов	Покорного ломпера
_814F2912FD3BF3CD	chgda4	Кроткий ломпер	Кроткие ломперы	Кротких ломперов	Кроткого ломпера
_814F2912FD3BE7CE	chgdb1	Робкий ломпер	Робкие ломперы	Робких ломперов	Робкого ломпера
_82DF0235F6EB7700	chgdb2	Блуждающий ломпер	Блуждающие ломперы	Блуждающих ломперов	Блуждающего ломпера
_09FF124634FCB7F2	chgdb3	Резвый ломпер	Резвые ломперы	Резвых ломперов	Резвого ломпера
_FC09081AE8A893A9	chgdb4	Игривый ломпер	Игривые ломперы	Игривых ломперов	Игривого ломпера
_E6E7B49FAAB7C39A	chgdb5	Ибакус		Ибакуса	Ибакуса
_FC09081AE8A887AA	chgdc1	Энергичный ломпер	Энергичные ломперы	Энергичных ломперов	Энергичного ломпера
_028091187DBBEBDC	chgdc2	Подозрительный ломпер	Подозрительные ломперы	Подозрительных ломперов	Подозрительного ломпера
_C67059187B3BEFDE	chgdc3	Прожорливый ломпер	Прожорливые ломперы	Прожорливых ломперов	Прожорливого ломпера
_9B54A5797F3A3415	chgdc4	Хрюкающий ломпер	Хрюкающие ломперы	Хрюкающих ломперов	Хрюкающего ломпера
_9B54A5797F3A2816	chgdd1	Грубый ломпер	Грубые ломперы	Грубых ломперов	Грубого ломпера
_83BF611CBC2BEBD9	chgdd2	Своевольный ломпер	Своевольные ломперы	Своевольных ломперов	Своевольного ломпера
_16069E3E99A22471	chgdd3	Укореняющий ломпер	Укореняющие ломперы	Укореняющих ломперов	Укореняющего ломпера
_9D1465817A897411	chgdd4	Попрошайка ломпер	Попрошайки ломперы	Попрошайки ломперов	Попрошайку ломпера
_9D1465817A896812	chgde1	Раздраженный ломпер	Раздраженные ломперы	Раздраженных ломперов	Раздраженного ломпера
_5D24C9863C6A7427	chgde2	Злобный ломпер	Злобные ломперы	Злобных ломперов	Злобного ломпера
_891E224233FC9FFB	chgde3	Дикий ломпер	Дикие ломперы	Диких ломперов	Дикого ломпера
_1A668E441C822479	chgde4	Неистовый ломпер	Неистовые ломперы	Неистовых ломперов	Неистового ломпера
_BC090C1FEEB97BA8	chgga1	Мерзкий ломпер	Мерзкие ломперы	Мерзких ломперов	Мерзкого ломпера
_1E77C6A714224572	chgga2	Больной ломпер	Больные ломперы	Больных ломперов	Больного ломпера
_49205239B6FCA710	chgga3	Прокаженный ломпер	Прокаженные ломперы	Прокаженных ломперов	Прокаженного ломпера
_71F55EF3E1E4917F	chgga4	Зараженный ломпер	Зараженные ломперы	Зараженных ломперов	Зараженного ломпера
_71F55EF3E1E48580	chggb1	Тошнотворный ломпер	Тошнотворные ломперы	Тошнотворных ломперов	Тошнотворного ломпера
_1790DE7D41B92879	chggb2	Смердящий ломпер	Смердящие ломперы	Смердящих ломперов	Смердящего ломпера
_857F0A41330C7B00	chggb3	Болезненный ломпер	Болезненные ломперы	Болезненных ломперов	Болезненного ломпера
_BC0928292DB75FA9	chggb4	Отравленный ломпер	Отравленные ломперы	Отравленных ломперов	Отравленного ломпера
_BC0928292DB753AA	chggc1	Чумной ломпер	Чумные ломперы	Чумных ломперов	Чумного ломпера
_05FE524338FC77F6	chggc2	Хилый  ломпер	Хилые  ломперы	Хилых  ломперов	Хилого  ломпера
_5F134D7D3D0A440E	chggc3	Гниющий ломпер	Гниющие ломперы	Гниющих ломперов	Гниющего ломпера
_DDB3B57DFD8A641A	chggc4	Губительный ломпер	Губительные ломперы	Губительных ломперов	Губительного ломпера
_DDB3B57DFD8A581B	chggd1	Порченый ломпер	Порченые ломперы	Порченых ломперов	Порченого ломпера
_466F310C3F2CEBE4	chggd2	Гнойный ломпер	Гнойные ломперы	Гнойных ломперов	Гнойного ломпера
_23F1D513F274A0CC	chggd3	Пагубный ломпер	Пагубные ломперы	Пагубных ломперов	Пагубного ломпера
_E082C6C794F68D5A	chggd4	Бесноватый ломпер	Бесноватые ломперы	Бесноватых ломперов	Бесноватого ломпера
_E082C6C794F6815B	chgge1	Прыщавый ломпер	Прыщавые ломперы	Прыщавых ломперов	Прыщавого ломпера
_427FD64C33EC77F6	chgge2	Облезающий ломпер	Облезающие ломперы	Облезающих ломперов	Облезающего ломпера
_4FC48255762DAD57	chgge3	Бешеный ломпер	Бешеные ломперы	Бешеных ломперов	Бешеного ломпера
_C6CFFE4D351DBF0D	chgge4	Отвратительный ломпер	Отвратительные ломперы	Отвратительных ломперов	Отвратительного ломпера
_C6CFFE4D351DB30E	chggf1	Безумный ломпер	Безумные ломперы	Безумных ломперов	Безумного ломпера
_60034D817B2A580F	chggf2	Озверевший ломпер	Озверевшие ломперы	Озверевших ломперов	Озверевшего ломпера
_9BA3797DFF994426	chggf3	Демонический ломпер	Демонические ломперы	Демонических ломперов	Демонического ломпера
_AB06D3992F54029C	chggf4	Смертоносный ломпер	Смертоносные ломперы	Смертоносных ломперов	Смертоносного ломпера
_66F18D11F25498C9	chgpa1	Детеныш ломпер	Детеныши ломперы	Детенышей ломперов	Детеныша ломпера
_D4842A4DB8ED514B	chgpa2	Подрастающий ломпер	Подрастающие ломперы	Подрастающих ломперов	Подрастающего ломпера
_040F5921422CEFD6	chgpa3	Покорный ломпер	Покорные ломперы	Покорных ломперов	Покорного ломпера
_1F95AE3DDFE31095	chgpa4	Кроткий ломпер	Кроткие ломперы	Кротких ломперов	Кроткого ломпера
_1F95AE3DDFE30496	chgpb1	Робкий ломпер	Робкие ломперы	Робких ломперов	Робкого ломпера
_1D343D81C2495017	chgpb2	Блуждающий ломпер	Блуждающие ломперы	Блуждающих ломперов	Блуждающего ломпера
_8ACE1E34B68BBBFA	chgpb3	Резвый ломпер	Резвые ломперы	Резвых ломперов	Резвого ломпера
_83AF49213FCBF3CD	chgpb4	Игривый ломпер	Игривые ломперы	Игривых ломперов	Игривого ломпера
_83AF49213FCBE7CE	chgpc1	Энергичный ломпер	Энергичные ломперы	Энергичных ломперов	Энергичного ломпера
_0B8E2A3534BB9BF9	chgpc2	Подозрительный ломпер	Подозрительные ломперы	Подозрительных ломперов	Подозрительного ломпера
_0AC532ED2042147E	chgpc3	Прожорливый ломпер	Прожорливые ломперы	Прожорливых ломперов	Прожорливого ломпера
_E2357D8C00A9841E	chgpc4	Хрюкающий ломпер	Хрюкающие ломперы	Хрюкающих ломперов	Хрюкающего ломпера
_E2357D8C00A9781F	chgpd1	Грубый ломпер	Грубые ломперы	Грубых ломперов	Грубого ломпера
_8AAF3A43B67B9BFA	chgpd2	Своевольный ломпер	Своевольные ломперы	Своевольных ломперов	Своевольного ломпера
