*HASH_VALUE	sbrick ID	name	named	p	pd	ia	da	pia	pda	description	description2
-	bcmjca23	Matis Juwelen 23	Matis Juwelen 23   	Matis Juwelen 23   	Matis Juwelen 23   	ein	der		die	Befähigt zur Herstellung von Matis-Schmuck bis zur Stufe $cr_recommended 	Matis Juwelen Qualität 230
-	bcmjca24	Matis Juwelen 24	Matis Juwelen 24   	Matis Juwelen 24   	Matis Juwelen 24   	ein	der		die	Befähigt zur Herstellung von Matis-Schmuck bis zur Stufe $cr_recommended 	Matis Juwelen Qualität 240
-	bcmjca25	Matis Juwelen 25	Matis Juwelen 25   	Matis Juwelen 25   	Matis Juwelen 25   	ein	der		die	Befähigt zur Herstellung von Matis-Schmuck bis zur Stufe $cr_recommended 	Matis Juwelen Qualität 250
-	bctaca01	Tryker Rüstungen 1	Tryker Rüstungen 1   	Tryker Rüstungen 1   	Tryker Rüstungen 1   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended	Tryker Rüstungen Qualität 10
-	bctaca02	Tryker Rüstungen 2	Tryker Rüstungen 2   	Tryker Rüstungen 2   	Tryker Rüstungen 2   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 20
-	bctaca03	Tryker Rüstungen 3	Tryker Rüstungen 3   	Tryker Rüstungen 3   	Tryker Rüstungen 3   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 30
-	bctaca04	Tryker Rüstungen 4	Tryker Rüstungen 4   	Tryker Rüstungen 4   	Tryker Rüstungen 4   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 40
-	bctaca05	Tryker Rüstungen 5	Tryker Rüstungen 5   	Tryker Rüstungen 5   	Tryker Rüstungen 5   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 50
-	bctaca06	Tryker Rüstungen 6	Tryker Rüstungen 6   	Tryker Rüstungen 6   	Tryker Rüstungen 6   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 60
-	bctaca07	Tryker Rüstungen 7	Tryker Rüstungen 7   	Tryker Rüstungen 7   	Tryker Rüstungen 7   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 70
-	bctaca08	Tryker Rüstungen 8	Tryker Rüstungen 8   	Tryker Rüstungen 8   	Tryker Rüstungen 8   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 80
-	bctaca09	Tryker Rüstungen 9	Tryker Rüstungen 9   	Tryker Rüstungen 9   	Tryker Rüstungen 9   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 90
-	bctaca10	Tryker Rüstungen 10	Tryker Rüstungen 10   	Tryker Rüstungen 10   	Tryker Rüstungen 10   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 100
-	bctaca11	Tryker Rüstungen 11	Tryker Rüstungen 11   	Tryker Rüstungen 11   	Tryker Rüstungen 11   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 110
-	bctaca12	Tryker Rüstungen 12	Tryker Rüstungen 12   	Tryker Rüstungen 12   	Tryker Rüstungen 12   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 120
-	bctaca13	Tryker Rüstungen 13	Tryker Rüstungen 13   	Tryker Rüstungen 13   	Tryker Rüstungen 13   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 130
-	bctaca14	Tryker Rüstungen 14	Tryker Rüstungen 14   	Tryker Rüstungen 14   	Tryker Rüstungen 14   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 140
-	bctaca15	Tryker Rüstungen 15	Tryker Rüstungen 15   	Tryker Rüstungen 15   	Tryker Rüstungen 15   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 150
-	bctaca16	Tryker Rüstungen 16	Tryker Rüstungen 16   	Tryker Rüstungen 16   	Tryker Rüstungen 16   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 160
-	bctaca17	Tryker Rüstungen 17	Tryker Rüstungen 17   	Tryker Rüstungen 17   	Tryker Rüstungen 17   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 170
-	bctaca18	Tryker Rüstungen 18	Tryker Rüstungen 18   	Tryker Rüstungen 18   	Tryker Rüstungen 18   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 180
-	bctaca19	Tryker Rüstungen 19	Tryker Rüstungen 19   	Tryker Rüstungen 19   	Tryker Rüstungen 19   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 190
-	bctaca20	Tryker Rüstungen 20	Tryker Rüstungen 20   	Tryker Rüstungen 20   	Tryker Rüstungen 20   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 200
-	bctaca21	Tryker Rüstungen 21	Tryker Rüstungen 21   	Tryker Rüstungen 21   	Tryker Rüstungen 21   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 210
-	bctaca22	Tryker Rüstungen 22	Tryker Rüstungen 22   	Tryker Rüstungen 22   	Tryker Rüstungen 22   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 220
-	bctaca23	Tryker Rüstungen 23	Tryker Rüstungen 23   	Tryker Rüstungen 23   	Tryker Rüstungen 23   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 230
-	bctaca24	Tryker Rüstungen 24	Tryker Rüstungen 24   	Tryker Rüstungen 24   	Tryker Rüstungen 24   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 240
-	bctaca25	Tryker Rüstungen 25	Tryker Rüstungen 25   	Tryker Rüstungen 25   	Tryker Rüstungen 25   	ein	der		die	Befähigt zur Herstellung von Tryker-Rüstungen bis zur Stufe $cr_recommended 	Tryker Rüstungen Qualität 250
-	bctmca01	Tryker Nahkampfwaffen 1	Tryker Nahkampfwaffen 1   	Tryker Nahkampfwaffen 1   	Tryker Nahkampfwaffen 1   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 10
-	bctmca02	Tryker Nahkampfwaffen 2	Tryker Nahkampfwaffen 2   	Tryker Nahkampfwaffen 2   	Tryker Nahkampfwaffen 2   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 20
-	bctmca03	Tryker Nahkampfwaffen 3	Tryker Nahkampfwaffen 3   	Tryker Nahkampfwaffen 3   	Tryker Nahkampfwaffen 3   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 30
-	bctmca04	Tryker Nahkampfwaffen 4	Tryker Nahkampfwaffen 4   	Tryker Nahkampfwaffen 4   	Tryker Nahkampfwaffen 4   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 40
-	bctmca05	Tryker Nahkampfwaffen 5	Tryker Nahkampfwaffen 5   	Tryker Nahkampfwaffen 5   	Tryker Nahkampfwaffen 5   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 50
-	bctmca06	Tryker Nahkampfwaffen 6	Tryker Nahkampfwaffen 6   	Tryker Nahkampfwaffen 6   	Tryker Nahkampfwaffen 6   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 60
-	bctmca07	Tryker Nahkampfwaffen 7	Tryker Nahkampfwaffen 7   	Tryker Nahkampfwaffen 7   	Tryker Nahkampfwaffen 7   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 70
-	bctmca08	Tryker Nahkampfwaffen 8	Tryker Nahkampfwaffen 8   	Tryker Nahkampfwaffen 8   	Tryker Nahkampfwaffen 8   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 80
-	bctmca09	Tryker Nahkampfwaffen 9	Tryker Nahkampfwaffen 9   	Tryker Nahkampfwaffen 9   	Tryker Nahkampfwaffen 9   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 90
-	bctmca10	Tryker Nahkampfwaffen 10	Tryker Nahkampfwaffen 10   	Tryker Nahkampfwaffen 10   	Tryker Nahkampfwaffen 10   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 100
-	bctmca11	Tryker Nahkampfwaffen 11	Tryker Nahkampfwaffen 11   	Tryker Nahkampfwaffen 11   	Tryker Nahkampfwaffen 11   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 110
-	bctmca12	Tryker Nahkampfwaffen 12	Tryker Nahkampfwaffen 12   	Tryker Nahkampfwaffen 12   	Tryker Nahkampfwaffen 12   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 120
-	bctmca13	Tryker Nahkampfwaffen 13	Tryker Nahkampfwaffen 13   	Tryker Nahkampfwaffen 13   	Tryker Nahkampfwaffen 13   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 130
-	bctmca14	Tryker Nahkampfwaffen 14	Tryker Nahkampfwaffen 14   	Tryker Nahkampfwaffen 14   	Tryker Nahkampfwaffen 14   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 140
-	bctmca15	Tryker Nahkampfwaffen 15	Tryker Nahkampfwaffen 15   	Tryker Nahkampfwaffen 15   	Tryker Nahkampfwaffen 15   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 150
-	bctmca16	Tryker Nahkampfwaffen 16	Tryker Nahkampfwaffen 16   	Tryker Nahkampfwaffen 16   	Tryker Nahkampfwaffen 16   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 160
-	bctmca17	Tryker Nahkampfwaffen 17	Tryker Nahkampfwaffen 17   	Tryker Nahkampfwaffen 17   	Tryker Nahkampfwaffen 17   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 170
-	bctmca18	Tryker Nahkampfwaffen 18	Tryker Nahkampfwaffen 18   	Tryker Nahkampfwaffen 18   	Tryker Nahkampfwaffen 18   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 180
-	bctmca19	Tryker Nahkampfwaffen 19	Tryker Nahkampfwaffen 19   	Tryker Nahkampfwaffen 19   	Tryker Nahkampfwaffen 19   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 190
-	bctmca20	Tryker Nahkampfwaffen 20	Tryker Nahkampfwaffen 20   	Tryker Nahkampfwaffen 20   	Tryker Nahkampfwaffen 20   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 200
-	bctmca21	Tryker Nahkampfwaffen 21	Tryker Nahkampfwaffen 21   	Tryker Nahkampfwaffen 21   	Tryker Nahkampfwaffen 21   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 210
-	bctmca22	Tryker Nahkampfwaffen 22	Tryker Nahkampfwaffen 22   	Tryker Nahkampfwaffen 22   	Tryker Nahkampfwaffen 22   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 220
-	bctmca23	Tryker Nahkampfwaffen 23	Tryker Nahkampfwaffen 23   	Tryker Nahkampfwaffen 23   	Tryker Nahkampfwaffen 23   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 230
-	bctmca24	Tryker Nahkampfwaffen 24	Tryker Nahkampfwaffen 24   	Tryker Nahkampfwaffen 24   	Tryker Nahkampfwaffen 24   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 240
-	bctmca25	Tryker Nahkampfwaffen 25	Tryker Nahkampfwaffen 25   	Tryker Nahkampfwaffen 25   	Tryker Nahkampfwaffen 25   	ein	der		die	Befähigt zur Herstellung von Tryker-Nahkampfwaffen bis zur Stufe $cr_recommended   	Tryker Nahkampfwaffen Qualität 250
-	bctrca01	Tryker Fernkampfwaffen 1	Tryker Fernkampfwaffen 1   	Tryker Fernkampfwaffen 1   	Tryker Fernkampfwaffen 1   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 10
-	bctrca02	Tryker Fernkampfwaffen 2	Tryker Fernkampfwaffen 2   	Tryker Fernkampfwaffen 2   	Tryker Fernkampfwaffen 2   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 20
-	bctrca03	Tryker Fernkampfwaffen 3	Tryker Fernkampfwaffen 3   	Tryker Fernkampfwaffen 3   	Tryker Fernkampfwaffen 3   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 30
-	bctrca04	Tryker Fernkampfwaffen 4	Tryker Fernkampfwaffen 4   	Tryker Fernkampfwaffen 4   	Tryker Fernkampfwaffen 4   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 40
-	bctrca05	Tryker Fernkampfwaffen 5	Tryker Fernkampfwaffen 5   	Tryker Fernkampfwaffen 5   	Tryker Fernkampfwaffen 5   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 50
-	bctrca06	Tryker Fernkampfwaffen 6	Tryker Fernkampfwaffen 6   	Tryker Fernkampfwaffen 6   	Tryker Fernkampfwaffen 6   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 60
-	bctrca07	Tryker Fernkampfwaffen 7	Tryker Fernkampfwaffen 7   	Tryker Fernkampfwaffen 7   	Tryker Fernkampfwaffen 7   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 70
-	bctrca08	Tryker Fernkampfwaffen 8	Tryker Fernkampfwaffen 8   	Tryker Fernkampfwaffen 8   	Tryker Fernkampfwaffen 8   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 80
-	bctrca09	Tryker Fernkampfwaffen 9	Tryker Fernkampfwaffen 9   	Tryker Fernkampfwaffen 9   	Tryker Fernkampfwaffen 9   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 90
-	bctrca10	Tryker Fernkampfwaffen 10	Tryker Fernkampfwaffen 10   	Tryker Fernkampfwaffen 10   	Tryker Fernkampfwaffen 10   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 100
-	bctrca11	Tryker Fernkampfwaffen 11	Tryker Fernkampfwaffen 11   	Tryker Fernkampfwaffen 11   	Tryker Fernkampfwaffen 11   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 110
-	bctrca12	Tryker Fernkampfwaffen 12	Tryker Fernkampfwaffen 12   	Tryker Fernkampfwaffen 12   	Tryker Fernkampfwaffen 12   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 120
-	bctrca13	Tryker Fernkampfwaffen 13	Tryker Fernkampfwaffen 13   	Tryker Fernkampfwaffen 13   	Tryker Fernkampfwaffen 13   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 130
-	bctrca14	Tryker Fernkampfwaffen 14	Tryker Fernkampfwaffen 14   	Tryker Fernkampfwaffen 14   	Tryker Fernkampfwaffen 14   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 140
-	bctrca15	Tryker Fernkampfwaffen 15	Tryker Fernkampfwaffen 15   	Tryker Fernkampfwaffen 15   	Tryker Fernkampfwaffen 15   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 150
-	bctrca16	Tryker Fernkampfwaffen 16	Tryker Fernkampfwaffen 16   	Tryker Fernkampfwaffen 16   	Tryker Fernkampfwaffen 16   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 160
-	bctrca17	Tryker Fernkampfwaffen 17	Tryker Fernkampfwaffen 17   	Tryker Fernkampfwaffen 17   	Tryker Fernkampfwaffen 17   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 170
-	bctrca18	Tryker Fernkampfwaffen 18	Tryker Fernkampfwaffen 18   	Tryker Fernkampfwaffen 18   	Tryker Fernkampfwaffen 18   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 180
-	bctrca19	Tryker Fernkampfwaffen 19	Tryker Fernkampfwaffen 19   	Tryker Fernkampfwaffen 19   	Tryker Fernkampfwaffen 19   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 190
-	bctrca20	Tryker Fernkampfwaffen 20	Tryker Fernkampfwaffen 20   	Tryker Fernkampfwaffen 20   	Tryker Fernkampfwaffen 20   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 200
-	bctrca21	Tryker Fernkampfwaffen 21	Tryker Fernkampfwaffen 21   	Tryker Fernkampfwaffen 21   	Tryker Fernkampfwaffen 21   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 210
-	bctrca22	Tryker Fernkampfwaffen 22	Tryker Fernkampfwaffen 22   	Tryker Fernkampfwaffen 22   	Tryker Fernkampfwaffen 22   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 220
-	bctrca23	Tryker Fernkampfwaffen 23	Tryker Fernkampfwaffen 23   	Tryker Fernkampfwaffen 23   	Tryker Fernkampfwaffen 23   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 230
-	bctrca24	Tryker Fernkampfwaffen 24	Tryker Fernkampfwaffen 24   	Tryker Fernkampfwaffen 24   	Tryker Fernkampfwaffen 24   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 240
-	bctrca25	Tryker Fernkampfwaffen 25	Tryker Fernkampfwaffen 25   	Tryker Fernkampfwaffen 25   	Tryker Fernkampfwaffen 25   	ein	der		die	Befähigt zur Herstellung von Tryker-Fernwaffen bis zur Stufe $cr_recommended 	Tryker Fernkampfwaffen Qualität 250
-	bctpca01	Tryker Muntion 1	Tryker Muntion 1   	Tryker Muntion 1   	Tryker Muntion 1   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 10
-	bctpca02	Tryker Muntion 2	Tryker Muntion 2   	Tryker Muntion 2   	Tryker Muntion 2   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 20
-	bctpca03	Tryker Muntion 3	Tryker Muntion 3   	Tryker Muntion 3   	Tryker Muntion 3   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 30
-	bctpca04	Tryker Muntion 4	Tryker Muntion 4   	Tryker Muntion 4   	Tryker Muntion 4   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 40
-	bctpca05	Tryker Muntion 5	Tryker Muntion 5   	Tryker Muntion 5   	Tryker Muntion 5   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 50
-	bctpca06	Tryker Muntion 6	Tryker Muntion 6   	Tryker Muntion 6   	Tryker Muntion 6   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 60
-	bctpca07	Tryker Muntion 7	Tryker Muntion 7   	Tryker Muntion 7   	Tryker Muntion 7   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 70
-	bctpca08	Tryker Muntion 8	Tryker Muntion 8   	Tryker Muntion 8   	Tryker Muntion 8   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 80
-	bctpca09	Tryker Muntion 9	Tryker Muntion 9   	Tryker Muntion 9   	Tryker Muntion 9   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 90
-	bctpca10	Tryker Muntion 10	Tryker Muntion 10   	Tryker Muntion 10   	Tryker Muntion 10   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 100
-	bctpca11	Tryker Muntion 11	Tryker Muntion 11   	Tryker Muntion 11   	Tryker Muntion 11   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 110
-	bctpca12	Tryker Muntion 12	Tryker Muntion 12   	Tryker Muntion 12   	Tryker Muntion 12   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 120
-	bctpca13	Tryker Muntion 13	Tryker Muntion 13   	Tryker Muntion 13   	Tryker Muntion 13   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 130
-	bctpca14	Tryker Muntion 14	Tryker Muntion 14   	Tryker Muntion 14   	Tryker Muntion 14   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 140
-	bctpca15	Tryker Muntion 15	Tryker Muntion 15   	Tryker Muntion 15   	Tryker Muntion 15   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 150
-	bctpca16	Tryker Muntion 16	Tryker Muntion 16   	Tryker Muntion 16   	Tryker Muntion 16   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 160
-	bctpca17	Tryker Muntion 17	Tryker Muntion 17   	Tryker Muntion 17   	Tryker Muntion 17   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 170
-	bctpca18	Tryker Muntion 18	Tryker Muntion 18   	Tryker Muntion 18   	Tryker Muntion 18   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 180
-	bctpca19	Tryker Muntion 19	Tryker Muntion 19   	Tryker Muntion 19   	Tryker Muntion 19   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 190
-	bctpca20	Tryker Muntion 20	Tryker Muntion 20   	Tryker Muntion 20   	Tryker Muntion 20   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 200
-	bctpca21	Tryker Muntion 21	Tryker Muntion 21   	Tryker Muntion 21   	Tryker Muntion 21   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 210
-	bctpca22	Tryker Muntion 22	Tryker Muntion 22   	Tryker Muntion 22   	Tryker Muntion 22   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 220
-	bctpca23	Tryker Muntion 23	Tryker Muntion 23   	Tryker Muntion 23   	Tryker Muntion 23   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 230
-	bctpca24	Tryker Muntion 24	Tryker Muntion 24   	Tryker Muntion 24   	Tryker Muntion 24   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 240
-	bctpca25	Tryker Muntion 25	Tryker Muntion 25   	Tryker Muntion 25   	Tryker Muntion 25   	ein	der		die	Befähigt zur Herstellung von Tryker-Munition bis zur Stufe $cr_recommended 	Tryker Muntion Qualität 250
