// HASH_VALUE A575E93668996B62
// INDEX 0
abandon_mission	[&TSK&Has abandonado una misión.]

// HASH_VALUE 322F8B88C9B71AB0
// INDEX 1015
cwintrozoraifin_dialog_welcomer	[Muy bien, $player$. Has prestado muchos servicios a nuestra ciudad. Ahora es tiempo para que conozcas a alguna gente importante. {break}Primero visitarás al magistrado a cargo de las aplicaciones de ciudadanía, luego al secretario de los gremios. Luego visitarás al encargado de los apartamentos donde puedes comprar un apartamento. Finalmente, te sugiero que vayas a ver a $sage$, nuestro Sabio. El posee las llaves que nos conducen a la sabiduría y puede guiarte por la senda del conocimiento.... si así lo deseas..]

// HASH_VALUE 37CFE3D6E07D27D6
// INDEX 1016
cwintrozoraifin_popup_citizen	[Puedes tomar un ritual de ciudadanía cuando hayas alcanzado 30 de fama para una raza. \n
	\n
	Puedes ganar ciudadanía a pesar de la raza. (Eje. Un Fyros se puede convertir en un ciudadano Tryker si su reputación para Tryker es de al menos 30 y completa el ritual exitosamente.) \n
	\n
	Un personaje solo puede ser ciudadano de una sóla tierra a la vez. Si desea cambiar, primero debe renunciar a su ciudadanía al hablar con el Magistrado de la Dinastía de su actual. \n
	\n
	La ciudadanía ofrece ventajas tales como la habilidad de aumentar tu fama para la raza, y tener acceso a más misiones.]

// HASH_VALUE C8C5603F2912E298
// INDEX 1017
cwintrozoraifin_popup_citizen_title	[Ciudadanía]

// HASH_VALUE 1272F3727816455D
// INDEX 1018
cwintrozoraifin_popup_guild	[El miembro de un gremio se puede comunicar con cada uno fácilmente utilizando un canal dedicado a la  charla. \n
	\n
	Un gremio también puede adquirir una casa de ayuntamiento que dará a sus miembros un lugar para reunirse privadamente y almacenar sus objtos de manera segura. \n
	\n
	Un gremio también puede poseer uno o más puestos fronterizos de Atys. Los puestos pueden ser utilizados para taladrar materias especiales no disponibles en todas partes. No obstante sólo hay un número limitado de puestos, por lo que probablemente tendrás que luchar con otros gremos por la posición y el control.]

// HASH_VALUE 91AA4F98A6A2209A
// INDEX 1019
cwintrozoraifin_popup_guild_title	[Gremios]

// HASH_VALUE 649186EF7DF65EF6
// INDEX 1020
cwintrozoraifin_step1_phrase	[Tienes algo más que yo pueda hacer?]

// HASH_VALUE 51D6EE457F2681AE
// INDEX 1021
cwintrozoraifin_step2_phrase	[Hola, $givervar$ me envía para pedir información sobre la ciudadanía]

// HASH_VALUE C35951788594F81F
// INDEX 1022
cwintrozoraifin_step3_phrase	[Hola, $givervar$ me envía para que me hable sobre los gremios]

// HASH_VALUE 45D98DF684DC620D
// INDEX 1023
cwintrozoraifin_step4_botchat	[Buen día $player$. Estoy seguro que puedes costearte la compra de un apartamento en nuestra ciudad. En tu apartamento puedes almacenar los objetos que no quieras llevar contigo en tus aventuras. {break} Favor toma nota que solo puedes tener un apartamento a la vez, perderás todo el contenido del anterior.]

// HASH_VALUE 0C4D093BB9C0A447
// INDEX 1024
cwintrozoraifin_step4_overload	[Habla con uno de los encargados de los apartamentos de la ciudad]

// HASH_VALUE 1D4F066AC975999A
// INDEX 1025
cwintrozoraifin_step4_phrase	[Hola. $givervar$ me envía para hablar contigo sobre los apartamentos]

// HASH_VALUE 0BF00E29E14E443E
// INDEX 1026
cwintrozoraifin_step5_phrase	[Hola, $givervar$ me envía para hablar contigo. Mi nombre es $player$]

// HASH_VALUE AAC8CAB7458DC6D0
// INDEX 1027
cwintrozoraifin_title	[Llegada a $city$ (seguido)]

// HASH_VALUE D91090481AB6D4E1
// INDEX 1028
cwintrozorai_outofroom_botchat	[No te preocupes, aquí tienes.]

// HASH_VALUE 9D2D3725808D23A7
// INDEX 1029
cwintrozorai_outofroom_msg	[&SYS&No tienes suficiene espacio en tu inventario. Regresa por el ojbeto cuando hayas creado más espacio.]

// HASH_VALUE 64974E329C6AD145
// INDEX 1030
cwintrozorai_outofroom_overload	[Crea espacio en tu inventario antes de regresar por el objeto.]

// HASH_VALUE 25E8FA0B1EA1974A
// INDEX 1031
cwintrozorai_outofroom_phrase	[Antes no tenía suficiente espacio.]

// HASH_VALUE 13102500F7890E9E
// INDEX 1032
cwintrozorai_shops_low_sysmes	[&AMB&Estás en $shops_low$. Aquí encontrarás a todos los comerciantes y entrenadores que vas a necesitar.]

// HASH_VALUE D5998485601D1B0F
// INDEX 1033
cwintrozorai_shops_trainers_overload	[Ve a $trainers$]

// HASH_VALUE 8701A53EE640FE80
// INDEX 1034
cwintrozorai_trainers_sysmes	[&AMB&Estás en $trainers$. Dentro encontrarás a los entrenadores que te ayudarán a progresar a lo largo de la senda que has escogido.]

// HASH_VALUE 1A958F25ED89725E
// INDEX 1035
cwmc01_desc	[$artisan$ tiene necesidad de botas.]

// HASH_VALUE A42F5E857054D25D
// INDEX 1036
cwmc01_dialog_artisan_m	[Hola. De modo que deseas ser parte de la vida de la ciudad? Entonces, lo que hay que recordar es que nuestro pueblo se enorgullese por su talento en la fabricación de artesanías y por su gran sentido de la estética. Yo mismo, soy un artesano al servicio de su Majestad. Pero, como no tengo tiempo para ocuparme de todo yo mismo, a veces tengo que delegar los trabajos menos importantes. Aquí hay una orden que acaba de llegar, solo para fabricar algunas botas livianas, pero desafortunadamente no puedo ocuparme de eso por ahora. Si eres capaz de fabricar algunas te estaré muy agradecido. Serás recompensado, por supuesto.]

// HASH_VALUE FEAB45B606870D2E
// INDEX 1037
cwmc01_dialog_artisan_f	[Hola. De modo que deseas ser parte de la vida de la ciudad? Entonces, lo que hay que recordar es que nuestro pueblo se enorgullese por su talento en la fabricación de artesanías y por su gran sentido de la estética. Yo mismo, soy un artesano al servicio de su Majestad. Pero, como no tengo tiempo para ocuparme de todo yo mismo, a veces tengo que delegar los trabajos menos importantes. Aquí hay una orden que acaba de llegar, solo para fabricar algunas botas livianas, pero desafortunadamente no puedo ocuparme de eso por ahora. Si eres capaz de fabricar algunas te estaré muy agradecido. Serás recompensada, por supuesto.]

// HASH_VALUE 2AF0BB80F931F317
// INDEX 1038
cwmc01_dialog_reward	[Muy buen trabajo. Pareces estar en el camino de convertirte en un excelente artesano. Has sido de gran ayuda. Por favor toma esto, una recompensa por tu servicio.]

// HASH_VALUE 367D2E52A8195949
// INDEX 1039
cwmc01_instructions	[Hola $player$. Si quieres servir a nuestro gran reino, mejor empieza por visitar al Artesano Real $artisan$. Creo que él podría necesitar algo de ayuda. Puedes encontrarlo en el Invernadero Real.]

// HASH_VALUE CCF1E414F89C9415
// INDEX 1040
cwmc01_step1_phrase	[Hola, $givervar$ me envía para ayudarte]

// HASH_VALUE EF4D8DDB34CCADBB
// INDEX 1041
cwmc01_step2_overload	[Fabrica 5 pares de botas livianas de cualquier raza (plan básico) de calidad 10 al menos]

// HASH_VALUE 163A9A826925E066
// INDEX 1042
cwmc01_step3_overload	[Entrega las botas a $chef$]

// HASH_VALUE 1C9108889C7ACC52
// INDEX 1043
cwmc01_title	[Botas para el Palacio]

// HASH_VALUE 1EE8BF5870AEAA83
// INDEX 1044
cwmc02_desc	[Los aprendices de guerrero de los Yrkanis necesitan lanzas para el entrenamiento.]

// HASH_VALUE 8E29C427D37FE776
// INDEX 1045
cwmc02_dialog_artisan	[Hola. Ahora, puedo enseñarte cómo fabricar estas armas de entrenamiento, pero creo que sería más interesante si lo aprendieras por ti mismo. La naturaleza por si sola puede enseñarte el secreto de su creación. Aprenderás mucho solo observando cuidadosamente.{break}Hay una planta llamada $plante$, al sur de $avalae$. Ve y estúdiala, observa su composición, y tendrás una idea de cómo se realiza una lanza.]

// HASH_VALUE DE6C342F04371361
// INDEX 1046
cwmc02_dialog_chef	[$givervar$ Te envía aquí, supongo. Tiene la lengua muy suelta. Bien, ahora que ya estás enterado, si, necesitamos el servicio de los artesanos. Nuestros nuevos reclutas rompen sus lanzas de entrenamiento a niveles alarmantes, nuestras existencias se están disminuyendo ante nuestros ojos.{break}Qué? No puedes fabricar lanzas de entrenamiento? Qué clase de artesano eres? Desperdiciando mi tiempo así. Ve a tomar lecciones con $artisan$ antes que tu incompetencia me ponga más enojado.]

// HASH_VALUE 104CB168949E9CC4
// INDEX 1047
cwmc02_instructions	[$artisan$ me dijo que le has servido muy bien. Puedo ver que se puede confiar en ti. Porqué no vas a ver $chef$, jefe de la guardia. Ella no es una persona agradable, pero tiene necesidad de tus talentos, probablemente hará un esfuerzo extra.]

// HASH_VALUE 5A37661A3623E524
// INDEX 1048
cwmc02_reward_sysmes	[&AMB&Descubres cómo fabricar lanzas de entrenamiento al observar las $plante$.]

// HASH_VALUE 18A8FA27C3B3EE64
// INDEX 1049
cwmc02_step1_phrase	[Hola, entiendo que estás en necesidad de un artesano?]

// HASH_VALUE C0915F401B206980
// INDEX 1050
cwmc02_step1_phrase2	[Hola. Puedes enseñarme cómo fabricar lanzas de entrenamiento?]

// HASH_VALUE E052350A14D5AB92
// INDEX 1051
cwmc02_step3_overload	[Encuentra la $plante$ al sur de $avalae$]

// HASH_VALUE 8E9DC48A19C59BB2
// INDEX 1052
cwmc02_step3_phrase	[Estudia la $plante$]

// HASH_VALUE 864978A9C8969BAF
// INDEX 1053
cwmc02_title	[Lanzas para los aprendices (1/2)]

// HASH_VALUE 1EE8BF5870AEAA83
// INDEX 1054
cwmc03_desc	[Los aprendices de guerrero de Yrkanis están en necesidad de lanzas de entrenamiento.]

// HASH_VALUE 1C54EF35064F09E9
// INDEX 1055
cwmc03_dialog_reward	[Hum... Supongo que hay que agradecer. Toma ésto, creo que lo mereces. Aunque eres débil, los artesanos son los mejores amigos de los guerreros. Cada uno depende del otro, estoy seguro que pronto te llevarás bien.]

// HASH_VALUE 9888BEAD5DC37945
// INDEX 1056
cwmc03_step1_roleplay_1	[Fabrica 5 lanzas de entrenamiento para los aprendices de guerrero de $city$]

// HASH_VALUE 864978A908969BAF
// INDEX 1057
cwmc03_title	[Lanzas para los aprendices (2/2)]

// HASH_VALUE 0A194912FA0AFF5B
// INDEX 1058
cwmf01_desc	[El Artesano Real necesita que le traigas algo de piel de Bodoc.]

// HASH_VALUE 3DA78CCCF7E1F41A
// INDEX 1059
cwmf01_dialog_artisan	[Hola. De modo que deseas ser parte de la vida de la ciudad? Entonces, lo que hay que recordar es que nuestro pueblo se enorgullese por su talento en la fabricación de artesanías y por su gran sentido de la estética.\n
	\n
	Yo mismo, soy un artesano al servicio de su Majestad. Mi próxima creación requiere de la piel de un Bodoc, pero no puedo permitirme poner mi vida en peligro. Me gustaría que me trajeras una. Puedes encontrar pieles de $bodoc$ al sur de la ciudad.]

// HASH_VALUE FB20FFEEAE10A5EC
// INDEX 1060
cwmf01_dialog_reward	[Bien, eso es genial. Los artesanos requieren de los mejores materiales para ser capaces de fabricar artículos de calidad. Tu apoyo a nuestros guerreros es muy apreciado. Como todo trabajo merece pago, aquí hay algo para agradecerte.]

// HASH_VALUE 367D2E52A8195949
// INDEX 1061
cwmf01_instructions	[Hola $player$. Si quieres servir a nuestro gran reino, mejor empieza por visitar al Artesano Real $artisan$. Creo que él podría necesitar algo de ayuda. Puedes encontrarlo en el Invernadero Real.]

// HASH_VALUE D91090481AB6D4E1
// INDEX 1062
cwmf01_outofroom_botchat	[No te preocupes por eso, aquí tienes.]

// HASH_VALUE 9D2D3725808D23A7
// INDEX 1063
cwmf01_outofroom_msg	[&SYS&No tienes suficiente espacio en tu inventario. Regresa por el objeto cuando hayas creado más espacio.]

// HASH_VALUE 64974E329C6AD145
// INDEX 1064
cwmf01_outofroom_overload	[Crea espacio en tu inventario antes de regresar por el objeto.]

// HASH_VALUE 25E8FA0B1EA1974A
// INDEX 1065
cwmf01_outofroom_phrase	[Antes no tenía suficiente espacio para tomar el objeto.]

// HASH_VALUE CCF1E414F89C9415
// INDEX 1066
cwmf01_step1_phrase	[Hola, $givervar$ me envía para ayudarte]

// HASH_VALUE AE41867FCA2B7FBD
// INDEX 1067
cwmf01_title	[Agua para el Artesano Real]

// HASH_VALUE 7137B5B8840E24FA
// INDEX 1068
cwmf02_desc	[Ayuda a las autoridades a asegurar las rutas de acceso a $city$.]

// HASH_VALUE C1A3BF1E7A242E52
// INDEX 1069
cwmf02_dialog_artisan_m	[Hm, quién te dijo éso? $givervar$? Siempre buscando cómo ayudar a otros en vez de uno, un verdadero Tryker! Pero la compasión no tiene lugar en el campo de batalla! De todas maneras, ahora que éstas aquí, puedes sevir de ayuda. {break}Los viajeros se han quejado que haber sido atacados por carnívoros en los caminos de la ciudad. Esos debiluchos son incapaces te defenderse así mismos, por lo que me pidieron hacer algo al respecto. Sin embargo, me rehusé de pedir a los homins que se ariesgaran por un trabajo tan humilde. Dime lo que deseas, porque no soy ingrato; si tomas esta misión en nombre de la guardia, serás recompensado.]

// HASH_VALUE 95924747F7945F21
// INDEX 1070
cwmf02_dialog_artisan_f	[Hm, quién te dijo éso? $givervar$? Siempre buscando cómo ayudar a otros en vez de uno, un verdadero Tryker! Pero la compasión no tiene lugar en el campo de batalla! De todas maneras, ahora que éstas aquí, puedes sevir de ayuda. {break}Los viajeros se han quejado que haber sido atacados por carnívoros en los calles de la ciudad. Esos debiluchos son incapaces de defenderse así mismos, por lo que me pidieron hacer algo al respecto. Sin embargo, me rehusé pedir a los homins que se ariesgaran por un trabajo tan humilde. Dime lo que deseas, porque no soy ingrato; si tomas esta misión en nombre de la guardia, serás recompensada.]

// HASH_VALUE 499DD35EFA03CE74
// INDEX 1071
cwmf02_dialog_reward	[Bien, veo que no eres tan débil como pareces. Aquí, te dije que sería agradecido y esto es prueba de ello. Ahora vete.]

// HASH_VALUE 482BFEDC493CC5C3
// INDEX 1072
cwmf02_instructions	[Es bueno que estés aquí, $player$. El Jefe de la Guardia Real $chef$ está buscando homins con talento para el combate. Deberías ir a verlo y ofrecer tus servicios. Lo podrás reconocer fácilmente por su armadura negra.]

// HASH_VALUE 537A3EA8EF7A821B
// INDEX 1073
cwmf02_step1_phrase	[Mis respetos. Me dijeron que estás en busca de guerreros]

// HASH_VALUE C4799F4A64109C6E
// INDEX 1074
cwmf02_step3_phrase	[He completado mi misión]

// HASH_VALUE 375851ACAC56C861
// INDEX 1075
cwmf02_title	[Asegurando las calles]

// HASH_VALUE 7125D02F0BC6C8C8
// INDEX 1076
cwmf03_desc	[El $greenseed$ tiene un paquete para enviar a $avalae$.]

// HASH_VALUE 3B627861C5EF161B
// INDEX 1077
cwmf03_dialog_reward	[Has recuperado mi bolso? De seguro eres alguién en quien confiar! Toma esto cómo recompensa.]

// HASH_VALUE 3477BB6910D75FDE
// INDEX 1078
cwmf03_dialog_supplier	[Ah, hola. Bienvenido a $greenseed$! Veo que $givervar$ siempre se las arregla para encontrar al homin adecuado. Me pregunto si podrías hacerme un favor. Este paquete necesita ser entregado a $avalae$ pero otros asuntos requieren de mi a tención. Podrías entregarlo por mi?]

// HASH_VALUE F7E9A427B9AAA987
// INDEX 1079
cwmf03_dialog_vendeur	[Gracias, Me estaba poniendo impaciente esperando por este paquete. Pero dime... te gustaría hacerme un pequeño favor? Los bandidos han robado mis ganancias del día. Salieron en dirección hacia el cementerio al sureste de la ciudad. Te estaría muy agradecido si pudieras recuperar mi propiedad.]

// HASH_VALUE 88C01215C9F2DDF1
// INDEX 1080
cwmf03_instructions	[De modo que, conoces a $chef$? Esta homi es difícil de tratar, pero no tiene mal corazón. La próxima persona a la que necesitas ver y ayudar es de un tipo más agradable. Me refiero a $supplier$, un miembro de la tribu de $greenseed$. He indicado la ubicación de la tribu en tu mapa.]

// HASH_VALUE 5534D339DE9A0F80
// INDEX 1081
cwmf03_step1_phrase	[Hola, $givervar$ me envía]

// HASH_VALUE 84809CF67B5BADBB
// INDEX 1082
cwmf03_step3_overload	[Ve al cementerio de $avalae$ y encuentra a los bandidos]

// HASH_VALUE A57F03B70FA538DB
// INDEX 1083
cwmf03_step4_fail_sysmes	[&AMB&No fuiste capaz de recuperar el bolso de $vendeur$. Regresa más tarde.]

// HASH_VALUE DB8795062B6D5B44
// INDEX 1084
cwmf03_step4_success_sysmes	[&AMB&Encuentras un bolso en el cuerpo de un bandido.]

// HASH_VALUE 85C69C9952E7C05B
// INDEX 1085
cwmf03_title	[Un recado para el $greenseed$]

// HASH_VALUE 37FB4CB015ED4511
// INDEX 1086
cwmh01_desc	[El Artesano Real necesita huesos para su próximo encargo.]

// HASH_VALUE D59F9DC8CD2B497A
// INDEX 1087
cwmh01_dialog_artisan	[Buen día. $givervar$ sabe que yo siempre necesito más ayuda. El Maestro de los artesanos está entre las personas más respetadas de nuestra ciudad. Sin embargo, no debemos olvidar, que un artesano no es nada sin buenos proveedores de materias primas. Actualmente, tengo necesidad de algunos materiales, pero no puedo perder el tiempo para ir a buscarlos yo mismo. Deberías ser capaz de traerlos para mi, si tienes algunas habilidades en búsqueda. {break}Ve ala entrada de $arene$. Ahí encontrarás un esqueleto gigante de una critura de la antiguedad. Buscando cerca del esqueleto encontrarás huesos. Tráme una docena de huesos y te recompensaré adecuadamente.]

// HASH_VALUE 492286883D05455D
// INDEX 1088
cwmh01_dialog_reward	[Muchas gracias. Esto es perfecto! Un buen artesano siempre puede contar con un buen buscador. Aquí, toma ésto con mi gratitud.]

// HASH_VALUE 34AA3D6B11D7F6F1
// INDEX 1089
cwmh01_instructions	[Hola $player$. Probablemente ya te habrás enterado que los Matis tienen una gran importancia en la buena artesanía. Por lo general, el artesano Real se puede encontrar en el Invernadero. Deberías ir a verlo y ofrecerle tu ayuda.]

// HASH_VALUE CCF1E414F89C9415
// INDEX 1090
cwmh01_step1_phrase	[Hola, $givervar$ me ha enviado para ayudarte]

// HASH_VALUE 795B94A06E41B6AE
// INDEX 1091
cwmh01_title	[Huesos para el Artesano Real]

// HASH_VALUE 0FE78765F66E18DA
// INDEX 1092
cwmh02_desc	[El tabernero de $city$ necesita raíces para sazonar sus bebidas.]

// HASH_VALUE 02C3C111EDEA3192
// INDEX 1093
cwmh02_dialog_barman	[Hola, qué bien tenerte aquí. Eres un buscador competente? Tengo necesidad de unas raíces especiales para sazonar mis bebidas. Podrías encontrar algunas si inspeccionas al este de la ciudad, donde hay dos raíces gigantes que salen del suelo. Recuerda, estas raíces deben ser de buena calidad.]

// HASH_VALUE FF9321D59CFFF771
// INDEX 1094
cwmh02_dialog_reward	[Perfecto! Mis clientes estarán muy felices debido a ti! Aquí, toma esto; es para ti.]

// HASH_VALUE 0745B015D17A24BF
// INDEX 1095
cwmh02_instructions	[Has hecho un excelente trabajo ayudando a $artisan$. Creo que $barman$, tabernero de $city$ necesita de un buscador. Deberías ir a verle si puedes ayudarle.]

// HASH_VALUE CCF1E414F89C9415
// INDEX 1096
cwmh02_step1_phrase	[Hola, $givervar$ me ha enviado para ayudarte]

// HASH_VALUE 71089433A9DB47B7
// INDEX 1097
cwmh02_title	[Raíces para el tendero]

// HASH_VALUE A69467B42E29A232
// INDEX 1098
cwmh03_desc	[El boticario de $city$ necesita esporas para crear una poción.]

// HASH_VALUE EBC8255A9718EB55
// INDEX 1099
cwmh03_dialog_medecin	[Alabada sea Jena. Finalmente, alguién que me puede ayudar. Realmente necesito algo de Esporas de Psykopla para elaborar una poción. Por lo general, éstas suelen encontrarse en el $monticule$. Por favor, ve rápido al gran árbol en la cima del $monticule$, deberías encontrarlo ahí. Por favor asegúrate que sean de la mejor calidad.]

// HASH_VALUE 4FD17EA24C6F55B2
// INDEX 1100
cwmh03_dialog_reward	[Muchas gracias, con esto podré crear mi poción. Por favor toma esto, una pequeña recompensa por un trabajo bien hecho.]

// HASH_VALUE 4AAA80438C5E215C
// INDEX 1101
cwmh03_instructions	[Qué bien que estás aquí, $player$. El boticario $medecin$ de $city$ necesita alguién que le ayude a encontrar un ingrediente importante para crear una poción. Deberías ir a verle sin demora.]

// HASH_VALUE FA91F4FFB583093A
// INDEX 1102
cwmh03_step1_phrase	[Hola. $givervar$ me dijeron que vinierar a ayudarte]

// HASH_VALUE DCE58378DAF978B6
// INDEX 1103
cwmh03_title	[Esporas para el boticario]

// HASH_VALUE E4C8536F0F219E56
// INDEX 1104
cwtamponzorai_desc	[$givervar$ probablemente tenga más misiones para ti.]

// HASH_VALUE C78D84BAD6BBAC1A
// INDEX 1105
cwtamponzorai_step1_overload_1	[Regresa y fíjate si$givervar$ tiene otras misiones que puedas hacer]

// HASH_VALUE 174A9B85D3A5BF5C
// INDEX 1106
cwtamponzorai_title	[Ayuda a la gente de $city$]

// HASH_VALUE 9585BB7428105B6A
// INDEX 1107
cwtc01_desc	[$messager$ tiene necesidad de botas.]

// HASH_VALUE F8EF29F94F98F8E3
// INDEX 1108
cwtc01_dialog_messager	[Ah, buen día. Déjame presentarme, yo soy $messager$, enviado de $city$. Viajo a través de toda la región entregando mensajes y paquetes. Algunas veces tengo tanto trabajo que tengo que pedir ayuda a otros homins. Mi trabajo requiere que camine constantemente, pero no me oirás quejarme, me encanta!{break}El problema es sólo que mis botas se desgastan muy rápido. Se están cayendo a pedazos, pero tengo tantos paquetes que entregar que no tendré tiempo para comprarme unas nuevas tan pronto. Sería encantador si pudieras ir a fabricarme unas cuantas botas nuevas. Pero por favor fabrica botas livianas; me canso muy pronto llevando botas pesadas.]

// HASH_VALUE 9A17DD3BF2DF03BB
// INDEX 1109
cwtc01_dialog_reward	[Muchas gracias, estas botas están perfectas. Toma esto con mi gratitud; le encontrarás buen uso, te lo aseguro.]

// HASH_VALUE 4638221AF9C62C7E
// INDEX 1110
cwtc01_instructions	[Me alegro de verte, $player$. Tienes algún talento en la fabricación de objetos? Sucede que $messager$ necesita un poco de ayuda. Porqué no vas a verlo y le echas una mano? Este es el enviado de $city$, te mostraré la ubicación en el mapa.]

// HASH_VALUE CCF1E414F89C9415
// INDEX 1111
cwtc01_step1_phrase	[Hola, $givervar$ me envía para ayudarte]

// HASH_VALUE EF4D8DDB34CCADBB
// INDEX 1112
cwtc01_step2_overload	[Fabrica 5 pares de botas livianas de cualquier raza (plan básico) de calidad 10 al menos]

// HASH_VALUE 946C8F8F2BE3DF6A
// INDEX 1113
cwtc01_step3_overload	[Entrega las botas a $messager$]

// HASH_VALUE 5653AC438AA942AD
// INDEX 1114
cwtc01_title	[Botas para el enviado]

// HASH_VALUE BBD24FD2351C04E7
// INDEX 1115
cwtc02_desc	[La ciudad de $city$ necesita espadas para sus aprendices de guerreros.]

// HASH_VALUE E37B16564B34E27B
// INDEX 1116
cwtc02_dialog_artisan	[Hm, aprenderías? Las espadas de entrenamiento son muy básicas, y tu ya sabes como fabricarlas? Cómo esperas aprender a fabricar sin dominar los príncipios básicos? Ah, bien, ya te has tomado la molestia de venir a verme, por lo que es claro que quieres que te enseñen. {break}El artesano que fabrica estas armas de entrenamiento estaba cerca del final de su vida, un homin de muchos ciclos. Presintiendo que su fin estaba cerca, quizo dejar un sello de su existencia en Atys y preservar su conocimiento para sus discípulos. El erigió un monumento en el cual grabó el método para la creación de las espadas de entrenamiento.{break}El monumento está en algún al sur de  $ferme$. Depende de ti encontrarlo; no puedo encargarme de más trabajo!]

// HASH_VALUE 1F45832498FC848A
// INDEX 1117
cwtc02_dialog_chef	[Hola. Oh si, más y más reclutas están llegando cada día. Eso es bueno, de veras, pero crea algunos problemas... Nuestra existencia de espadas es muy baja y pronto nos quedaremos sin nada. Si tu eres un artesano deberías ir a ver a $artisan$, entrenadora de $avendale$. Ella sabe cómo fabricarlas, de modo que quizás pueda enseñarte.]

// HASH_VALUE 7D9C3C9094702A8D
// INDEX 1118
cwtc02_instructions	[Hola $player$. $messager$ me dijo que tu asistencia fue muy valiosa. Pienso que le hiciste un gran favor a nuestra ciudad. Ahora, $gardchief$, jefe de la guardia está buscando a un artesano que le ayude. Deberías ir a verlo.]

// HASH_VALUE 6FCD2A5EDD28B55E
// INDEX 1119
cwtc02_reward_sysmes	[&AMB&Aprendes como fabricar espadas de entrenamiento.]

// HASH_VALUE 98398FAA99F99DFF
// INDEX 1120
cwtc02_step1_phrase	[Hola, $givervar$ me envía. Tienes necesidad de un artesano?]

// HASH_VALUE 7C94130E036868D7
// INDEX 1121
cwtc02_step2_phrase	[Hola, me gustaría aprender cómo fabricar espadas de enrenamiento]

// HASH_VALUE 1773CECF99D68B52
// INDEX 1122
cwtc02_step3_overload	[Encuentra el monumento del viejo artesano al sur de $ferme$]

// HASH_VALUE C41F24C7F019AF8A
// INDEX 1123
cwtc02_step3_phrase	[Lee la inscripción escrita en el monumento]

// HASH_VALUE 2CEFD70D7B9E9A0C
// INDEX 1124
cwtc02_step3_sysmes	[&AMB&Encuentras la información que necesitas para fabricar espadas de entrenamiento grabadas en el monumento.]

// HASH_VALUE 17D657BC98DAEBEE
// INDEX 1125
cwtc02_title	[Espadas para los aprendices (1/2)]

// HASH_VALUE BBD24FD2351C04E7
// INDEX 1126
cwtc03_desc	[La ciudad de $city$ necesita espadas para equipar a sus aprendices de guerreros.]

// HASH_VALUE 5062C3C2C392D0AF
// INDEX 1127
cwtc03_dialog_reward	[Ah gracias, $player$, llegas justo a tiempo, un poco más tarde y no hubiera sabido cómo hubiéramos suministrado las armas de entrenamiento a nuestros nuevos aprendices. La ciudad de $city$ está en deuda contigo. Por favor acepta esto, te lo has ganado.]

// HASH_VALUE 3D744525541C5754
// INDEX 1128
cwtc03_step1_roleplay_1	[Fabrica 5 espadas de entrenamiento para los aprendices de guerreros de $city$]

// HASH_VALUE 17D657BC98EAEBEE
// INDEX 1129
cwtc03_title	[Espadas para los aprendices (2/2)]

// HASH_VALUE 1C9E271EC898899B
// INDEX 1130
cwtf01_desc	[Los Kitins están de regreso! Ayuda a las autoridades de Fairhaven a evaluar el nivel de la amenaza.]

// HASH_VALUE AB827316D05EA058
// INDEX 1131
cwtf01_dialog_reward_m	[Déjame entregarte estos cristales como recompensa. Al utilizarlos progresarás más rápidamente en tus diversas habilidades. Esto significa que te volveverás más fuerte y más capaz de ayudarnos a vivir en paz al defender a nuestro pueblo. Deberías ir a ver a $givervar$, sin duda ella tiene otro trabajo para ti.]

// HASH_VALUE A412AFC8F0F812CC
// INDEX 1132
cwtf01_dialog_reward_f	[Déjame entregarte estos cristales como recompensa. Al utilizarlos progresarás más rápidamente en tus diversas habilidades. Esto significa que te volveverás más fuerte y más capaz de ayudarnos a vivir en paz al defender a nuestro pueblo. Deberías ir a ver a $givervar$, sin duda ella tiene otro trabajo para ti.]

// HASH_VALUE C93915E906475732
// INDEX 1133
cwtf01_fin_chef_m	[Muy bien, $player$. Hiciste un buen trabajo, y aunque la amenaza Kitin no está por completo eliminada, tus acciones han protegido a la Tierra de los Lagos. Puedes sentirte orgulloso de ti mismo, porque es a través de tales acciones que seremos capaces de reconstruir finalmente la nación de paz con la que todos los Trykers soñamos.]

// HASH_VALUE 28A9829240BDAE48
// INDEX 1134
cwtf01_fin_chef_f	[Muy bien, $player$. Hiciste un buen trabajo, y aunque la amenaza Kitin no está por completo eliminada, tus acciones han protegido a la Tierra de los Lagos. Puedes sentirte orgullosa de ti misma, porque es a través de tales acciones que seremos capaces de reconstruir finalmente la nación de paz con la que todos los Trykers soñamos.]

// HASH_VALUE 3BF0E035BA463FFD
// INDEX 1135
cwtf01_instructions_m	[Hey $player$! Sabía que eras un homin dispuesto a ayudar. Si quieres ser de mayor utilidad, creo que está buscando nuevos reclutas. Si estás interesado en ayudar al pueblo de los Tryker, deberías ir a verlo.]

// HASH_VALUE BB252172F9FDE420
// INDEX 1136
cwtf01_instructions_f	[Hey $player$! Sabía que eras una homin dispuesta a ayudar. Si quieres ser de mayor utilidad, creo que está buscando nuevos reclutas. Si estás interesado en ayudar al pueblo de los Tryker, deberías ir a verlo.]

// HASH_VALUE D91090481AB6D4E1
// INDEX 1137
