bot name	translated name	sheet_name
nsomhom	Fuan Di-Shuan	zohc1
nyahdm		
nywue	Mu So-Suang	zohc2
oachyo	Kungi Shu-Quan	zorai_guard_z_h
oalym		
oamom		
oashoy	We Ye-Ciang	zohc1mid
ochishay	Din Ke-Piang	zorai_guard_z_h
odlydom	We Xo-Yuang	zohc1
odom	Bian Di-Shuan	zohc2
odomshoi	Mu Bai-Fuang	zorai_guard_z_h
ofai		
ofyo	Gei Shuai-Nang	zohc2
ognang	Fung Ye-Ciang	zohc1
ogoym		
ogyfao		
ohamtam	Chi Li-Qiao	zohc1
ohigym	Buao Shuai-Nang	zohc1
ohm		
ohyfia	Din Qai-Be	zohc1
oichio	Jeoi Nai-Da	zohc1
oilsam		
oimang	Kungi Shua-Lao	zorai_guard_z_h
olam		
olchyo	Din Ma-Seng	zoha1
oliam		
ollshai	Ge Nai-Da	zorai_guard_z_h
olong		
omang		
omyng		
onam	Guai Shua-Lao	zohc2old
ong	Vao Wo-Lo	zohc1
oniam		
ontfoy	Fung Wo-Lo	zorai_guard_z_h
oshang		
oshgshyo	Jeoi Wo-Lo	zohc1
otchoy	Jeoi La-Po	zorai_guard_z_h
otfio	Hiang La-Po	zoha1
otiam	Vao So-Suang	zohc1
otifyo	Gei Ke-Piang	zohc1
otim	Ge Bai-Fuang	zohc1
otmiam	Chaoi Li-Qiao	zohc2
ottgong		
owocce	Fa Shuai-Nang	zohc3
oxohyo	Mu Pa-Sang	zorai_guard_z_h
oxye		
oymong	Buao La-Po	zohc1
pikwihk		
pinwchu		
piuyazew		
piwxwin	Chi La-Po	zorai_guard_z_h
pnongpiw		
pongxyu		
poshixu	Gei Bai-Kung	zorai_guard_z_h
powxinq		
pwenxen		
pykwik		
qwanchow		
qwanwiyn		
qwesxh		
range_master		
ranqux		
raway		
ryuwoo	Hen Shuai-Nang	zohc1
samyxu		
sang	Chi Bai-Fuang	zohc2
saym		
schafio	Bian Shua-Lao	zorai_guard_z_h
sefwe		
sengsung		
sgmiom		
shan		
shaqwyx		
shashio	Din Di-Shuan	zohc1
shichio	Chi Zai-Suo	zoha1
shichoi	Chi Sai-Fuang	zorai_guard_z_h
shifay	Gei Si-Tin	zorai_guard_z_h
shimchio	Hen Ye-Ciang	zohc1
shinzu		
shishia	Dao La-Po	zohc1
shmoshya	Fuo Ba-Ben	zohc1
shoishoy		
shoo	Chaoi Xo-Yuang	zohc1
shoxyax		
shylchao	Guai Shu-Quan	zorai_guard_z_h
shynom		
shyoo	Din Ma-Seng	zohc1
shyshio	Guai Ye-Ciang	zorai_guard_z_h
shyshoi	Din Vo-Nuang	zohc3
simssiti	Jeoi Shuai-Nang	zohc1
sing	Ge Ba-Ben	zohc1
siofoi	Fuan Nai-Da	zorai_guard_z_h
slinym	Vao Ma-Seng	zohc1
sohim	Bian Ba-Ben	zohc1
somng		
song	Xei Shu-Quan	zohc1
stafoy	Hen Bai-Kung	zorai_guard_z_h
syang	Chaoi Be-Pian	zohc2
syoshio	We Wo-Lo	zorai_guard_z_h
talichyo		
taliong	Tao Qai-Be	zohc2
talom		
tashooxy		
tayng		
tgosing		
thachoi	Chaoi Wo-Lo	zorai_guard_z_h
thong		
throwing_master_boss		
tialing	Buao Bai-Fuang	zohc2
tnang		
tng	Tao Bai-Kung	zohc2
tnnayng	Dao Ma-Seng	zohc1
toiham	Zhao Di-Shuan	zorai_guard_z_h
tooxyo	Cuo So-Suang	zohc1
toroshoy		
toxue	Jeoi Tei-Woo	zohc1
treat_adept 9		
trukmuwch		
tsigshya	Zhao Nai-Da	zorai_guard_z_h
tsukkio	Chaoi Zai-Suo	zoha2
tsyang		
tuakxua		
tuxuilad	Fa Tei-Woo	zohc3old
twentehun		
twenxu		
txyxu		
tyipow	Jeoi Ye-Ciang	zorai_guard_z_h
tynyong	Chaoi Sai-Fuang	zohc2
tyouxwa		
tyuyen		
tzyu	Jeoi Li-Qiao	zohc1
uaxuen	Chaoi Vo-Nuang	zohc3
uisosa		
urao		
utuxyen	Ge La-Po	zorai_guard_z_h
uxwiyo		
vixuurang	Geng Si-Tin	zohc3old
wannaw		
warrior		
wattweq		
webwuen		
wenhwo	Chaoi Shua-Lao	zohc2
wewerq	Cuo Shua-Lao	zohc2
whan		
wing		
wixiea		
wolejon	Vao La-Po	zohc2
xatifiox		
xertua		
xezrd		
xiluxeng	Chaoi Ke-Piang	zorai_guard_z_h
ximlal		
xiopeul		
xuxen	Xei Pa-Sang	zohc1
xwimq		
xyta	Zhao Bai-Fuang	zohc1
yachyo	Guai Xo-Yuang	zohc1mid
yagiam	Vang Ke-Piang	zohc2
yahchyo		
yahm		
yaming	Zhao Tei-Woo	zohc1
yamoim	Kungi Si-Tin	zohc1
yamshio	Hen Nai-Da	zorai_guard_z_h
yasom		
ychay		
ychichoi	Guai So-Suang	zohc1
ychio	Buao Zai-Suo	zorai_guard_z_h
ychofoa	Gei Tei-Woo	zohc2old
yddgchia	Chi Ba-Ben	zohc1
ydfao	Fuan Ke-Piang	zorai_guard_z_h
ydoshoi	Fung Qai-Be	zorai_guard_z_h
yfio	Gei Qai-Be	zorai_guard_z_h
yghfwa		
yhchoy		
yhom		
Yintg	Guai Wo-Lo	zorai_guard_z_h
yktzu	Vao Xo-Yuang	zorai_guard_z_h
yliom	Buao Di-Shuan	zohc1
ylsom		
ymnam	Duai Li-Qiao	zohc1
ymychao		
ynilym	Duai Zai-Suo	zohc2
yodging		
yogong	Jeoi Qi-Quang	zohc1
yom		
yonam		
yshoo	Jeoi Vo-Nuang	zorai_guard_z_h
ytshio	Mu Vo-Nuang	zorai_guard_z_h
ytyng	Din Shuai-Nang	zohc2
zrwai		
zunxi		
zwan		
adgalae		
aelaela		
aeltae		
aenfae		
aesazvzzma		
aetva		
afsanyamzyus		
aglae		
amiliae		
aolia	Trira Tinaldo	mafc2old
aolihri	Siero Virini	mafc2old
archery_master		
aroivys	Viccio Pepi	mafc3old
assassin 6		
ausoi	Rosirgia Vidi	fyhc1
avuo	Chiarni Ciosti	mafc1mid
avvxa	Trissi Tinania	mafc2mid
axelixa		
bryus		
citizens 0		
civil		
dannaeli		
daradjae	Chiagio Gidera	mafc1
deaef		
doctor_boss		
efaemnxa	Vabri Tinalli	mafc2_a
ehewneais	Anisse Pelo	mafc2
eily		
elisilia		
elowenae	Freccio Chiandi	mafc1mid
emfxa		
emzufamus		
ensaxvnxa	Stachi Zazzo	mafc2_a
eohce	Antone Anidera	mafc1
eseaxfys		
eterilae	Tinacha Zarinia	mafc1
euvymzyus		
exxeanslma	Chianne Robi	mafc2_a
eyvxfys		
ezealys		
felezae	Siero Vido	mafa3
fiea		
fighter 10		
fighter 12		
fighter 14		
fighter 9		
First deserter		
fufa	Siero Visti	mafc3
fushwysa	Bero Niri	mafc2
goyamma		
gretae		
guard_chief		
guards_chief		
hejaeis		
husysys	Giero Anigno	mafc2old
hyilua	Chiarni Ciosi	mafc2old
illiana		
irour	Trissi Tinabi	mafc1mid
iutulk	Chiargio Rorinia	fyhc2
jijiae	Chiargio Rosidi	mafc2
lenaviae	Chiagio Gibi	mafc2
lenavielae		
lililas		
lmemmae		
magmallae		
mapae		
mvatsae	Chiaero Gidera	mafa2
nebeliae		
oebhco		
oleowe	Chiargio Ronio	mafc2old
oloetenae	Bergia Rosido	mafc2
ovau	Trissi Tinallo	mafc2
palae		
poiiilia		
poliaea		
retali	Siero Virinia	mafc1mid
rm_harvest_guild_1	Chiani Robi	mafc2_a
rm_harvest_guild_2	Chiargio Ropi	mafc2_a
rm_harvest_guild_3	Stasse Anillo	mafc2_a
rm_harvest_guild_4	Tinagia Zazzo	mafc2_a
rm_harvest_guild_5	Viccio Pesi	mafc2_a
rocalae		
sula		
teraliah		
theolae	Trira Tinadera	mafc1
thysysia	Rosini Vidi	mafc2old
toono	Trissi Tinano	mafc2old
tullys		
uazsiae		
usuava		
usunysyae		
uymynzys		
vaelae		
vaumuxnvus		
viea		
vovaiffsa		
warchief_boss		
warlord		
xyufeanvsus		
ylinnae	Viccio Penti	mafc1
yumilie		
yusza		
zazeza		
zea		
zinassia		
zoalea		
aefsmuytmus		
aehys		
aelnunfyus		
aexzvys		
aezyus	Tinabre Anilo	mahc2
afmvys		
aftufzus		
alavmxys		
albanys		
alyus		
amftayzxyus		
amfvus		
amuvafnlys		
amyzunyus		
anmuylmyus		
anvnyus		
anvynyus		
anysyus		
anyulxyus		
aoka	Tinaera Zasti	fyfc1
apilys		
arcane_master_boss		
ardeelyus		
armor		
armor2		
astyuis		
asvys		
asyxtus		
aszsys		
aszys		
atelli		
atnus		
autxvys		
avilyus	Bero Penio	mahc2old
axflyus		
aymantznys		
ayvfus		
azilikus	Chiagio Gidi	mahc2
azxuzys		
barbus		
barnys	Chiargio Rolo	mahc1old
berlyus		
bliuyus		
bolbysus		
botanyus		
bruhuys		
bytreyus		
charge giver		
City hall 0		
civil 3		
conlus		
crau	Trira Stazzo	mahc2
ctaractus		
delimuys		
dergesiyus		
eatauvmvus		
eavmzvys	Stane Zazzo	maha2
eaxyzllys		
effmzus		
efuvnyus		
emetzslus		
eneyszys		
enwbe	Antone Antorinia	mahc2old
enyvmnys		
eotce	Bero Pello	tryker_guard_t_h
esfsmys		
etmvus		
etxmys		
eufxus		
eumvflus		
euxzyus		
evryus		
evstus		
expert		
exuyvlys		
eynuxnlyus		
ezelzae		
ezeuszyus		
fdsyus		
felenys	Trira Tinandi	mahc2old
filysusys		
First deserters spy		
fiulius		
fymvevys		
fyuluss		
ghus		
gijijyus		
gilliyus	Chiargio Ronia	mahc1mid
gkyui		
gredyus		
greryus		
grokyus	Trira Tinachio	mahc2
grolulus		
gruikyus		
guards_village		
guards_village_westgate		
hegus		
hesuisyus		
hsong		
huculiyus	Bero Pelli	mahc1
hugio		
huinhuao		
huys		
hysusus		
ilusyuss		
innissyus		
iukys	Cisse Anisti	mahc2mid
jeheuys		
jeonnoyus	Chiaro Ciorini	mahc1mid
jewel		
jhuis		
joysus		
jrikyus		
jsuisyus		
juliuhs	Trira Tinalo	mahc1old
juliush		
julus		
kaliyus		
kalouuys		
kalusyus		
kamalyus		
kiryus		
klodyus		
kryonus		
lafnsyus		
layfylyus	Bero Nizzo	mahc1mid
lenavyus		
lihus		
linainae		
linuks		
linuss		
lmohomyus		
luiguy		
luisffus		
lumyfafus		
magician		
marleyus		
melee weapon & shield		
mermyius		
mniang		
mulys	Trissi Tinachini	mahc2old
mynufyus		
myxexmus		
naeluis		
namyusiae		
neclyus		
neneymfsus		
neuxuanlyus		
nihyust		
nuasasxyus		
nunvzys		
nuxasnus		
nvuzxus		
oaddm		
ohtlius		
oidim		
oiueyus		
olging		
pauli		
pilgus		
pilrys	Bero Pechio	mahc1mid
plulyus		
pollux		
polyus		
pryus		
ptilulus		
pyruls		
range weapon and ammo		
raw material		
roaoyus		
rookies		
ryiustus	Chiargio Rosinio	mahc2
ryus		
selxelafyus		
setvlys		
sgoddym		
sifuyuys		
siotsys		
sirilyus		
slzexys		
syafvyus		
tannamvus		
tavern 0		
taxeuryus		
tdihm		
telys		
tetulys		
tnuxvseutyus		
tool_merchant		
tools		
totili		
tryus	Vabri Tinadera	mahc1old
tsexus		
tui	Stasse Aninio	mahc3old
tulys		
tvantvys		
tynio		
ualtamtys		
uazfesvyus		
uexlsys		
uezltus		
uhys		
ulimius		
ulsmsus		
ulusse		
umesamyus		
umzmsys		
uniassius	Vabri Tinado	mahc2old
unsvsus		
usalyus		
usluys		
ustuss		
usylyus		
uvannyus		
uxvus		
uys		
uyvnys		
uyxtyus		
vfauffus		
vlafus		
vlenoebol	Chiargio Rorini	mahc2old
vysveufsyus		
warmaster		
xavlvvus		
xaytaemmus		
xsutalvnus		
xuxlatys		
yagam		
yalxytus		
yefatsyus		
yefetmmys		
yezvys		
yheryus		
ylmyang		
ylxus		
ymnmmys		
ynyus		
yrterys		
ysafxus		
yshys		
ysmys		
yssiong		
ytvazus		
yutanyus		
yuzsmus		
yvtelus		
zauxatmyus		
zazzerayus		
zluvyus		
apprentice trader		
beebo	Be'Yle Briggie	tryker_guard_t_f
beje	Be'Nan Dappan	tryker_guard_t_f
bejecbnte	Ba'Dardan Breggan	tryker_guard_t_f
belweleo	Mac'Nary Lixie	tryker_guard_t_f
beonoh	Mac'Darssey Baxy	tryker_guard_t_f
berte	O'Cauty Jidgen	trfc1
bet		
betet	Ba'Roley Cothan	tryker_guard_t_f
betthete	Be'Yle Canan	tryker_guard_t_f
Bguard2		
bhe		
bkoe		
blo		
boceetoe		
boehe	O'Darghan Briggie	tryker_guard_t_f
bohoec	Mac'Wiley Cadgan	tryker_guard_t_f
bohoho	Mac'Cautty Eskan	tryker_guard_t_f
bol	Mac'Nary Achen	trfc1
boleecnwo	Mac'Dughan Eoppie	tryker_guard_t_f
bowehbe	Ba'Gan Machen	tryker_guard_t_f
bowoeho	Mac'Laughan Enan	tryker_guard_t_f
bowojo	Mac'Wiley Canan	tryker_guard_t_f
cebobewe	O'Cauty Echen	tryker_guard_t_f
ceehhne	Mac'Dughan Cadgan	trfc2
ceelco		
cejehol	Be'Toolly Eoppie	tryker_guard_t_f
celete		
cenlel		
ceobjo		
ceobo		
ceohtho		
ceol		
cetoone	Ba'Massey Gedden	tryker_guard_t_f
cetoote	Be'Marrell Cadgan	tryker_guard_t_f
Cguard2		
cjoojeo	Be'Riplan Canan	tryker_guard_t_f
cneoco	Ba'Roley Artan	tryker_guard_t_f
cobeo	Ba'Dardan Dachan	trfc1
cobeocebo	Mac'Arlly Jidgen	tryker_guard_t_f
cojowlo	Mac'Rippsey Gedden	tryker_guard_t_f
coloowoe	Ba'Neppy Baxy	tryker_guard_t_f
conce	Be'Marrell Baxy	tryker_guard_t_f
conohhto	Mac'Darssey Keffan	tryker_guard_t_f
cooloceje		
cowe		
cowonoh		
ctoebne	Mac'Rippsey Machen	tryker_guard_t_f
cure_master		
derjbne	Mac'Leigan Baksan	trfc1
di		
ebehjje	Be'Toolly Dirmy	tryker_guard_t_f
ebeho	Be'Riplan Gaxy	tryker_guard_t_f
ebene	Mac'Darssey Ganan	tryker_guard_t_f
ebeohtteo	Mac'Arlly Machen	tryker_guard_t_f
ebetlo	Mac'Laughan Jidgen	tryker_guard_t_f
ebjenlo	Mac'Arlly Lixie	tryker_guard_t_f
ebnneb	Mac'Arlly Keffan	tryker_guard_t_f
ebohho		
eboje		
eboto		
ecbohoh	O'Biroy Enan	tryker_guard_t_f
eccoteej	Mac'Rippsey Ganan	tryker_guard_t_f
eceb		
eceleb	Be'Daghan Jidgen	tryker_guard_t_f
ecewo	Be'Yle Ganan	tryker_guard_t_f
echelbte	O'Arty Cothan	tryker_guard_t_f
eclehe	O'Biroy Machen	tryker_guard_t_f
eclhen	Ba'Gan Diksan	tryker_guard_t_f
ecnno	Mac'Dughan Dappan	tryker_guard_t_f
ecoehoce	Be'Gany Brammy	tryker_guard_t_f
ecoewoet	Mac'Darssey Briggie	tryker_guard_t_f
ecolwte	O'Biroy Cadgan	trfc1
econlel	Be'Nan Lipsie	trfa1
ecootwe		
ecoowo		
ecoteb		
ectobbeo	Ba'Naer Breggan	trfc2
eheejoc		
eheelo	Ba'Roley Dachan	trfa2
ehet		
ehko		
ejelo	Mac'Rippsey Liffan	trfc1
ejeolno	Be'Gany Gedden	tryker_guard_t_f
ejhlo		
ejncebe	Ba'Gan Liffan	trfc2
ejnoje	Mac'Darssey Diksan	trfc1
ejoco	O'Biroy Artan	tryker_guard_t_f
ejoehbe		
ejono	Ba'Roley Baxy	trfc1
ejowo	Be'Marrell Artan	trfc1
elbebe	Mac'Wiley Effer	trfc1
elite		
ellebe	Be'Nan Machen	trfc2
eloce	Be'Daghan Breggan	tryker_guard_t_f
eloetle	Mac'Darssey Jidgen	trfc1
eloje	Mac'Leigan Dappan	trfc3old
eloolte	Be'Gany Dachan	trfc2
enecowe	Be'Daghan Eskan	trfc1
eneeho	O'Darghan Cadgan	trfc2
enhoe	Mac'Leigan Lixie	trfc2
enoho	Be'Nan Dachan	trfc1
enono	Mac'Jorn Lichan	trfc1
ento	Ba'Gan Echen	trfc1
eobcjo	Mac'Cautty Brammy	trfa2
eobe	Mac'Laughan Gaxy	trfc1
eobhol	Ba'Laupsey Lixie	trfc2
eoce	Be'Daghan Briggie	tryker_guard_t_f
eocno	Mac'Dughan Lipsie	trfa2
eoco		
eohoco	Be'Daghan Baxy	trfc2old
eohote	Ba'Roley Achen	trfc1
eojeje	O'Cauty Canan	trfc1
eoloce	Mac'Leigan Enan	trfc1
eonco	Mac'Wiley Lichan	trfc1
eone	Be'Ledacan Breggan	trfc2old
ertd	Be'Ledacan Canan	trfc1
etcoe	Be'Nan Brammy	trfc1
etebeo	Mac'Leigan Dirmy	trfc1
etlocoe	Mac'Jorn Artan	trfc1
etoole	Be'Toolly Brammy	trfc1
ettoote	Mac'Arlly Gaxy	trfc3old
ewoewe	Mac'Arlly Canan	trfc1
ewoto	Be'Riplan Effer	tryker_guard_t_f
ewte	Mac'Dughan Canan	trfc2old
fertz	Ba'Dardan Achen	trfc1
frop	Be'Keeer Dachan	trfc1
gal		
gdto	Mac'Laughan Lixie	trfc1
gezz	Be'Ledacan Brammy	trfc1
glew	Mac'Rippsey Achen	trfc2
groszen	O'Cauty Dirmy	trfc1
healing_master		
heetete	Be'Toolly Ganan	trfa1
heralg	Mac'Dughan Breggan	trfc1
hete		
hetene	Ba'Neppy Echen	tryker_guard_t_f
hetk		
hilti	Be'Marrell Diksan	trfc3old
hneotoe	Ba'Dardan Cothan	trfc1
hobeele	Mac'Dughan Ganan	trfc1
holeoje	Mac'Jorn Eoppie	trfc1
honte	Be'Gany Liffan	trfc1
hoojte	Be'Marrell Achen	trfc2
hooten	Be'Yle Lichan	trfc1
hoowte	Be'Doyley Lixie	trfa2
howebo	Be'Gany Enan	trfc1
iaki		
jebco	Be'Ledacan Liffan	trfc2old
jeolecj	Mac'Laughan Canan	trfc2
jerger	Be'Yle Gedden	trfc1
jeteje	Mac'Wiley Gedden	trfc1
jil		
jlo		
jobeeb	Be'Riplan Enan	trfc1
joebco	Be'Ledacan Effer	trfc2
joej		
joobjeot	Be'Nan Canan	trfc1
jowlew	Be'Nan Cadgan	trfc1
ju		
ke		
kicer	O'Biroy Echen	trfc2
klo		
kloe		
koitti	Ba'Roley Dirmy	trfc2
lboenhne	Ba'Naer Briggie	tryker_guard_t_f
lebeone	Ba'Gan Cothan	trfa1
leeneo	O'Biroy Gaxy	trfc1
leewe	Mac'Cautty Eoppie	tryker_guard_t_f
lejoton	Ba'Gan Lixie	trfa1
lelojohe		
lestlaba	Mac'Nary Baxy	trfc1
ljeo		
ljo		
lki	Mac'Cautty Gedden	trfc1
lneeten	Be'Toolly Artan	trfa1
lojecoe	Be'Gany Echen	trfc1
lojohe	Mac'Wiley Baksan	trfc1
lokvao	O'Arty Jidgen	trfc3
lolooco		
mazr		
morty	Be'Daghan Machen	trfc1
ncoc		
neba		
neebe	Mac'Rippsey Dirmy	trfc1
nobneltte	Be'Ledacan Dappan	tryker_guard_t_f
noceo	Be'Yle Keffan	tryker_guard_t_f
nohejo	O'Arty Baxy	trfc2
ntooto		
obeele	O'Arty Dirmy	trfc1
oboto	Ba'Neppy Breggan	trfc1
occelle	Ba'Dardan Briggie	tryker_guard_t_f
oceba		
ocntowo	Ba'Massey Briggie	tryker_guard_t_f
octeh	O'Arty Dachan	trfc1
oebe	Mac'Cautty Liffan	trfc2
oebno	Be'Daghan Artan	trfc2
oecoje	Be'Nan Baksan	trfc1
oeheb	Be'Ledacan Baxy	trfc1
oehlot	Mac'Cautty Diksan	trfa1
oejo	Mac'Laughan Achen	tryker_guard_t_f
oelo	Be'Ledacan Gedden	trfc1
oelol	Mac'Wiley Jidgen	trfa1
oetent	Mac'Darssey Gedden	trfc2
oetjoc	Ba'Gan Gaxy	tryker_guard_t_f
oetoej	Mac'Arlly Brammy	trfc1
oewo		
oewono	Be'Riplan Artan	trfc1
oheeno	Be'Marrell Dappan	tryker_guard_t_f
oiup	Be'Riplan Brammy	trfc1
ojbobo	Mac'Laughan Machen	trfa1
ojboe	O'Darghan Gedden	trfc1
ojeetje	Mac'Rippsey Eoppie	trfc1
ojo		
ojono	Be'Yle Dappan	tryker_guard_t_f
okle		
olbeo	Be'Ledacan Eskan	trfc2old
oleece	Ba'Gan Jidgen	trfc2
olejeto	Ba'Dardan Cadgan	trfc2
oleohweo	Be'Daghan Lixie	trfc2
oletow	Mac'Laughan Dachan	trfc1
olobeo	Ba'Massey Enan	trfc1
olonec	Mac'Cautty Lixie	trfc1
oneolo	Mac'Arlly Baksan	trfc1
onlio	O'Biroy Liffan	trfc1
ono		
onoco	Be'Daghan Cadgan	trfc1
onwe	Be'Toolly Lichan	trfc1
otetbto	Mac'Darssey Eskan	trfc1
otewlo	O'Biroy Keffan	trfc1
otnowo	O'Arty Keffan	tryker_guard_t_f
oto		
otoobjo	Mac'Jorn Lipsie	trfc1
ovu	Be'Nan Eoppie	trfc2
owjbne	Mac'Leigan Gedden	trfc1
pala	Ba'Reiliam Echen	trfc2
perss	Mac'Wiley Eoppie	trfc3old
professional 11		
professional 6		
range_adept		
tam	Dai-Fan We	zohc1
tce		
tecojceo	Mac'Jorn Breggan	trhc1
telcoobh	Ba'Massey Lixie	trfc3old
tele		
teohlo	O'Arty Ganan	trfc1
teonto	Ba'Laupsey Echen	trfc2
tewetet	O'Darghan Diksan	trfc1
theelco	Mac'Dughan Lixie	trfc1
thoa		
tjoh		
tocejnjo	Ba'Massey Gaxy	trfc1
toe		
toetwo	Mac'Rippsey Gaxy	trfc2
toka		
tolle	Ba'Gan Lipsie	trfc1
tolow	O'Cauty Baxy	tryker_guard_t_f
toon		
uhammai	Be'Daghan Lichan	trfc2
ui	Be'Doyley Diksan	trfc2
wejojej	Mac'Leigan Effer	trfc1
weleo	Ba'Gan Baxy	trfc1
weowoe	Be'Nan Jidgen	trfc1
wkyleo	Mac'Leigan Breggan	trfc1
woeceo	Mac'Arlly Eskan	trfc1
woobe	Mac'Darssey Canan	trfc1
ypupi	Be'Toolly Canan	trfc3old
arrs	Mac'Dughan Eskan	trhc3
aze		
bcce		
bebebwo		
bebooceb	Be'Yle Cothan	tryker_guard_t_h
bebooje	Mac'Darssey Lixie	tryker_guard_t_h
bebt		
beewlo	O'Cauty Briggie	tryker_guard_t_h
bejb		
bejohjo	Mac'Dughan Gaxy	tryker_guard_t_h
beleheo	Be'Doyley Breggan	tryker_guard_t_h
beloloec	Ba'Roley Canan	tryker_guard_t_h
benhel	O'Biroy Dachan	tryker_guard_t_h
beobe	Be'Keeer Cothan	tryker_guard_t_h
beoje	Be'Toolly Cadgan	tryker_guard_t_h
bepo	Ba'Dardan Brammy	trhc1old
betoejoel	Mac'Wiley Enan	tryker_guard_t_h
betwtoe	Be'Yle Echen	trhc1
bewote	Mac'Nary Dachan	trha1
bey		
Bguard0		
bima	Ba'Roley Baksan	trhc1
bjon		
bkoj		
ble		
bleo		
bloh		
bnon		
bob		
bobeele		
bobewe		
bobobejl		
bocehen		
bohoocje	Mac'Laughan Dirmy	tryker_guard_t_h
boj		
bojewoe	Mac'Darssey Lichan	tryker_guard_t_h
boleco	Mac'Jorn Enan	tryker_guard_t_h
bolhoweew	Be'Marrell Dirmy	tryker_guard_t_h
bonecoh	Be'Doyley Keffan	tryker_guard_t_h
boon		
boote	Mac'Laughan Brammy	tryker_guard_t_h
bowceho	Mac'Leigan Eskan	tryker_guard_t_h
btenoclo	Mac'Laughan Cadgan	tryker_guard_t_h
cahf		
cantre	O'Darghan Baxy	trhc1
casting_adept		
cebetej	Mac'Cautty Artan	tryker_guard_t_h
cejeoleje	Be'Daghan Cothan	trhc1mid
cek		
celbo	Be'Riplan Jidgen	trha1
cen		
ceno		
ceo		
ceobhoj		
ceono	Be'Yle Baxy	tryker_guard_t_h
cepamoy	Be'Yle Artan	trhc1
cetoobot	Mac'Laughan Diksan	tryker_guard_t_h
Cguard0		
cheenloj	Mac'Dughan Machen	tryker_guard_t_h
cneo		
cob		
cobolwoe	Be'Keeer Enan	tryker_guard_t_h
coc		
cocehol	Ba'Laupsey Machen	tryker_guard_t_h
coceohe	Mac'Rippsey Effer	tryker_guard_t_h
coe		
coetneht	Mac'Wiley Gaxy	tryker_guard_t_h
cojeote	Be'Doyley Machen	tryker_guard_t_h
colenono	Be'Toolly Machen	tryker_guard_t_h
colnowon		
comlo	Ba'Gan Baksan	trhc1
conb		
conoon	Ba'Massey Breggan	trhc1
coocnoe	Ba'Gan Brammy	trha1
coot		
cowene		
crim	O'Darghan Dachan	trhc2old
cteotboh		
cwoehe	Mac'Jorn Achen	tryker_guard_t_h
dasa		
dek		
dip		
drunker		
earm		
ebbo		
ebece	Be'Ledacan Cadgan	tryker_guard_t_h
ebeehojc	O'Cauty Machen	tryker_guard_t_h
ebehocne	Mac'Leigan Achen	tryker_guard_t_h
ebeothto	Be'Nan Ganan	tryker_guard_t_h
ebeotte	Be'Keeer Dappan	tryker_guard_t_h
ebeotwo	Be'Doyley Dappan	tryker_guard_t_h
ebert	O'Cauty Dappan	trhc1
ebjlo	Ba'Laupsey Effer	tryker_guard_t_h
ebjo		
ebnen	Be'Daghan Enan	tryker_guard_t_h
ebocjoce	Be'Daghan Ganan	tryker_guard_t_h
eboebben	Be'Doyley Brammy	trhc1
eboebowo	Mac'Dughan Keffan	trha1
eboh		
ebojne		
ebol		
eboowce		
ebtohwje	Ba'Naer Cadgan	tryker_guard_t_h
ebweecec	Be'Doyley Achen	tryker_guard_t_h
ebweho	Mac'Wiley Keffan	tryker_guard_t_h
ebwoje	Ba'Laupsey Keffan	tryker_guard_t_h
ecebobe	Mac'Cautty Effer	tryker_guard_t_h
eceotejo	O'Biroy Jidgen	tryker_guard_t_h
ecohe	Be'Riplan Dappan	tryker_guard_t_h
ecolbe	O'Cauty Liffan	tryker_guard_t_h
econote		
ecoono		
ecowhte	Be'Riplan Cothan	trhc1
ectoce	Mac'Cautty Cadgan	trhc1
ecwoteo	Be'Daghan Effer	trhc3old
ehceotle	Mac'Wiley Dappan	trhc1
ehco		
ehconec	Ba'Dardan Diksan	trhc1
ehct		
ehcwo	Be'Gany Diksan	tryker_guard_t_h
eheeho	Be'Toolly Gaxy	trhc1
eheeje	Mac'Laughan Artan	trhc1
eheeno	O'Darghan Dirmy	tryker_guard_t_h
eheohoe		
eheolol	O'Darghan Liffan	trhc1
eheto	Be'Toolly Dachan	trhc2
ehho		
ehhoeje	Mac'Dughan Echen	trhc3old
ehjo		
ehlebec		
ehnow	Ba'Dardan Machen	trhc1
ehoho	Be'Yle Breggan	trhc1
ehol	Be'Gany Jidgen	trhc1
ehowow	Mac'Cautty Baxy	trhc1
ehssi	Ba'Gan Eoppie	trhc1
ejeco	Mac'Wiley Briggie	trhc1
ejeebo	Mac'Dughan Diksan	trhc1
ejejeh	Be'Riplan Achen	trhc1
ejejo	O'Darghan Jidgen	trhc1
ejel		
ejko		
ejole	Mac'Leigan Ganan	tryker_guard_t_h
ejootle		
eke		
ekne		
elco	Ba'Laupsey Gaxy	tryker_guard_t_h
elder		
eleb		
elec		
eleno	Mac'Cautty Dappan	trhc1
elo		
elooho	Be'Daghan Echen	trhc1
enbenbo	Mac'Leigan Keffan	trhc1
enceowo	Mac'Dughan Lichan	trhc1
eneb		
eneete	O'Biroy Cothan	trhc2
enoco	Ba'Dardan Baksan	trhc1
enoobe	Be'Riplan Eskan	trhc1
enoolehe	Be'Doyley Baksan	trhc1
enoone	Mac'Dughan Gedden	trhc1
entewen	Be'Marrell Brammy	trhc3
eobn		
eochbo	O'Biroy Eoppie	trhc1
eocow	Mac'Jorn Dachan	trhc1
eohe	O'Darghan Canan	trhc2
